z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
42,100,Mo,92,233,U,0,0.044117,0.0014559,0.044227,0.0025652,0.032655,0.0090779,2026-07-25
41,100,Nb,92,233,U,0,0.032267,0.0014441,0.032806,0.0021478,0.0172,0.0052032,2026-07-25
41,100,Nb,92,233,U,4,0.010802,0.0019962,0.010974,0.0021011,0.014557,0.0044573,2026-07-25
37,100,Rb,92,233,U,0,0.0000000080765,0.0000000028837,0.000000007533,0.0000000027123,0.00000000073178,0.00000000036716,2026-07-25
44,100,Ru,92,233,U,0,0.0000041801,0.0000014925,0.00000064514,0.00000023225,0.0000024291,0.0000012185,2026-07-25
38,100,Sr,92,233,U,0,0.000029888,0.000010661,0.00003075,0.000011061,0.0000058467,0.0000029331,2026-07-25
43,100,Tc,92,233,U,0,0.0000041792,0.0000014925,0.0000006451,0.00000023225,0.0000024288,0.0000012185,2026-07-25
39,100,Y,92,233,U,0,0.0010304,0.00034421,0.0016548,0.00054929,0.0005829,0.00029058,2026-07-25
39,100,Y,92,233,U,4,0.0010007,0.00034419,0.0016243,0.00054926,0.0005771,0.00028971,2026-07-25
40,100,Zr,92,233,U,0,0.029699,0.0015258,0.030542,0.0021293,0.015344,0.0048399,2026-07-25
42,101,Mo,92,233,U,0,0.032149,0.00083588,0.036799,0.0074333,0.031799,0.0063916,2026-07-25
41,101,Nb,92,233,U,0,0.028812,0.00085994,0.03471,0.0070173,0.028038,0.0056647,2026-07-25
37,101,Rb,92,233,U,0,0.00000000017261,0.000000000061048,0.00000000012718,0.000000000050794,0.000000000010064,0.0000000000046954,2026-07-25
44,101,Ru,92,233,U,0,0.032186,0.00083668,0.036809,0.0074353,0.031831,0.0063978,2026-07-25
38,101,Sr,92,233,U,0,0.000001596,0.00000056437,0.0000014715,0.00000058766,0.00000023144,0.00000010797,2026-07-25
43,101,Tc,92,233,U,0,0.032186,0.00083668,0.036809,0.0074353,0.031831,0.0063978,2026-07-25
39,101,Y,92,233,U,0,0.00039415,0.00013661,0.0006768,0.00026541,0.00020609,0.000095997,2026-07-25
40,101,Zr,92,233,U,0,0.012013,0.001782,0.013616,0.0034769,0.0065146,0.0025438,2026-07-25
42,102,Mo,92,233,U,0,0.024066,0.00026583,0.025966,0.0055827,0.029527,0.0046949,2026-07-25
41,102,Nb,92,233,U,0,0.010561,0.00098366,0.012604,0.0029131,0.010573,0.0021642,2026-07-25
41,102,Nb,92,233,U,1,0.0060685,0.0007794,0.007658,0.0019145,0.007776,0.0018062,2026-07-25
46,102,Pd,92,233,U,0,0.0000000000038391,0.000000000001359,,,,,2026-07-25
37,102,Rb,92,233,U,0,0.0000000000019739,0.00000000000069875,,,,,2026-07-25
45,102,Rh,92,233,U,0,0.000000000035488,0.000000000012228,0.0000000000010915,0.00000000000043251,0.000000000016862,0.0000000000070415,2026-07-25
45,102,Rh,92,233,U,5,0.000000000019196,0.0000000000067952,,,0.0000000000047519,0.0000000000020085,2026-07-25
44,102,Ru,92,233,U,0,0.024293,0.00026719,0.026051,0.0056007,0.029817,0.004741,2026-07-25
