z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
36,100,Kr,93,237,Np,0,,,0.0000000000012303,0.00000000000043748,,,2026-07-25
42,100,Mo,93,237,Np,0,0.068611,0.010154,0.065615,0.0015092,,,2026-07-25
41,100,Nb,93,237,Np,0,0.055117,0.0083171,0.05443,0.0015581,,,2026-07-25
41,100,Nb,93,237,Np,4,0.012794,0.0036174,0.010873,0.0026103,,,2026-07-25
37,100,Rb,93,237,Np,0,0.000000015757,0.000000006232,0.000000052303,0.000000018598,,,2026-07-25
44,100,Ru,93,237,Np,0,0.00000068934,0.00000027263,0.00000024335,0.000000086526,,,2026-07-25
38,100,Sr,93,237,Np,0,0.000074816,0.00002952,0.0001256,0.000044473,,,2026-07-25
43,100,Tc,93,237,Np,0,0.00000068931,0.00000027262,0.00000024334,0.000000086526,,,2026-07-25
39,100,Y,93,237,Np,0,0.0029348,0.00097848,0.0043641,0.001237,,,2026-07-25
39,100,Y,93,237,Np,4,0.0028605,0.00097419,0.0042394,0.0012386,,,2026-07-25
40,100,Zr,93,237,Np,0,0.052075,0.0079563,0.052187,0.0016315,,,2026-07-25
42,101,Mo,93,237,Np,0,0.068959,0.0068959,0.061954,0.0014866,,,2026-07-25
41,101,Nb,93,237,Np,0,0.065596,0.0065757,0.060255,0.0014621,,,2026-07-25
37,101,Rb,93,237,Np,0,0.00000000034394,0.00000000013018,0.0000000012566,0.00000000045042,,,2026-07-25
44,101,Ru,93,237,Np,0,0.068972,0.006896,0.061959,0.0014866,,,2026-07-25
38,101,Sr,93,237,Np,0,0.0000045847,0.0000017348,0.0000084384,0.0000030234,,,2026-07-25
43,101,Tc,93,237,Np,0,0.068972,0.006896,0.061959,0.0014866,,,2026-07-25
39,101,Y,93,237,Np,0,0.0013913,0.0004958,0.0023373,0.00077641,,,2026-07-25
40,101,Zr,93,237,Np,0,0.030494,0.0048495,0.030316,0.0029753,,,2026-07-25
42,102,Mo,93,237,Np,0,0.072531,0.012983,0.058946,0.0014737,,,2026-07-25
41,102,Nb,93,237,Np,0,0.038663,0.0075423,0.033798,0.0023453,,,2026-07-25
41,102,Nb,93,237,Np,1,0.021593,0.0046252,0.017734,0.0018409,,,2026-07-25
37,102,Rb,93,237,Np,0,0.0000000000037595,0.0000000000015566,0.000000000014584,0.0000000000053197,,,2026-07-25
45,102,Rh,93,237,Np,0,0.0000000000014401,0.00000000000058337,,,,,2026-07-25
44,102,Ru,93,237,Np,0,0.072695,0.013012,0.059013,0.0014753,,,2026-07-25
