z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
42,100,Mo,95,241,Am,0,0.05915,0.025021,0.056786,0.008234,,,2026-07-25
41,100,Nb,95,241,Am,0,0.038658,0.016789,0.039553,0.0060881,,,2026-07-25
41,100,Nb,95,241,Am,4,0.018726,0.0093622,0.016083,0.0040522,,,2026-07-25
37,100,Rb,95,241,Am,0,0.0000000010873,0.00000000071321,0.0000000025204,0.0000000010375,,,2026-07-25
44,100,Ru,95,241,Am,0,0.0000040376,0.0000026482,0.0000021043,0.00000086608,,,2026-07-25
38,100,Sr,95,241,Am,0,0.0000095735,0.0000062776,0.000015938,0.0000065569,,,2026-07-25
43,100,Tc,95,241,Am,0,0.000004037,0.000002648,0.0000021041,0.00000086607,,,2026-07-25
39,100,Y,95,241,Am,0,0.0010012,0.00063259,0.0013465,0.00051687,,,2026-07-25
39,100,Y,95,241,Am,4,0.00099171,0.00062995,0.0013307,0.0005161,,,2026-07-25
40,100,Zr,95,241,Am,0,0.034206,0.015175,0.036236,0.0057809,,,2026-07-25
42,101,Mo,95,241,Am,0,0.066766,0.020096,0.062496,0.011124,,,2026-07-25
41,101,Nb,95,241,Am,0,0.059939,0.018099,0.057418,0.010246,,,2026-07-25
37,101,Rb,95,241,Am,0,0.000000000018198,0.000000000010306,0.000000000046828,0.000000000019368,,,2026-07-25
44,101,Ru,95,241,Am,0,0.066836,0.020116,0.062536,0.01113,,,2026-07-25
38,101,Sr,95,241,Am,0,0.00000045775,0.00000025922,0.00000084495,0.00000034946,,,2026-07-25
43,101,Tc,95,241,Am,0,0.066836,0.020116,0.062536,0.01113,,,2026-07-25
39,101,Y,95,241,Am,0,0.00040393,0.00022634,0.00060318,0.0002453,,,2026-07-25
40,101,Zr,95,241,Am,0,0.01726,0.0073254,0.019463,0.0050433,,,2026-07-25
42,102,Mo,95,241,Am,0,0.066325,0.022617,0.067467,0.013561,,,2026-07-25
41,102,Nb,95,241,Am,0,0.027178,0.010039,0.029324,0.0064397,,,2026-07-25
41,102,Nb,95,241,Am,1,0.020439,0.0080311,0.020539,0.0048319,,,2026-07-25
46,102,Pd,95,241,Am,0,0.0000000000035246,0.0000000000020888,0.0000000000012492,0.00000000000051544,,,2026-07-25
45,102,Rh,95,241,Am,0,0.000000000032581,0.000000000018965,0.000000000013415,0.0000000000054387,,,2026-07-25
45,102,Rh,95,241,Am,5,0.000000000017623,0.000000000010444,0.0000000000062459,0.0000000000025772,,,2026-07-25
44,102,Ru,95,241,Am,0,0.066881,0.022806,0.067852,0.013638,,,2026-07-25
38,102,Sr,95,241,Am,0,0.000000015584,0.0000000092354,0.000000034346,0.000000014172,,,2026-07-25
43,102,Tc,95,241,Am,0,0.066603,0.022712,0.067659,0.0136,,,2026-07-25
43,102,Tc,95,241,Am,1,0.00027725,0.0001638,0.00019239,0.000079088,,,2026-07-25
39,102,Y,95,241,Am,-2,0.000019119,0.000011319,0.000034017,0.000014014,,,2026-07-25
39,102,Y,95,241,Am,0,0.000019119,0.000011319,0.000034017,0.000014014,,,2026-07-25
40,102,Zr,95,241,Am,0,0.0067384,0.0035746,0.0087847,0.0030182,,,2026-07-25
42,103,Mo,95,241,Am,0,0.068348,0.0033851,0.062498,0.0038269,,,2026-07-25
41,103,Nb,95,241,Am,0,0.034503,0.0037481,0.033802,0.0035597,,,2026-07-25
45,103,Rh,95,241,Am,0,0.072189,0.0035368,0.06503,0.0039662,,,2026-07-25
45,103,Rh,95,241,Am,1,0.071324,0.0034966,0.064251,0.0039206,,,2026-07-25
44,103,Ru,95,241,Am,0,0.072189,0.0035368,0.06503,0.0039662,,,2026-07-25
44,103,Ru,95,241,Am,5,0.000014023,0.0000050095,0.000007038,0.0000025475,,,2026-07-25
38,103,Sr,95,241,Am,0,0.00000000026351,0.000000000094152,0.00000000055217,0.00000000019986,,,2026-07-25
43,103,Tc,95,241,Am,0,0.072169,0.0035363,0.06502,0.0039662,,,2026-07-25
39,103,Y,95,241,Am,0,0.0000029699,0.0000010609,0.0000050193,0.0000018162,,,2026-07-25
40,103,Zr,95,241,Am,0,0.0014,0.00048017,0.001725,0.00059166,,,2026-07-25
42,104,Mo,95,241,Am,0,0.0527,0.02061,0.052303,0.012377,,,2026-07-25
41,104,Nb,95,241,Am,0,0.005221,0.0027717,0.0059698,0.0020587,,,2026-07-25
41,104,Nb,95,241,Am,4,0.005042,0.002724,0.005714,0.0020215,,,2026-07-25
46,104,Pd,95,241,Am,0,0.00000013918,0.00000007507,0.000000062102,0.000000022638,,,2026-07-25
45,104,Rh,95,241,Am,0,0.00000013966,0.00000007537,0.000000062318,0.000000022731,,,2026-07-25
45,104,Rh,95,241,Am,3,0.000000105,0.00000006429,0.00000004847,0.000000020225,,,2026-07-25
44,104,Ru,95,241,Am,0,0.063291,0.024604,0.06028,0.014214,,,2026-07-25
38,104,Sr,95,241,Am,0,0.0000000000025994,0.0000000000015915,0.0000000000063459,0.0000000000026479,,,2026-07-25
43,104,Tc,95,241,Am,0,0.063067,0.024533,0.060153,0.014196,,,2026-07-25
39,104,Y,95,241,Am,0,0.000000085494,0.000000052344,0.00000016834,0.000000070238,,,2026-07-25
40,104,Zr,95,241,Am,0,0.00017883,0.00010912,0.00025555,0.00010603,,,2026-07-25
42,105,Mo,95,241,Am,0,0.036074,0.0030281,0.032745,0.0029278,,,2026-07-25
41,105,Nb,95,241,Am,0,0.0029867,0.00096436,0.0033717,0.0010741,,,2026-07-25
46,105,Pd,95,241,Am,0,0.065631,0.0023627,0.053759,0.0034943,,,2026-07-25
45,105,Rh,95,241,Am,0,0.065631,0.0023627,0.053759,0.0034943,,,2026-07-25
45,105,Rh,95,241,Am,1,0.018631,0.0018384,0.01526,0.0017321,,,2026-07-25
44,105,Ru,95,241,Am,0,0.065627,0.0023626,0.053757,0.0034942,,,2026-07-25
43,105,Tc,95,241,Am,0,0.064124,0.0023169,0.052938,0.0034428,,,2026-07-25
39,105,Y,95,241,Am,0,0.0000000021398,0.00000000076943,0.0000000040677,0.0000000014761,,,2026-07-25
40,105,Zr,95,241,Am,0,0.000012992,0.0000046688,0.000017917,0.0000064961,,,2026-07-25
42,106,Mo,95,241,Am,0,0.017746,0.0070707,0.016503,0.0029054,,,2026-07-25
41,106,Nb,95,241,Am,0,0.00033346,0.00017058,0.00039431,0.0001453,,,2026-07-25
46,106,Pd,95,241,Am,0,0.060755,0.019077,0.048406,0.0031948,,,2026-07-25
45,106,Rh,95,241,Am,0,0.060707,0.019062,0.048382,0.0031932,,,2026-07-25
45,106,Rh,95,241,Am,1,0.000048207,0.000024836,0.000023956,0.0000089932,,,2026-07-25
44,106,Ru,95,241,Am,0,0.060686,0.019055,0.048373,0.0031926,,,2026-07-25
43,106,Tc,95,241,Am,0,0.053039,0.016709,0.044186,0.0029639,,,2026-07-25
39,106,Y,95,241,Am,0,0.000000000014757,0.0000000000076053,0.000000000028891,0.000000000010847,,,2026-07-25
40,106,Zr,95,241,Am,0,0.00000047347,0.000000244,0.00000067785,0.00000025449,,,2026-07-25
47,107,Ag,95,241,Am,0,0.000000000062161,0.000000000030506,0.000000000024307,0.0000000000097095,,,2026-07-25
47,107,Ag,95,241,Am,1,0.000000000053918,0.000000000028463,0.000000000021451,0.0000000000092758,,,2026-07-25
42,107,Mo,95,241,Am,0,0.0035169,0.001743,0.0040876,0.0015679,,,2026-07-25
41,107,Nb,95,241,Am,0,0.000021992,0.000011602,0.000033263,0.000014365,,,2026-07-25
46,107,Pd,95,241,Am,0,0.047939,0.016203,0.045449,0.010635,,,2026-07-25
46,107,Pd,95,241,Am,2,0.00000063389,0.00000033463,0.00000033349,0.00000014421,,,2026-07-25
45,107,Rh,95,241,Am,0,0.047938,0.016203,0.045449,0.010635,,,2026-07-25
44,107,Ru,95,241,Am,0,0.047363,0.016009,0.045086,0.01055,,,2026-07-25
43,107,Tc,95,241,Am,0,0.032238,0.011171,0.03501,0.0082732,,,2026-07-25
40,107,Zr,95,241,Am,0,0.0000000060255,0.0000000031808,0.000000010969,0.0000000047434,,,2026-07-25
47,108,Ag,95,241,Am,0,0.0000000019131,0.00000000090361,0.00000000097473,0.00000000033991,,,2026-07-25
47,108,Ag,95,241,Am,2,0.0000000037224,0.0000000019493,0.0000000021476,0.00000000086262,,,2026-07-25
48,108,Cd,95,241,Am,0,0.0000000018576,0.00000000087741,0.00000000094646,0.00000000033005,,,2026-07-25
42,108,Mo,95,241,Am,0,0.00036796,0.00019046,0.00054576,0.00021347,,,2026-07-25
41,108,Nb,95,241,Am,0,0.0000004238,0.00000022192,0.00000082348,0.00000033072,,,2026-07-25
46,108,Pd,95,241,Am,0,0.032025,0.0097341,0.033324,0.0060642,,,2026-07-25
45,108,Rh,95,241,Am,-2,0.0018461,0.00091796,0.0016262,0.00062048,,,2026-07-25
45,108,Rh,95,241,Am,0,0.030161,0.0091767,0.031685,0.0057716,,,2026-07-25
44,108,Ru,95,241,Am,0,0.029549,0.0089969,0.031219,0.0056899,,,2026-07-25
43,108,Tc,95,241,Am,0,0.0091418,0.0035969,0.012864,0.0029873,,,2026-07-25
40,108,Zr,95,241,Am,0,0.000000000031881,0.000000000016696,0.000000000073534,0.000000000029536,,,2026-07-25
47,109,Ag,95,241,Am,0,0.019666,0.002006,0.023065,0.0012225,,,2026-07-25
47,109,Ag,95,241,Am,1,0.019657,0.002005,0.023054,0.0012219,,,2026-07-25
48,109,Cd,95,241,Am,0,0.0000000000070486,0.0000000000027515,0.0000000000039258,0.0000000000014281,,,2026-07-25
