z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,Extraction_date
1,1,H,94,241,Pu,0,0.000029422,0.000010059,0.000029422,0.000010059,,,2026-07-25
1,2,H,94,241,Pu,0,0.0000089917,0.0000030079,0.0000089917,0.0000030079,,,2026-07-25
1,3,H,94,241,Pu,0,0.000141,0.000020785,0.000141,0.000042732,,,2026-07-25
2,3,He,94,241,Pu,0,0,0,0,0,,,2026-07-25
2,4,He,94,241,Pu,0,0.00186,0.00020234,0.00186,0.00056246,,,2026-07-25
24,58,Cr,94,241,Pu,0,0.0000000000012507,0.00000000000041025,0.0000000000015819,0.00000000000055002,,,2026-07-25
24,59,Cr,94,241,Pu,0,0.0000000000039372,0.0000000000012693,0.0000000000057627,0.0000000000018902,,,2026-07-25
24,60,Cr,94,241,Pu,0,0.000000000010211,0.0000000000034711,0.00000000001713,0.0000000000057436,,,2026-07-25
24,61,Cr,94,241,Pu,0,0.000000000014656,0.0000000000059688,0.000000000028284,0.000000000011315,,,2026-07-25
24,62,Cr,94,241,Pu,0,0.000000000016669,0.0000000000073549,0.000000000039043,0.000000000017027,,,2026-07-25
24,63,Cr,94,241,Pu,0,0.0000000000090783,0.0000000000042226,0.000000000026018,0.000000000012006,,,2026-07-25
24,64,Cr,94,241,Pu,0,0.0000000000037874,0.0000000000018168,0.000000000013717,0.0000000000065018,,,2026-07-25
25,58,Mn,94,241,Pu,0,0,0,0,0,,,2026-07-25
25,59,Mn,94,241,Pu,0,0.0000000000010675,0.00000000000046885,0.0000000000013633,0.00000000000060251,,,2026-07-25
25,60,Mn,94,241,Pu,0,0.00000000000059658,0.00000000000023924,0.00000000000077911,0.00000000000031828,,,2026-07-25
25,60,Mn,94,241,Pu,1,0.0000000000052985,0.0000000000021248,0.0000000000079261,0.0000000000032379,,,2026-07-25
25,61,Mn,94,241,Pu,0,0.000000000028559,0.0000000000096839,0.000000000048413,0.000000000016535,,,2026-07-25
25,62,Mn,94,241,Pu,0,0.000000000059984,0.000000000021063,0.00000000012436,0.000000000041755,,,2026-07-25
25,62,Mn,94,241,Pu,1,0.000000000010769,0.0000000000037813,0.000000000019475,0.000000000006539,,,2026-07-25
25,63,Mn,94,241,Pu,0,0.00000000014062,0.000000000054756,0.00000000034389,0.00000000012402,,,2026-07-25
25,64,Mn,94,241,Pu,0,0.00000000014176,0.000000000064021,0.00000000043091,0.00000000018543,,,2026-07-25
25,65,Mn,94,241,Pu,0,0.00000000013214,0.000000000060883,0.00000000047635,0.00000000021545,,,2026-07-25
25,66,Mn,94,241,Pu,0,0.000000000059844,0.000000000027783,0.00000000025739,0.00000000011951,,,2026-07-25
25,67,Mn,94,241,Pu,0,0.000000000020564,0.0000000000096362,0.00000000010922,0.000000000051543,,,2026-07-25
25,68,Mn,94,241,Pu,0,0.000000000003296,0.0000000000015472,0.000000000023116,0.000000000010811,,,2026-07-25
26,58,Fe,94,241,Pu,0,0,0,0,0,,,2026-07-25
26,59,Fe,94,241,Pu,0,0,0,0,0,,,2026-07-25
26,60,Fe,94,241,Pu,0,0,0,0,0,,,2026-07-25
26,61,Fe,94,241,Pu,0,0.0000000000055814,0.0000000000024903,0.0000000000056816,0.0000000000025959,,,2026-07-25
26,62,Fe,94,241,Pu,0,0.000000000047916,0.00000000001877,0.000000000059317,0.000000000024828,,,2026-07-25
26,63,Fe,94,241,Pu,0,0.00000000020156,0.000000000070299,0.00000000030171,0.00000000011331,,,2026-07-25
26,64,Fe,94,241,Pu,0,0.00000000069041,0.00000000021826,0.0000000012767,0.000000000414,,,2026-07-25
26,65,Fe,94,241,Pu,0,0.0000000014248,0.00000000048235,0.00000000308,0.0000000010334,,,2026-07-25
26,66,Fe,94,241,Pu,0,0.0000000024012,0.00000000090654,0.0000000060867,0.000000002249,,,2026-07-25
26,67,Fe,94,241,Pu,0,0.0000000020298,0.00000000089126,0.0000000062547,0.0000000027249,,,2026-07-25
26,68,Fe,94,241,Pu,0,0.0000000013312,0.00000000061368,0.0000000053514,0.0000000024354,,,2026-07-25
26,69,Fe,94,241,Pu,0,0.00000000044182,0.00000000020909,0.0000000022552,0.0000000010548,,,2026-07-25
26,70,Fe,94,241,Pu,0,0.00000000011058,0.000000000052811,0.00000000072572,0.00000000034529,,,2026-07-25
26,71,Fe,94,241,Pu,0,0.00000000001477,0.0000000000069143,0.00000000012258,0.000000000057437,,,2026-07-25
26,72,Fe,94,241,Pu,0,0.0000000000014464,0.0000000000006726,0.00000000001577,0.0000000000073774,,,2026-07-25
27,59,Co,94,241,Pu,0,0,0,0,0,,,2026-07-25
27,61,Co,94,241,Pu,0,0,0,0,0,,,2026-07-25
27,62,Co,94,241,Pu,0,0,0,0,0,,,2026-07-25
27,63,Co,94,241,Pu,0,0.00000000001449,0.0000000000066982,0.000000000018536,0.0000000000085926,,,2026-07-25
27,64,Co,94,241,Pu,0,0.00000000011122,0.000000000050935,0.00000000017873,0.00000000008172,,,2026-07-25
27,65,Co,94,241,Pu,0,0.0000000007851,0.00000000031692,0.0000000014916,0.00000000061266,,,2026-07-25
27,66,Co,94,241,Pu,0,0.0000000027961,0.000000001009,0.0000000062368,0.0000000022872,,,2026-07-25
27,67,Co,94,241,Pu,0,0.0000000081169,0.0000000027123,0.000000021798,0.0000000071132,,,2026-07-25
27,68,Co,94,241,Pu,0,0.0000000063767,0.0000000024651,0.000000023691,0.000000008498,,,2026-07-25
