z,n,symbol,radius,unc_r
20,20,Ca,3.4776,0.0019
20,22,Ca,3.5081,0.0021
20,23,Ca,3.4954,0.0019
20,24,Ca,3.5179,0.0021
20,26,Ca,3.4953,0.0020
20,28,Ca,3.4771,0.0020
50,58,Sn,4.5605,0.0029
50,60,Sn,4.5785,0.0025
50,62,Sn,4.5948,0.0022
50,64,Sn,4.6099,0.0020
50,66,Sn,4.6250,0.0019
50,68,Sn,4.6393,0.0019
50,70,Sn,4.6519,0.0021
50,72,Sn,4.6634,0.0022
50,74,Sn,4.6735,0.0023
54,62,Xe,4.7211,0.0096
54,64,Xe,4.7387,0.0070
54,66,Xe,4.7509,0.0063
54,68,Xe,4.7590,0.0059
54,70,Xe,4.7661,0.0055
54,72,Xe,4.7722,0.0052
54,74,Xe,4.7774,0.0050
54,75,Xe,4.7775,0.0050
54,76,Xe,4.7818,0.0049
54,78,Xe,4.7859,0.0048
54,80,Xe,4.7899,0.0047
54,82,Xe,4.7964,0.0047
52,70,Te,4.7095,0.0031
52,72,Te,4.7183,0.0029
52,74,Te,4.7266,0.0032
52,76,Te,4.7346,0.0029
52,78,Te,4.7423,0.0025
56,74,Ba,4.8283,0.0047
56,76,Ba,4.8303,0.0047
56,78,Ba,4.8322,0.0047
56,80,Ba,4.8334,0.0046
56,82,Ba,4.8378,0.0046
58,76,Ce,,
58,78,Ce,4.8739,0.0018
58,80,Ce,4.8737,0.0018
58,82,Ce,4.8771,0.0018
