Cassini SCE1 full retrieval started
[2026-08-07T18:35:33.1272305+10:00] OK 17286 25db333fb215c549360af3ac420f22b24b84d05f758fc5419a6edf1810399a00 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\cumindex.tab
[2026-08-07T18:35:33.4339175+10:00] OK 7200 c7d604ff5ce49345aac1e530372daec8bf67fbfb9289417ad334c14a4aa7b662 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\cumindex.lbl
[2026-08-07T18:35:33.7626679+10:00] OK 17286 25db333fb215c549360af3ac420f22b24b84d05f758fc5419a6edf1810399a00 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\index.tab
[2026-08-07T18:35:34.0396817+10:00] OK 7200 4144551779a39e09000c022dbad160bf5b3d782ddb41fc0fbfb30471921450b4 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\index.lbl
[2026-08-07T18:35:34.2856495+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\indxinfo.txt
[2026-08-07T18:35:34.7605689+10:00] OK 36984 40557d86996e895933a1df5318045cbc670c0eea5b943af39d48a9c33bebf1ee c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\cumindex.tab
[2026-08-07T18:35:35.0432849+10:00] OK 7200 a4e066b77e5c6051b80598b6d28e958140607657981ffa820f0e29628e1ad734 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\cumindex.lbl
[2026-08-07T18:35:35.3262674+10:00] OK 19698 1ec254e049904461b6b8543bb3b01aec6794cd177b78eec959ab1c26f4037fe0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\index.tab
[2026-08-07T18:35:35.6585961+10:00] OK 7200 df5e463b2221289684eb58b9db4ca99a1c8cc183c2525087e7462d280b782341 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\index.lbl
[2026-08-07T18:35:35.9499773+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\indxinfo.txt
[2026-08-07T18:35:36.2804068+10:00] OK 54672 ba176e1b9d8782dc978b8375f8a2279f38a090229ce66d6c14ebf4d2c9ef2dca c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\cumindex.tab
[2026-08-07T18:35:36.5803050+10:00] OK 7200 2a7275ac6d46debbbae81fab5ba7c31fb7c3a261dcd45ff520b31e858eb84e89 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\cumindex.lbl
[2026-08-07T18:35:36.8773577+10:00] OK 17688 73fc108c2ceee58248f7d0dfa02c62a1d671c9492f86f57b678bda955448f850 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\index.tab
[2026-08-07T18:35:37.1760890+10:00] OK 7200 c298ca2b94549cf9d8e0226c7bc1776288d3219f611b134280cd8925f8de9437 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\index.lbl
[2026-08-07T18:35:37.4384710+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\indxinfo.txt
[2026-08-07T18:35:37.9315622+10:00] OK 71556 e1669fbe08b750b0c1964d627863a54d3238d68d115869453b4c16d8883f54c1 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\index\cumindex.tab
[2026-08-07T18:35:38.2617585+10:00] OK 7200 45eaf7cd57a245abe05aeb3e448acb3ee290e21965fe4d5fa00e6292a245730d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\index\cumindex.lbl
[2026-08-07T18:35:38.5822319+10:00] OK 16884 190dd4f5c25e16e2a125e98856d53452a6dc9667f345ff842ab791b75faeeffb c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\index\index.tab
[2026-08-07T18:35:38.8416591+10:00] OK 7200 c25d4327a7968f886b4f4a0dfa4ba81749fe0418f66d82db27a94804703fcf67 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\index\index.lbl
[2026-08-07T18:35:39.0757402+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0024\index\indxinfo.txt
[2026-08-07T18:35:39.5530288+10:00] OK 91857 89ed6f41662aae3b828d33f8ee85c924d00248eb70b5a397a017f3d617e794f1 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\cumindex.tab
[2026-08-07T18:35:39.8274493+10:00] OK 7200 f624a93172e880a03bbe9e8e65f840b2b11e44aa5a5cd04644d6ef52684f0379 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\cumindex.lbl
[2026-08-07T18:35:40.1221771+10:00] OK 20301 baeaa21e0e496a4df8206efefefa7e99003bcb7c54374c13b52ec7bb46d35205 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.tab
[2026-08-07T18:35:40.3994739+10:00] OK 7200 fdd2ecae2e8e78635bd25879048d65162244344dbed563d21bfabc436f3a7f1d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\index.lbl
[2026-08-07T18:35:40.6456259+10:00] OK 2800 95f4036daebd2df25ed2394a445ea4fd8e9a43fe7c432aa537bc8e6961b8edf0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0025\index\indxinfo.txt
[2026-08-07T18:35:41.0947790+10:00] OK 110751 09e2d64d5b6b89ebff94f815572d02cbcc55aebb9d1a54f1ca55247431f982d9 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.tab
[2026-08-07T18:35:41.3767601+10:00] OK 7200 7c807270f87784419505a189b6b7250b968425293044d32dbe4df78071b05aab c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0026\index\cumindex.lbl
