Cassini SCE1 resume/fetch started
[2026-08-08T19:56:19.2314071+10:00] SKIP 17286 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\cumindex.tab
[2026-08-08T19:56:19.2452526+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\cumindex.lbl
[2026-08-08T19:56:19.2524589+10:00] SKIP 17286 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\index.tab
[2026-08-08T19:56:19.2654662+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\index.lbl
[2026-08-08T19:56:19.2764591+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\index\indxinfo.txt
[2026-08-08T19:56:19.2885087+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\aareadme.txt
[2026-08-08T19:56:19.3007206+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\errata.txt
[2026-08-08T19:56:19.3147225+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\voldesc.cat
[2026-08-08T19:56:19.3272831+10:00] SKIP 36984 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\cumindex.tab
[2026-08-08T19:56:19.3434490+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\cumindex.lbl
[2026-08-08T19:56:19.3595838+10:00] SKIP 19698 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\index.tab
[2026-08-08T19:56:19.3720856+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\index.lbl
[2026-08-08T19:56:19.3861037+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\index\indxinfo.txt
[2026-08-08T19:56:19.4010879+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\aareadme.txt
[2026-08-08T19:56:19.4090844+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\errata.txt
[2026-08-08T19:56:19.4220882+10:00] SKIP 1688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\voldesc.cat
[2026-08-08T19:56:19.4290891+10:00] SKIP 54672 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\cumindex.tab
[2026-08-08T19:56:19.4423991+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\cumindex.lbl
[2026-08-08T19:56:19.4523967+10:00] SKIP 17688 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\index.tab
[2026-08-08T19:56:19.4665435+10:00] SKIP 7200 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\index.lbl
[2026-08-08T19:56:19.4828695+10:00] SKIP 2800 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\index\indxinfo.txt
[2026-08-08T19:56:19.4980683+10:00] SKIP 16189 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\aareadme.txt
[2026-08-08T19:56:19.5050666+10:00] SKIP 1922 C:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0023\errata.txt
