API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:34 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Earth (399)                     {source: cassini_merge}
Center-site name: DSS-25 (34-m BWG)
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 UT      
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 UT      
Step-size       : 15 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 243.1246368, 35.337612, .959628 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 243.1246368,5209.63556,3669.04057 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: cassini_merge}
Rel. light bend : Sun                             {source: cassini_merge}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.260807.p261103                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-07. PREDICTS-> 2026-NOV-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , ,            delta,     deldot,
*****************************************************
$$SOE
 2002-Jun-06 05:00, , , 8.35744378123819, 12.5426402,
 2002-Jun-06 05:15, , , 8.35751918438132, 12.5246323,
 2002-Jun-06 05:30, , , 8.35759447562503, 12.5054499,
 2002-Jun-06 05:45, , , 8.35766964809387, 12.4851572,
 2002-Jun-06 06:00, , , 8.35774469531267, 12.4638229,
 2002-Jun-06 06:15, , , 8.35781961123436, 12.4415206,
 2002-Jun-06 06:30, , , 8.35789439026600, 12.4183276,
 2002-Jun-06 06:45, , , 8.35796902729285, 12.3943255,
 2002-Jun-06 07:00, , , 8.35804351770035, 12.3695990,
 2002-Jun-06 07:15, , , 8.35811785739397, 12.3442362,
 2002-Jun-06 07:30, , , 8.35819204281682, 12.3183277,
 2002-Jun-06 07:45, , , 8.35826607096493, 12.2919665,
 2002-Jun-06 08:00, , , 8.35833993940022, 12.2652477,
 2002-Jun-06 08:15, , , 8.35841364626093, 12.2382679,
 2002-Jun-06 08:30, , , 8.35848719026962, 12.2111246,
 2002-Jun-06 08:45, , , 8.35856057073872, 12.1839162,
 2002-Jun-06 09:00, , , 8.35863378757342, 12.1567414,
 2002-Jun-06 09:15, , , 8.35870684127212, 12.1296987,
 2002-Jun-06 09:30, , , 8.35877973292424, 12.1028860,
 2002-Jun-06 09:45, , , 8.35885246420557, 12.0764001,
 2002-Jun-06 10:00, , , 8.35892503737100, 12.0503368,
 2002-Jun-06 10:15, ,m, 8.35899745524490, 12.0247895,
 2002-Jun-06 10:30, ,m, 8.35906972120888, 11.9998500,
 2002-Jun-06 10:45, ,m, 8.35914183918728, 11.9756069,
 2002-Jun-06 11:00,A,m, 8.35921381363029, 11.9521462,
 2002-Jun-06 11:15,A,m, 8.35928564949479, 11.9295505,
 2002-Jun-06 11:30,N,m, 8.35935735222300, 11.9078984,
