API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Sun (10)                        {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452431.708333333, A.D. 2002-Jun-06 05:00:00.0000,  9.158021386380827E+06,  1.102494832498686E+09, -9.662462081205666E+06, -6.371573142890995E+00,  5.912422927405427E+00,  2.173331073092255E-02,
2452431.718750000, A.D. 2002-Jun-06 05:15:00.0000,  9.152286970197152E+06,  1.102500153634955E+09, -9.662442520842671E+06, -6.371573931853655E+00,  5.912324338603431E+00,  2.173416252034288E-02,
2452431.729166667, A.D. 2002-Jun-06 05:30:00.0000,  9.146552553303652E+06,  1.102505474682496E+09, -9.662422959713161E+06, -6.371574720273600E+00,  5.912225750764216E+00,  2.173501429467528E-02,
2452431.739583333, A.D. 2002-Jun-06 05:45:00.0000,  9.140818135700822E+06,  1.102510795641307E+09, -9.662403397816956E+06, -6.371575508150844E+00,  5.912127163887763E+00,  2.173586605392064E-02,
2452431.750000000, A.D. 2002-Jun-06 06:00:00.0000,  9.135083717389144E+06,  1.102516116511391E+09, -9.662383835154176E+06, -6.371576295485409E+00,  5.912028577974047E+00,  2.173671779807806E-02,
2452431.760416667, A.D. 2002-Jun-06 06:15:00.0000,  9.129349298369110E+06,  1.102521437292748E+09, -9.662364271724880E+06, -6.371577082277310E+00,  5.911929993023048E+00,  2.173756952714978E-02,
2452431.770833333, A.D. 2002-Jun-06 06:30:00.0000,  9.123614878641207E+06,  1.102526757985379E+09, -9.662344707529128E+06, -6.371577868526567E+00,  5.911831409034743E+00,  2.173842124113490E-02,
2452431.781250000, A.D. 2002-Jun-06 06:45:00.0000,  9.117880458205925E+06,  1.102532078589284E+09, -9.662325142566741E+06, -6.371578654233200E+00,  5.911732826009110E+00,  2.173927294003430E-02,
2452431.791666667, A.D. 2002-Jun-06 07:00:00.0000,  9.112146037063751E+06,  1.102537399104466E+09, -9.662305576837838E+06, -6.371579439397224E+00,  5.911634243946127E+00,  2.174012462384978E-02,
2452431.802083333, A.D. 2002-Jun-06 07:15:00.0000,  9.106411615215173E+06,  1.102542719530924E+09, -9.662286010342419E+06, -6.371580224018659E+00,  5.911535662845771E+00,  2.174097629258043E-02,
