driver,ratio,a_res_AU
Mercury,2:1,0.2438564592861028
Mercury,3:2,0.2954110625759398
Mercury,4:3,0.31954235854815305
Mercury,5:4,0.3335909438567849
Mercury,1:2,0.614479772414786
Mercury,2:3,0.5072418761077376
Mercury,3:4,0.46893583149609036
Mercury,4:5,0.4491874385784599
Mercury,5:6,0.437127797649346
Venus,2:1,0.4556706064312792
Venus,3:2,0.5520056283297244
Venus,4:3,0.597097410199362
Venus,5:4,0.623348621284057
Venus,1:2,1.1482179777222616
Venus,2:3,0.9478330570779547
Venus,3:4,0.8762543151029715
Venus,4:5,0.8393524335486997
Venus,5:6,0.8168177674110865
Earth,2:1,0.6299605249474366
Earth,3:2,0.7631428283688879
Earth,4:3,0.8254818122236567
Earth,5:4,0.8617738760127536
Earth,1:2,1.5874010519681994
Earth,2:3,1.3103706971044482
Earth,3:4,1.2114137285547597
Earth,4:5,1.1603972084031948
Earth,5:6,1.129243234657234
Mars,2:1,0.9598576226913852
Mars,3:2,1.1627847015862787
Mars,4:3,1.257769302167129
Mars,5:4,1.3130667576292363
Mars,1:2,2.418689647461854
Mars,2:3,1.9965843133934085
Mars,3:4,1.8458056585105878
Mars,4:5,1.7680728581025715
Mars,5:6,1.7206042025392998
Jupiter,2:1,3.2785665560364388
Jupiter,3:2,3.97170053596304
Jupiter,4:3,4.2961375435367986
Jupiter,5:4,4.485015960320775
Jupiter,1:2,8.261470034863295
Jupiter,2:3,6.81969325601039
Jupiter,3:4,6.304681608890391
Jupiter,4:5,6.039171231413587
Jupiter,5:6,5.877033490450109
Saturn,2:1,6.0366597263613055
Saturn,3:2,7.312892467127705
Saturn,4:3,7.910262013814412
Saturn,5:4,8.258034344279812
Saturn,1:2,15.211429320590467
Saturn,2:3,12.556758242073084
Saturn,3:4,11.60849319524884
Saturn,4:5,11.119622289244454
Saturn,5:6,10.82108622042641
Uranus,2:1,12.095872039515731
Uranus,3:2,14.653105447511017
Uranus,4:3,15.850076276506432
Uranus,5:4,16.546920193320883
Uranus,1:2,30.479687598841398
Uranus,2:3,25.16042775510251
Uranus,3:4,23.260355001979942
Uranus,4:5,22.280786798549745
Uranus,5:6,21.682599348653554
Neptune,2:1,18.928423893095626
Neptune,3:2,22.930152563999975
Neptune,4:3,24.80325201188421
Neptune,5:4,25.893719652555205
Neptune,1:2,47.69663940848849
Neptune,2:3,39.37270833589736
Neptune,3:4,36.399348301884864
Neptune,4:5,34.866454920890796
Neptune,5:6,33.930371471745914
