class,name,host,a_AU,a_err,P_yr,P_err,host_mass_Msun,host_mass_err,v_obs_kms,source,source_id
planet,Mercury,Sun,0.38709927,0,0.240847,0,1.0,0,47.360,JPL_approx_pos+NSSDC_factsheet,planet:Mercury
planet,Venus,Sun,0.72333566,0,0.615197,0,1.0,0,35.020,JPL_approx_pos+NSSDC_factsheet,planet:Venus
planet,Earth,Sun,1.00000261,0,1.000017,0,1.0,0,29.780,JPL_approx_pos+NSSDC_factsheet,planet:Earth
planet,Mars,Sun,1.52371034,0,1.880848,0,1.0,0,24.070,JPL_approx_pos+NSSDC_factsheet,planet:Mars
planet,Jupiter,Sun,5.20288700,0,11.862615,0,1.0,0,13.060,JPL_approx_pos+NSSDC_factsheet,planet:Jupiter
planet,Saturn,Sun,9.53667594,0,29.447498,0,1.0,0,9.680,JPL_approx_pos+NSSDC_factsheet,planet:Saturn
planet,Uranus,Sun,19.18916464,0,84.016846,0,1.0,0,6.800,JPL_approx_pos+NSSDC_factsheet,planet:Uranus
planet,Neptune,Sun,30.06992276,0,164.791320,0,1.0,0,5.430,JPL_approx_pos+NSSDC_factsheet,planet:Neptune
giant_host,HD 87816 b,HD 87816,1.618,0.0003,1.32559,0.0003422,2.41,0.1,36.36,NASA_Exoplanet_Archive_PS,exo:HD_87816_b
giant_host,HIP 67851 b,HIP 67851,0.42,0.0002,0.244298,0.0001643,1.28,0.08,51.21,NASA_Exoplanet_Archive_PS,exo:HIP_67851_b
giant_host,eps Tau b,eps Tau,1.878,0.001,1.60389,0.0008077,2.57,0.21,34.88,NASA_Exoplanet_Archive_PS,exo:eps_Tau_b
giant_host,4 UMa b,4 UMa,0.877,0.0005,0.739959,0.0004517,1.234,0.15,35.3,NASA_Exoplanet_Archive_PS,exo:4_UMa_b
giant_host,HD 59686 A b,HD 59686 A,1.086,0.00065,0.819603,0.0007803,1.9,0.2,39.47,NASA_Exoplanet_Archive_PS,exo:HD_59686_A_b
giant_host,xi Aql b,xi Aql,0.625,0.0005,0.375003,0.000397,1.74,0.245,49.64,NASA_Exoplanet_Archive_PS,exo:xi_Aql_b
giant_host,18 Del b,18 Del,2.476,0.002,2.6909,0.00271,2.1,0.11,27.41,NASA_Exoplanet_Archive_PS,exo:18_Del_b
giant_host,HD 167042 b,HD 167042,1.22,0.001,1.14352,0.00115,1.39,0.18,31.78,NASA_Exoplanet_Archive_PS,exo:HD_167042_b
giant_host,HD 210702 b,HD 210702,1.079,0.001,0.973306,0.001355,1.33,0.195,33.02,NASA_Exoplanet_Archive_PS,exo:HD_210702_b
giant_host,HD 102888 b,HD 102888,1.05,0.001,0.690103,0.0006571,2.42,0.06,45.32,NASA_Exoplanet_Archive_PS,exo:HD_102888_b
giant_host,nu Oph c,nu Oph,5.829,0.006,8.70801,0.01305,2.61,0.445,19.94,NASA_Exoplanet_Archive_PS,exo:nu_Oph_c
giant_host,HD 47366 c,HD 47366,1.84,0.002,1.85498,0.003354,1.81,0.13,29.54,NASA_Exoplanet_Archive_PS,exo:HD_47366_c
giant_host,HD 47366 b,HD 47366,1.207,0.0015,0.985845,0.001355,1.81,0.13,36.47,NASA_Exoplanet_Archive_PS,exo:HD_47366_b
giant_host,75 Cet b,75 Cet,1.912,0.0025,1.90724,0.004134,1.92,0.075,29.86,NASA_Exoplanet_Archive_PS,exo:75_Cet_b
giant_host,HD 145457 b,HD 145457,0.762,0.001,0.482218,0.0005202,1.9,0.3,47.07,NASA_Exoplanet_Archive_PS,exo:HD_145457_b
planet,WASP-77 A b,WASP-77 A,0.0232336,3.7e-08,0.00372356,1.561e-10,0.903,0.0625,185.8,NASA_Exoplanet_Archive_PS,exo:WASP-77_A_b
planet,GJ 876 d,GJ 876,0.0208066,1.5e-07,0.00530535,5.476e-08,0.32,0.03,116.8,NASA_Exoplanet_Archive_PS,exo:GJ_876_d
planet,TOI-908 b,TOI-908,0.041657,2e-06,0.00871675,1.916e-08,0.95,0.01,142.3,NASA_Exoplanet_Archive_PS,exo:TOI-908_b
planet,TOI-4552 b,TOI-4552,0.0056255,3e-07,0.000824368,3.833e-10,0.2619,0.0063,203.3,NASA_Exoplanet_Archive_PS,exo:TOI-4552_b
planet,GJ 876 b,GJ 876,0.208317,2e-05,0.167328,2.355e-05,0.32,0.03,37.08,NASA_Exoplanet_Archive_PS,exo:GJ_876_b
planet,TOI-2015 c,TOI-2015,0.041232,4e-06,0.0152849,1.136e-07,0.3041,0.03325,80.35,NASA_Exoplanet_Archive_PS,exo:TOI-2015_c
planet,61 Vir b,61 Vir,0.050201,5e-06,0.01154,1.643e-06,0.942,0.0315,129.6,NASA_Exoplanet_Archive_PS,exo:61_Vir_b
planet,TOI-2015 b,TOI-2015,0.029322,3e-06,0.00916697,8.898e-08,0.3041,0.03325,95.27,NASA_Exoplanet_Archive_PS,exo:TOI-2015_b
planet,HD 82943 c,HD 82943,0.74345,0.00012,0.602541,0.0001396,1.08,0.1332,36.75,NASA_Exoplanet_Archive_PS,exo:HD_82943_c
planet,TIC 172900988 b,TIC 172900988 Aa,0.90281,0.00016,0.548808,3.012e-05,1.238,0.0007,49,NASA_Exoplanet_Archive_PS,exo:TIC_172900988_b
planet,GJ 876 c,GJ 876,0.12959,2.4e-05,0.0823767,2.245e-05,0.32,0.03,46.86,NASA_Exoplanet_Archive_PS,exo:GJ_876_c
planet,TOI-4562 c,TOI-4562,5.219,0.002,10.924,0.538,1.192,0.057,14.23,NASA_Exoplanet_Archive_PS,exo:TOI-4562_c
planet,61 Vir c,61 Vir,0.2175,0.0001,0.104096,9.309e-05,0.942,0.0315,62.23,NASA_Exoplanet_Archive_PS,exo:61_Vir_c
