#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-17T19:07:30 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-17T19:07:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/555/A11&-out.max=200&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35550011
#Name: J/A+A/555/A11
#Title: DUNES survey observational results (Eiroa+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/555/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/555/a11	    IVOID of underlying data collection
#INFO	creator=Eiroa C.	    First author or institution
#INFO	cites=bibcode:2013A&A...555A..11E	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/555/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35550011	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_555_A11_stars:
#Name: J/A+A/555/A11/stars
#Title: The DUNES stellar sample: stellar optical data (table2), positions in Herschel (table10), parameters (table4), optical/near-IR photometry (table3a), AKARI + WISE (table3c), and IRAS + MIPS fluxes (table3d)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	HIP	(I6)	Hipparcos (HIP) star catalogue number	[ucd=meta.id;meta.main]
#Column	HD	(I6)	Henry Draper (HD) star catalogue number	[ucd=meta.id]
#Column	Names	(a20)	Other denominations	[ucd=meta.id]
#Column	SpType	(a9)	MK spectral type	[ucd=src.spType]
#Column	Sp-range	(a17)	Range of possible spectral types	[ucd=src.spType]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F8.4)	Galactic longitude (J2000.0)	[ucd=pos.galactic.lon]
#Column	GLAT	(F8.4)	Galactic latitude (J2000.0)	[ucd=pos.galactic.lat]
#Column	plx	(F6.2)	Parallax	[ucd=pos.parallax.trig]
#Column	u_plx	(F5.2)	Uncertainty in parallax	[ucd=meta.code.error;pos.parallax]
#Column	d	(F5.2)	Star distance	[ucd=pos.distance;pos.heliocentric]
#Column	RA2	(A11)	PACS 100 right ascension (J2000.0)	[ucd=pos.eq.ra]
#Column	DE2	(A11)	PACS 100 declination (J2000.0)	[ucd=pos.eq.dec]
#Column	O-PACS	(F4.1)	[0.2/10.5] Optical/PACS100 position offset	[ucd=pos;arith.diff]
#Column	Ex	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	? log10 surface gravity (6)	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	? Metallicity (6)	[ucd=phys.abund.Z]
#Column	vsini	(F5.2)	? Projected rotation velocity	[ucd=phys.veloc.rotat]
#Column	u_vsini	(A1)	? Uncertainty flag for vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	Lbol	(F6.3)	Bolometric luminosity	[ucd=phys.luminosity]
#Column	logLX/b	(F4.1)	? log10 X-ray to bolometric luminosity ratio	[ucd=phys.luminosity;arith.ratio]
#Column	l_AgeX	(A1)	Upper/lower limit to AgeX	[ucd=meta.code.error]
#Column	AgeX	(F5.2)	? Age based on X-ray data	[ucd=time.age]
#Column	logRHK	(F6.3)	? log10 flux ratio, F_CaII_/F_bol_	[ucd=phot.flux;arith.ratio]
#Column	Age2	(F5.2)	? Age based on Ca II data	[ucd=time.age]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Vmag	(F5.2)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F5.2)	Johnson-Cousins V-I colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	b-y	(F6.3)	? Stroemgren b-y colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	? Stroemgren m1 index	[ucd=phot.color]
#Column	c1	(F6.3)	? Stroemgren c1 index	[ucd=phot.color]
#Column	Jmag	(F6.3)	2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Uncertainty in 2MASS J magnitude	[ucd=stat.error;phot.mag]
#Column	q_Jmag	(A1)	[A-F] Quality flag for 2MASS J (A=best)	[ucd=meta.code.qual]
#Column	Hmag	(F6.3)	2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Uncertainty in 2MASS H magnitude	[ucd=stat.error;phot.mag]
#Column	q_Hmag	(A1)	[A-F] Quality flag for 2MASS H (A=best)	[ucd=meta.code.qual]
#Column	Ksmag	(F6.3)	2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F6.3)	? Uncertainty in 2MASS Ks magnitude	[ucd=stat.error;phot.mag]
#Column	q_Ksmag	(A1)	[A-FU] Quality flag for 2MASS Ks (A=best)	[ucd=meta.code.qual]
#Column	nIR	(I3)	Additional near-IR photometry (table3b)	[ucd=meta.number]
#Column	SED	(A3)	SED plot from various photometries	[ucd=meta.ref.url]
#Column	S9	(E8.1)	? Flux at 9{mu}m (AKARI/S9W) (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_S9	(E8.1)	? Uncertainty in the flux at 9{mu}m (1)	[ucd=stat.error]
#Column	S18	(E8.1)	? Flux at 18{mu}m (AKARI/S18W)(1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_S18	(E8.1)	? Uncertainty in the flux at 18{mu}m (1)	[ucd=stat.error]
#Column	WISE1	(E8.1)	? Flux at 3.35{mu}m (WISE/W1) (2)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_WISE1	(E8.1)	? Uncertainty in the flux at 3.35{mu}m (2)	[ucd=stat.error]
#Column	WISE3	(E8.1)	? Flux at 11.56{mu}m (WISE/W3) (2)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_WISE3	(E8.1)	? Uncertainty in the flux at 11.56{mu}m (2)	[ucd=stat.error]
#Column	WISE4	(E8.1)	? Flux at 22.09{mu}m (WISE/W4) (2)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_WISE4	(E8.1)	? Uncertainty in the flux at 11.56{mu}m (2)	[ucd=stat.error]
#Column	IRAS12	(E8.1)	? Flux at 12{mu}m (IRAS) (3)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_IRAS12	(I2)	? Uncertainty in the flux at 12{mu}m (4)	[ucd=stat.error]
#Column	IRAS25	(E8.1)	? Flux at 25{mu}m (IRAS) (3)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_IRAS25	(I2)	? Uncertainty in the flux at 25{mu}m (4)	[ucd=stat.error]
#Column	IRAS60	(E8.1)	? Flux at 60{mu}m (IRAS) (5)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	e_IRAS60	(I2)	? Uncertainty in the flux at 60{mu}m (4)	[ucd=stat.error]
#Column	MIPS24	(E8.1)	? Flux at 24{mu}m (Spitzer/MIPS) (3)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_MIPS24	(E8.1)	? Uncertainty in the flux at 24{mu}m (5)	[ucd=stat.error]
#Column	MIPS70	(E8.1)	? Flux at 70{mu}m (Spitzer/MIPS) (3)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	e_MIPS70	(E8.1)	? Uncertainty in the flux at 70{mu}m (5)	[ucd=stat.error]
recno	HIP	HD	Names	SpType	Sp-range	RAJ2000	DEJ2000	GLON	GLAT	plx	u_plx	d	RA2	DE2	O-PACS	Ex	Teff	logg	[Fe/H]	vsini	u_vsini	Lbol	logLX/b	l_AgeX	AgeX	logRHK	Age2	Simbad	Vmag	B-V	V-I	b-y	m1	c1	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Ksmag	e_Ksmag	q_Ksmag	nIR	SED	S9	e_S9	S18	e_S18	WISE1	e_WISE1	WISE3	e_WISE3	WISE4	e_WISE4	IRAS12	e_IRAS12	IRAS25	e_IRAS25	IRAS60	e_IRAS60	MIPS24	e_MIPS24	MIPS70	e_MIPS70
 	 	 	 	 	 	"h:m:s"	"d:m:s"	deg	deg	mas	mas	pc	"h:m:s"	"d:m:s"	arcsec	 	K	[cm/s2]	[Sun]	km/s	 	Lsun	[-]	 	Gyr	 	Gyr	 	mag	mag	mag	mag	mag	mag	mag	mag	 	mag	mag	 	mag	mag	 	 	 	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	Jy	%	Jy	%	Jy	%	Jy	Jy	Jy	Jy
--------	------	------	--------------------	---------	-----------------	------------	------------	--------	--------	------	-----	-----	-----------	-----------	----	-	----	-----	-----	-----	-	------	----	-	-----	------	-----	------	-----	-----	-----	------	------	------	------	------	-	------	------	-	------	------	-	---	---	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--	--------	--	--------	--	--------	--------	--------	--------
       1	   171	224930	HR 9088             	G3V      	G2V - G5V        	00 02 10.156	+27 04 56.13	109.6056	-34.5113	 82.17	 2.23	12.17	00 02 10.57	+27 04 56.0	 5.5	e	5681	 4.86	-0.52	 1.80	 	 0.614	-5.9	 	 3.12	-4.851	 3.96	Simbad	 5.80	 0.69	 0.82	 0.432	 0.184	 0.218	 4.702	 0.214	C	 4.179	 0.198	C	 4.068	 0.236	D	  0	SED	 1.7e+00	 1.4e-02	 3.5e-01	 4.6e-02	 9.1e+00	 8.9e-01	 8.4e-01	 1.2e-02	 2.5e-01	 5.4e-03	 1.2e+00	 7	 3.0e-01	17	        	  	 2.1e-01	 4.3e-03	 4.4e-02	 1.4e-02
       2	   544	   166	V439 And            	K0V      	G8V - K0V        	00 06 36.785	+29 01 17.40	111.2636	-32.8326	 73.15	 0.56	13.67	00 06 36.79	+29 01 15.8	 1.6	E	5577	 4.58	 0.12	 3.40	 	 0.616	-4.4	 	 0.32	-4.328	 0.17	Simbad	 6.07	 0.75	 0.80	 0.460	 0.290	 0.311	 4.733	 0.019	E	 4.629	 0.144	B	 4.314	 0.042	E	  0	SED	 1.0e+00	 6.0e-03	 2.7e-01	 2.9e-02	 5.8e+00	 4.4e-01	 5.4e-01	 6.9e-03	 1.9e-01	 3.9e-03	 7.7e-01	 6	 2.3e-01	12	        	  	 1.6e-01	 3.2e-03	 1.0e-01	 7.8e-03
       3	   910	   693	6 Cet               	F5V      	F5V - F8V        	00 11 15.858	-15 28 04.73	 82.2269	-75.0650	 53.34	 0.64	18.75	00 11 15.88	-15 28 03.4	 1.3	n	6160	 4.01	-0.38	 3.80	 	 3.151	-7.6	 	12.53	-4.788	 3.04	Simbad	 4.89	 0.49	 0.59	 0.328	 0.130	 0.405	 4.153	 0.268	D	 3.800	 0.208	C	 3.821	 0.218	D	  4	SED	 2.0e+00	 3.2e-02	 4.5e-01	 4.7e-02	 1.1e+01	 1.2e+00	 1.0e+00	 1.3e-02	 3.1e-01	 5.9e-03	 1.5e+00	 7	 2.4e-01	20	        	  	 2.5e-01	 5.1e-03	 3.8e-02	 4.5e-03
       4	  2941	  3443	HR 159              	K1V+...  	G5V - G9V        	00 37 20.720	-24 46 02.18	 68.8453	-86.0493	 64.93	 1.85	15.40	00 37 20.54	-24 46 03.9	 2.8	n	5509	 4.23	-0.14	 1.60	:	 1.258	    	 	     	-4.903	 4.83	Simbad	 5.57	 0.72	 0.78	 0.435	 0.254	 0.287	 4.437	 0.266	D	 3.976	 0.224	D	 4.027	 0.210	C	  0	SED	 1.6e+00	 9.8e-03	 3.9e-01	 3.2e-02	 9.3e+00	 1.1e+00	 8.2e-01	 1.1e-02	 2.5e-01	 4.4e-03	 1.3e+00	 7	 2.6e-01	15	        	  	 2.0e-01	 4.1e-03	 2.6e-02	 1.2e-02
       5	  3093	  3651	54 Psc              	K0V      	K0V - K2V        	00 39 21.806	+21 15 01.71	119.1726	-41.5331	 90.42	 0.32	11.06	00 39 21.84	+21 14 58.9	 2.8	n	5204	 4.45	 0.16	 1.15	 	 0.529	-6.0	 	 4.53	-4.991	 6.43	Simbad	 5.88	 0.85	 0.83	 0.507	 0.384	 0.335	 4.549	 0.206	C	 4.064	 0.240	D	 3.999	 0.036	E	  0	SED	 1.5e+00	 1.6e-02	 3.5e-01	 1.2e-02	 8.8e+00	 8.1e-01	 7.8e-01	 1.0e-02	 2.3e-01	 4.6e-03	 1.0e+00	 8	 2.6e-01	14	        	  	 1.9e-01	 3.9e-03	 1.5e-02	 5.7e-03
       6	  3497	  4308	LHS 1139            	G3V      	G3V - G6V        	00 44 39.267	-65 38 58.28	304.0542	-51.4639	 45.34	 0.32	22.06	00 44 39.18	-65 38 58.8	 0.7	n	5670	 4.48	-0.24	 3.00	:	 1.012	-7.6	<	15.00	-4.853	 4.00	Simbad	 6.55	 0.66	 0.72	 0.406	 0.192	 0.303	 5.366	 0.024	A	 5.101	 0.016	E	 4.945	 0.020	A	  0	SED	 6.1e-01	 1.8e-02	 1.7e-01	 1.2e-02	 3.3e+00	 2.3e-01	 3.0e-01	 4.1e-03	 9.1e-02	 2.6e-03	 4.2e-01	 6	 9.5e-02	18	        	  	 7.5e-02	 1.5e-03	 5.2e-03	 4.4e-03
       7	  3821	  4614	eta Cas             	G0V SB   	F9V - G0V        	00 49 06.291	+57 48 54.68	122.6200	 -5.0551	167.98	 0.48	 5.95	00 49 06.51	+57 48 54.3	 1.8	n	5932	 4.42	-0.23	 3.30	 	 1.209	-6.2	 	 3.62	-4.991	 6.43	Simbad	 3.46	 0.59	 0.66	 0.372	 0.185	 0.275	 2.109	 0.570	D	 2.086	 0.504	D	 1.988	      	F	  2	SED	 1.0e+01	 6.1e-02	 2.2e+00	 3.5e-02	 2.7e+01	 9.4e-01	 7.9e+00	 2.9e-02	 1.7e+00	 1.6e-02	 7.6e+00	 5	 1.8e+00	 6	        	  	 1.1e+00	 2.3e-02	 1.2e-01	 1.1e-02
       8	  3909	  4813	19 Cet              	F7IV-V   	F7IV/V - F9V     	00 50 07.590	-10 38 39.58	121.7965	-73.5132	 63.48	 0.35	15.75	00 50 07.60	-10 38 40.8	 1.2	n	6271	 4.47	-0.05	 3.00	 	 1.697	-5.9	 	 1.55	-4.780	 2.93	Simbad	 5.17	 0.51	 0.59	 0.332	 0.161	 0.360	 4.412	 0.308	D	 4.012	 0.280	D	 4.015	 0.264	D	  0	SED	 1.5e+00	 2.5e-02	 3.2e-01	 2.3e-02	 8.0e+00	 6.3e-01	 7.7e-01	 1.1e-02	 2.3e-01	 5.6e-03	 1.1e+00	 7	 3.1e-01	25	        	  	 1.9e-01	 3.8e-03	 2.4e-02	 3.5e-03
       9	  4148	  5133	LHS 1163            	K2V      	K2V - K3V        	00 53 01.135	-30 21 24.90	296.8997	-86.7528	 70.56	 0.61	14.17	00 53 01.33	-30 21 27.7	 3.7	e	4940	 4.70	-0.15	 2.00	:	 0.297	-5.2	 	 1.79	-4.830	 3.64	Simbad	 7.15	 0.94	 1.00	 0.531	 0.466	 0.269	 5.537	 0.029	A	 5.049	 0.029	A	 4.894	 0.031	A	  0	SED	 6.6e-01	 6.7e-03	        	        	 3.4e+00	 2.3e-01	 3.1e-01	 4.9e-03	 9.2e-02	 2.4e-03	 3.8e-01	13	 1.1e-01	33	        	  	 7.8e-02	 1.6e-03	 3.7e-02	 6.6e-03
      10	  7513	  9826	upsilon And         	F8V      	F8V - F9V        	01 36 47.842	+41 24 19.64	132.0009	-20.6662	 74.12	 0.19	13.49	01 36 47.76	+41 24 19.4	 0.9	n	6155	 4.13	 0.10	 9.00	 	 3.363	-6.6	 	 2.90	-5.035	 7.26	Simbad	 4.10	 0.54	 0.58	 0.346	 0.176	 0.415	 3.175	 0.210	C	 2.957	 0.178	C	 2.859	 0.274	D	  2	SED	 4.2e+00	 1.3e-02	 9.3e-01	 3.2e-02	 2.1e+01	 3.9e+00	 2.0e+00	 2.8e-02	 6.1e-01	 1.0e-02	 3.1e+00	 5	 7.3e-01	 7	        	  	 5.0e-01	 1.0e-02	 5.6e-02	 6.3e-03
      11	  7978	 10647	HR 506              	F8V      	F8V - F9V        	01 42 29.315	-53 44 27.00	286.8974	-61.7694	 57.36	 0.25	17.43	01 42 29.52	-53 44 26.2	 1.9	E	6155	 4.48	-0.04	 5.61	 	 1.523	-5.4	 	 0.96	-4.675	 1.74	Simbad	 5.52	 0.55	 0.62	 0.350	 0.173	 0.340	 4.791	 0.226	D	 4.399	 0.234	D	 4.340	 0.276	D	  0	SED	 1.1e+00	 1.9e-02	 3.1e-01	 3.9e-02	 6.2e+00	 5.6e-01	 6.0e-01	 7.7e-03	 2.2e-01	 4.0e-03	 8.1e-01	 6	 2.8e-01	13	 8.1e-01	13	 1.9e-01	 3.8e-03	 8.6e-01	 5.9e-02
