hostname,hd_name,hip_name,sy_pnum
"Kepler-543",,,1
"HD 67087","HD 67087","HIP 39767",2
"Kepler-78",,,1
"Kepler-215",,,4
"Kepler-981",,,1
"K2-187",,,4
"Kepler-1431",,,1
"70 Vir","HD 117176","HIP 65721",1
"HD 158259","HD 158259","HIP 85268",5
"Kepler-267",,,3
"Kepler-1751",,,1
"HD 40979","HD 40979","HIP 28767",1
"Kepler-302",,,2
"BD+20 594",,,1
"Kepler-271",,,3
"K2-167","HD 212657","HIP 110758",1
"Kepler-264",,,2
"GJ 414 B",,,2
"Kepler-107",,,4
"Kepler-1178",,,1
"Kepler-292",,,5
"Kepler-1192",,,1
"Kepler-96",,,1
"Kepler-393",,,2
"HD 136418","HD 136418","HIP 74961",1
"HIP 54373",,"HIP 54373",2
"K2-339",,,1
"Kepler-178",,,3
"Kepler-1515",,,1
"Kepler-1265",,,1
"Kepler-514",,,1
"Kepler-85",,,4
"Kepler-1064",,,1
"Kepler-1642",,,2
"Kepler-758",,,4
"Kepler-1729",,,1
"Kepler-672",,,1
"HD 38283","HD 38283","HIP 26380",1
"Kepler-190",,,2
"K2-42",,,1
"HD 224693","HD 224693","HIP 118319",1
"Kepler-1787",,,1
"Kepler-37",,,4
"HD 29021","HD 29021","HIP 21571",1
"Kepler-149",,,3
"Kepler-1238",,,1
"Kepler-341",,,4
"Kepler-254",,,3
"TOI-6628",,,1
"Kepler-172",,,4
"Kepler-226",,,3
"Kepler-1731",,,1
"Kepler-266",,,2
"Kepler-1110",,,1
"Kepler-245",,,4
"Kepler-140",,,2
"HR 810","HD 17051","HIP 12653",1
"TIC 77552382",,,1
"Kepler-1830",,,1
"Kepler-894",,,1
"HIP 65426","HD 116434","HIP 65426",1
"Kepler-189",,,2
"Kepler-1727",,,1
"Kepler-1581",,,1
"HD 108874","HD 108874","HIP 61028",2
"TOI-672",,,1
"Gl 725 A","HD 173739","HIP 91768",1
"Kepler-1885",,,1
"HD 23596","HD 23596","HIP 17747",1
"Kepler-1435",,,1
"Kepler-1912",,,1
"WASP-145 A",,,1
"Kepler-667",,,1
"K2-47",,,1
"HD 3651","HD 3651","HIP 3093",1
"EPIC 206024342",,,3
"HD 23472","HD 23472","HIP 17264",5
"Kepler-128",,,2
"Kepler-738",,,1
"Kepler-1324",,,1
"HD 38801","HD 38801","HIP 27384",1
"Kepler-1984",,,1
"Kepler-1204",,,1
"Kepler-1750",,,1
"HD 95127","HD 95127","HIP 53733",1
"Kepler-185",,,2
"TIC 153919886",,,1
"HD 7924","HD 7924","HIP 6379",3
"Kepler-278",,,2
"Kepler-58",,,4
"Kepler-587",,,1
"Kepler-1444",,,1
"Kepler-834",,,1
"Kepler-1363",,,1
"K2-273",,,1
"Kepler-148",,,3
"WASP-173 A",,,1
"TOI-157",,,1
"HD 114729","HD 114729","HIP 64459",1
"Kepler-561",,,2
"K2-279",,,1
"Kepler-207",,,3
"HATS-51",,,1
"Kepler-160",,,3
"Kepler-506",,,1
"Kepler-1171",,,1
"Kepler-321",,,2
"Kepler-1428",,,1
"CoRoT-22",,,1
"CoRoT-2",,,1
"HD 21411","HD 21411","HIP 16012",1
"HD 103197","HD 103197","HIP 57931",1
"K2-367",,,1
"Kepler-1725",,,1
"Kepler-1054",,,1
"Kepler-1976",,,1
"Kepler-328",,,2
"Kepler-462",,,2
"Kepler-454",,,3
"Kepler-352",,,3
"Kepler-1123",,,1
"Kepler-1041",,,1
"Kepler-1260",,,1
"Kepler-474",,,1
"K2-8",,,2
"WASP-24",,,1
"Kepler-942",,,1
"HAT-P-19",,,1
"Kepler-1490",,,1
"HD 83443","HD 83443","HIP 47202",2
"Kepler-926",,,1
"Kepler-600",,,1
"G 9-40",,,1
"Kepler-404",,,2
"Kepler-950",,,1
"Kepler-745",,,1
"TOI-3364",,,1
"WASP-54",,,1
"Kepler-1816",,,1
"BD+48 740",,"HIP 12684",1
"Kepler-1625",,,1
"Kepler-125",,,2
"Kepler-524",,,2
"K2-335",,,1
"Kepler-1437",,,1
"Kepler-551",,,1
"Kepler-1571",,,1
"Kepler-410 A","HD 175289",,1
"Kepler-625",,,2
"Kepler-1756",,,1
"Kepler-1302",,,1
"HD 65216","HD 65216","HIP 38558",2
"Kepler-1281",,,1
"Kepler-1121",,,1
"HD 5319","HD 5319","HIP 4297",2
"Kepler-285",,,2
"HD 109271","HD 109271","HIP 61300",2
"WASP-14",,,1
"K2-90",,,2
"Kepler-104",,,3
"Kepler-555",,,1
"Kepler-1500",,,1
"Kepler-1065",,,2
"KOI-142",,,3
"TOI-3714",,,1
"HAT-P-1",,,1
"L 168-9",,"HIP 115211",1
"Kepler-1268",,,1
"Kepler-1939",,,1
"Kepler-419",,,2
"Kepler-1348",,,1
"WASP-107",,,2
"HAT-P-17",,,2
"Kepler-578",,,1
"KIC 5437945",,,2
"Kepler-95",,,1
"TOI-1685",,,1
"TOI-836",,"HIP 73427",2
"Kepler-1153",,,1
"Kepler-755",,,2
"WASP-32",,,1
"HD 1605","HD 1605","HIP 1640",2
"HD 102956","HD 102956","HIP 57820",1
"Ross 458",,"HIP 63510",1
"Kepler-1211",,,1
"Kepler-1029",,,1
"Kepler-1949",,,1
"Kepler-1373",,,1
"Kepler-1273",,,1
"Kepler-1426",,,1
"Wendelstein-1",,,1
"Kepler-1045",,,1
"Kepler-1649",,,2
"eps Tau","HD 28305","HIP 20889",1
"Kepler-1071",,,1
"Kepler-386",,,2
"Kepler-1235",,,1
"Kepler-430",,,2
"TOI-6109",,,2
"HIP 107773","HD 207229","HIP 107773",1
"Kepler-1276",,,1
"GJ 9714","HD 199981","HIP 103768",1
"Kepler-1768",,,1
"Kepler-167 B",,,4
"Kepler-61",,,1
"Kepler-1716",,,1
"HD 17156","HD 17156","HIP 13192",1
"HD 165155","HD 165155","HIP 88650",1
"HD 27442","HD 27442","HIP 19921",1
"Kepler-379",,,2
"tau Cet","HD 10700","HIP 8102",3
"Kepler-357",,,3
"Kepler-327",,,3
"TOI-4336 A",,,2
"Kepler-1341",,,1
"K2-272",,,1
"Kepler-1831",,,1
"Kepler-1594",,,1
"HD 187123","HD 187123","HIP 97336",2
"Kepler-1617",,,1
"Kepler-501",,,2
"Kepler-1905",,,1
"TOI-1736",,,2
"WASP-130",,,1
"Kepler-382",,,2
"CT Cha",,,1
"Kepler-491",,,1
"K2-89",,,1
"nu Oph","HD 163917","HIP 88048",2
"Kepler-1502",,,1
"Kepler-1685",,,1
"Kepler-36",,,2
"HD 4313","HD 4313","HIP 3574",1
"HD 25171","HD 25171","HIP 18387",1
"WASP-50",,,1
"HAT-P-60",,,1
"GJ 3341",,,1
"Kepler-782",,,1
"Kepler-1223",,,1
"K2-100",,,1
"Kepler-1770",,,1
"Kepler-1062",,,1
"HD 118203","HD 118203","HIP 66192",2
"Kepler-373",,,2
"Kepler-678",,,1
"Kepler-1769",,,1
"Kepler-712",,,2
"HATS-17",,,1
"Kepler-279",,,4
"Kepler-718",,,1
"GJ 832","HD 204961","HIP 106440",1
"Kepler-1212",,,1
"TOI-1814",,,1
"HD 12661","HD 12661","HIP 9683",2
"TOI-4633",,,1
"WASP-195",,,1
"Kepler-1017",,,1
"EPIC 211945201",,,1
"KOI-3680",,,1
"Kepler-218",,,3
"Kepler-1445",,,1
"Kepler-941",,,1
"Kepler-1206",,,1
"K2-185",,,2
"Kepler-1909",,,1
"Kepler-1012",,,1
"Qatar-8",,,1
"Kepler-219",,,3
"HD 135872","HD 135872",,1
"HD 30562","HD 30562","HIP 22336",1
"Kepler-1622",,,1
"Kepler-1365",,,2
"Kepler-447",,,1
"Kepler-97",,,2
"Kepler-1992",,,1
"Kepler-1217",,,1
"Kepler-530",,,1
"eps Ind C",,,1
"K2-107",,,1
"K2-218",,,1
"GJ 143","HD 21749","HIP 16069",2
