T_surf(Jup) = 10318.8694 SI s
J_day       = 35730.0000 SI s
k           = 7042.51
z           = 2.016253e-08

Scanning: what division D of Jupiter's day gives T = N^2 ticks?
tick = J_day / D,  T_in_ticks = T / tick = T * D / J_day

D           T_in_ticks      sqrt   nearest_N      err%    tick(SI_s)
--------------------------------------------------------------------
1250            361.00   19.0000          19    0.0004     28.584000
1385            399.99   19.9997          20    0.0026     25.797834
1527            441.00   21.0000          21    0.0001     23.398821
1676            484.03   22.0007          22    0.0064     21.318616
2164            624.97   24.9993          25    0.0054     16.511091
2524            728.93   26.9988          27    0.0090     14.156101
2912            840.99   28.9998          29    0.0013     12.269918
3546           1024.09   32.0014          32    0.0087     10.076142
3771           1089.07   33.0011          33    0.0064      9.474940
4003           1156.07   34.0011          34    0.0062      8.925806
4242           1225.09   35.0014          35    0.0078      8.422914
4740           1368.92   36.9989          37    0.0060      7.537975
5000           1444.01   38.0001          38    0.0004      7.146000
5267           1521.12   39.0015          39    0.0076      6.783748
5540           1599.96   39.9995          40    0.0026      6.449458
5821           1681.11   41.0014          41    0.0067      6.138121
6108           1764.00   42.0000          42    0.0001      5.849705
6402           1848.91   42.9989          43    0.0051      5.581068
6703           1935.83   43.9981          44    0.0085      5.330449
6704           1936.12   44.0014          44    0.0064      5.329654
7012           2025.07   45.0008          45    0.0037      5.095550
7327           2116.05   46.0005          46    0.0022      4.876484
7649           2209.04   47.0004          47    0.0019      4.671199
7978           2304.06   48.0006          48    0.0025      4.478566
8313           2400.80   48.9980          49    0.0081      4.298087
8314           2401.09   49.0010          49    0.0039      4.297570
8656           2499.86   49.9986          50    0.0054      4.127773
8657           2500.15   50.0015          50    0.0061      4.127296
9006           2600.94   50.9995          51    0.0021      3.967355
9007           2601.23   51.0023          51    0.0090      3.966915
9362           2703.76   51.9977          52    0.0090      3.816492
9363           2704.05   52.0004          52    0.0017      3.816085
9726           2808.88   52.9989          53    0.0042      3.673658
9727           2809.17   53.0016          53    0.0061      3.673281
10096          2915.74   53.9976          54    0.0090      3.539025
10097          2916.03   54.0002          54    0.0009      3.538675
10474          3024.90   54.9991          55    0.0032      3.411304
10475          3025.19   55.0018          55    0.0064      3.410979
10858          3135.80   55.9983          56    0.0062      3.290661
10859          3136.09   56.0008          56    0.0030      3.290358
11249          3248.73   56.9976          57    0.0084      3.176282
11250          3249.01   57.0001          57    0.0004      3.176000
11251          3249.30   57.0027          57    0.0093      3.175718
11647          3363.67   57.9971          58    0.0099      3.067743
11648          3363.96   57.9996          58    0.0013      3.067479
11649          3364.25   58.0021          58    0.0073      3.067216
12053          3480.92   58.9993          59    0.0022      2.964407
12054          3481.21   59.0018          59    0.0060      2.964161
12465          3599.91   59.9992          60    0.0026      2.866426
12466          3600.20   60.0016          60    0.0055      2.866196
12884          3720.92   60.9993          61    0.0023      2.773207
12885          3721.20   61.0017          61    0.0055      2.772992
13309          3843.66   61.9972          62    0.0089      2.684649
13310          3843.94   61.9996          62    0.0014      2.684448
13311          3844.23   62.0019          62    0.0061      2.684246
13742          3968.71   62.9977          63    0.0074      2.600058
13743          3969.00   63.0000          63    0.0001      2.599869
13744          3969.28   63.0023          63    0.0072      2.599680
14182          4095.78   63.9983          64    0.0054      2.519391
14183          4096.07   64.0005          64    0.0017      2.519213
14184          4096.36   64.0028          64    0.0087      2.519036
14628          4224.58   64.9968          65    0.0098      2.442576
14629          4224.87   64.9990          65    0.0030      2.442409
14630          4225.16   65.0013          65    0.0038      2.442242
15082          4355.70   65.9977          66    0.0069      2.369049
15083          4355.99   65.9999          66    0.0002      2.368892
15084          4356.28   66.0021          66    0.0064      2.368735
15543          4488.84   66.9988          67    0.0036      2.298784
15544          4489.13   67.0009          67    0.0028      2.298636
15545          4489.42   67.0031          67    0.0093      2.298488
16010          4623.71   67.9979          68    0.0063      2.231730
16011          4624.00   68.0000          68    0.0001      2.231591
16012          4624.29   68.0021          68    0.0062      2.231451
16484          4760.60   68.9971          69    0.0084      2.167556
16485          4760.89   68.9992          69    0.0023      2.167425
16486          4761.18   69.0013          69    0.0037      2.167293
16487          4761.47   69.0034          69    0.0098      2.167162
16965          4899.51   69.9965          70    0.0099      2.106101
16966          4899.80   69.9986          70    0.0040      2.105977
16967          4900.09   70.0007          70    0.0019      2.105853
16968          4900.38   70.0027          70    0.0078      2.105728
17454          5040.74   70.9982          71    0.0052      2.047095
17455          5041.03   71.0002          71    0.0005      2.046978
17456          5041.31   71.0022          71    0.0062      2.046861
17949          5183.69   71.9979          72    0.0059      1.990640
17950          5183.98   71.9999          72    0.0003      1.990529
17951          5184.27   72.0019          72    0.0052      1.990418
18451          5328.67   72.9978          73    0.0062      1.936480
18452          5328.96   72.9997          73    0.0007      1.936375
18453          5329.25   73.0017          73    0.0047      1.936271
18960          5475.67   73.9978          74    0.0060      1.884494
18961          5475.96   73.9997          74    0.0007      1.884394
18962          5476.25   74.0017          74    0.0046      1.884295
18963          5476.54   74.0036          74    0.0098      1.884196
19476          5624.69   74.9980          75    0.0054      1.834566
19477          5624.98   74.9999          75    0.0003      1.834471
19478          5625.27   75.0018          75    0.0048      1.834377
19479          5625.56   75.0037          75    0.0100      1.834283
19998          5775.45   75.9964          76    0.0096      1.786679
19999          5775.74   75.9983          76    0.0046      1.786589
20000          5776.03   76.0002          76    0.0004      1.786500
20001          5776.31   76.0021          76    0.0054      1.786411
20528          5928.51   76.9968          77    0.0082      1.740549
20529          5928.80   76.9987          77    0.0034      1.740465
20530          5929.09   77.0006          77    0.0015      1.740380
20531          5929.38   77.0025          77    0.0064      1.740295
21065          6083.60   77.9974          78    0.0066      1.696178
21066          6083.89   77.9993          78    0.0018      1.696098
21067          6084.18   78.0011          78    0.0029      1.696017
21068          6084.47   78.0030          78    0.0076      1.695937
21608          6240.42   78.9963          79    0.0093      1.653554
21609          6240.71   78.9981          79    0.0047      1.653478
21610          6241.00   79.0000          79    0.0001      1.653401
21611          6241.28   79.0018          79    0.0046      1.653325
21612          6241.57   79.0036          79    0.0092      1.653248
22159          6399.55   79.9972          80    0.0071      1.612437
22160          6399.84   79.9990          80    0.0026      1.612365
22161          6400.12   80.0008          80    0.0020      1.612292
22162          6400.41   80.0026          80    0.0065      1.612219
22716          6560.41   80.9964          81    0.0090      1.572900
22717          6560.70   80.9981          81    0.0046      1.572831
22718          6560.99   80.9999          81    0.0002      1.572762
22719          6561.28   81.0017          81    0.0042      1.572692
22720          6561.56   81.0035          81    0.0086      1.572623
23281          6723.58   81.9975          82    0.0062      1.534728
23282          6723.87   81.9992          82    0.0019      1.534662
23283          6724.16   82.0010          82    0.0024      1.534596
23284          6724.45   82.0027          82    0.0067      1.534530
23852          6888.49   82.9969          83    0.0074      1.497988
23853          6888.78   82.9987          83    0.0032      1.497925
23854          6889.07   83.0004          83    0.0010      1.497862
23855          6889.35   83.0021          83    0.0051      1.497799
23856          6889.64   83.0039          83    0.0093      1.497736
24430          7055.42   83.9965          84    0.0083      1.462546
24431          7055.70   83.9982          84    0.0042      1.462486
24432          7055.99   84.0000          84    0.0001      1.462426
24433          7056.28   84.0017          84    0.0040      1.462366
24434          7056.57   84.0034          84    0.0081      1.462307
25015          7224.36   84.9963          85    0.0088      1.428343
25016          7224.65   84.9980          85    0.0048      1.428286
25017          7224.94   84.9997          85    0.0008      1.428229
25018          7225.23   85.0014          85    0.0032      1.428172
25019          7225.52   85.0031          85    0.0072      1.428115
25607          7395.33   85.9961          86    0.0090      1.395322
25608          7395.62   85.9978          86    0.0051      1.395267
25609          7395.91   85.9995          86    0.0012      1.395213
25610          7396.20   86.0012          86    0.0027      1.395158
25611          7396.49   86.0028          86    0.0066      1.395104
26206          7568.33   86.9961          87    0.0089      1.363428
26207          7568.61   86.9978          87    0.0051      1.363376
26208          7568.90   86.9994          87    0.0013      1.363324
26209          7569.19   87.0011          87    0.0025      1.363272
26210          7569.48   87.0028          87    0.0064      1.363220
26812          7743.34   87.9962          88    0.0085      1.332612
26813          7743.63   87.9979          88    0.0048      1.332563
26814          7743.92   87.9995          88    0.0011      1.332513
26815          7744.21   88.0012          88    0.0027      1.332463
26816          7744.49   88.0028          88    0.0064      1.332413
27425          7920.37   88.9965          89    0.0079      1.302826
27426          7920.66   88.9981          89    0.0042      1.302778
27427          7920.95   88.9997          89    0.0006      1.302731
27428          7921.24   89.0014          89    0.0030      1.302683
27429          7921.53   89.0030          89    0.0067      1.302636
28045          8099.43   89.9968          90    0.0070      1.274024
28046          8099.72   89.9984          90    0.0035      1.273978
28047          8100.01   90.0001          90    0.0001      1.273933
28048          8100.30   90.0017          90    0.0037      1.273888
28049          8100.59   90.0033          90    0.0072      1.273842
28671          8280.22   90.9957          91    0.0094      1.246207
28672          8280.51   90.9973          91    0.0059      1.246164
28673          8280.80   90.9989          91    0.0024      1.246120
28674          8281.09   91.0005          91    0.0011      1.246077
28675          8281.38   91.0021          91    0.0045      1.246033
28676          8281.67   91.0037          91    0.0080      1.245990
29305          8463.32   91.9963          92    0.0080      1.219246
29306          8463.61   91.9979          92    0.0046      1.219204
29307          8463.90   91.9994          92    0.0012      1.219163
29308          8464.19   92.0010          92    0.0022      1.219121
29309          8464.48   92.0026          92    0.0056      1.219079
29310          8464.77   92.0042          92    0.0090      1.219038
29945          8648.15   92.9955          93    0.0098      1.193188
29946          8648.44   92.9970          93    0.0064      1.193148
29947          8648.73   92.9986          93    0.0031      1.193108
29948          8649.02   93.0001          93    0.0002      1.193068
29949          8649.31   93.0017          93    0.0036      1.193028
29950          8649.60   93.0032          93    0.0069      1.192988
30593          8835.30   93.9963          94    0.0080      1.167914
30594          8835.59   93.9978          94    0.0047      1.167876
30595          8835.87   93.9993          94    0.0014      1.167838
30596          8836.16   94.0009          94    0.0019      1.167800
30597          8836.45   94.0024          94    0.0051      1.167762
30598          8836.74   94.0039          94    0.0084      1.167723
31247          9024.17   94.9956          95    0.0092      1.143470
31248          9024.46   94.9972          95    0.0060      1.143433
31249          9024.75   94.9987          95    0.0028      1.143397
31250          9025.04   95.0002          95    0.0004      1.143360
31251          9025.33   95.0017          95    0.0036      1.143323
31252          9025.62   95.0032          95    0.0068      1.143287
31909          9215.36   95.9967          96    0.0069      1.119747
31910          9215.65   95.9982          96    0.0038      1.119712
31911          9215.94   95.9997          96    0.0007      1.119677
31912          9216.23   96.0012          96    0.0025      1.119642
31913          9216.51   96.0027          96    0.0056      1.119606
31914          9216.80   96.0042          96    0.0087      1.119571
32577          9408.28   96.9963          97    0.0077      1.096786
32578          9408.57   96.9978          97    0.0046      1.096752
32579          9408.86   96.9993          97    0.0015      1.096719
32580          9409.15   97.0007          97    0.0015      1.096685
32581          9409.43   97.0022          97    0.0046      1.096651
32582          9409.72   97.0037          97    0.0077      1.096618
33252          9603.22   97.9960          98    0.0081      1.074522
33253          9603.51   97.9975          98    0.0051      1.074490
33254          9603.80   97.9990          98    0.0021      1.074457
33255          9604.09   98.0004          98    0.0009      1.074425
33256          9604.38   98.0019          98    0.0039      1.074393
33257          9604.66   98.0034          98    0.0069      1.074360
33258          9604.95   98.0049          98    0.0099      1.074328
33934          9800.18   98.9959          99    0.0083      1.052926
33935          9800.47   98.9973          99    0.0054      1.052895
33936          9800.76   98.9988          99    0.0025      1.052864
33937          9801.05   99.0002          99    0.0005      1.052833
33938          9801.34   99.0017          99    0.0034      1.052802
33939          9801.63   99.0032          99    0.0064      1.052771
33940          9801.92   99.0046          99    0.0093      1.052740
34623          9999.17   99.9958         100    0.0083      1.031973
34624          9999.46   99.9973         100    0.0054      1.031943
34625          9999.74   99.9987         100    0.0026      1.031913
34626         10000.03  100.0002         100    0.0003      1.031884
34627         10000.32  100.0016         100    0.0032      1.031854
34628         10000.61  100.0031         100    0.0061      1.031824
34629         10000.90  100.0045         100    0.0090      1.031794
35319         10200.17  100.9959         101    0.0081      1.011637
35320         10200.46  100.9973         101    0.0053      1.011608
35321         10200.75  100.9988         101    0.0025      1.011580
35322         10201.04  101.0002         101    0.0004      1.011551
35323         10201.33  101.0016         101    0.0032      1.011522
35324         10201.62  101.0030         101    0.0060      1.011494
35325         10201.90  101.0045         101    0.0089      1.011465
36022         10403.20  101.9961         102    0.0077      0.991894
36023         10403.49  101.9975         102    0.0049      0.991866
36024         10403.78  101.9989         102    0.0021      0.991839
36025         10404.07  102.0003         102    0.0006      0.991811
36026         10404.35  102.0017         102    0.0034      0.991784
36027         10404.64  102.0032         102    0.0062      0.991756
36028         10404.93  102.0046         102    0.0090      0.991729
36731         10607.96  102.9949         103    0.0098      0.972748
36732         10608.25  102.9964         103    0.0071      0.972721
36733         10608.54  102.9978         103    0.0044      0.972695
36734         10608.83  102.9992         103    0.0016      0.972668
36735         10609.11  103.0006         103    0.0011      0.972642
36736         10609.40  103.0020         103    0.0038      0.972615
36737         10609.69  103.0034         103    0.0065      0.972589
36738         10609.98  103.0048         103    0.0092      0.972562
37448         10815.03  103.9953         104    0.0090      0.954123
37449         10815.32  103.9967         104    0.0063      0.954098
37450         10815.61  103.9981         104    0.0036      0.954072
37451         10815.90  103.9995         104    0.0010      0.954047
37452         10816.19  104.0009         104    0.0017      0.954021
37453         10816.47  104.0023         104    0.0044      0.953996
37454         10816.76  104.0037         104    0.0071      0.953970
37455         10817.05  104.0051         104    0.0097      0.953945
38172         11024.12  104.9958         105    0.0080      0.936026
38173         11024.41  104.9972         105    0.0053      0.936002
38174         11024.70  104.9986         105    0.0027      0.935977
38175         11024.99  104.9999         105    0.0001      0.935953
38176         11025.28  105.0013         105    0.0025      0.935928
38177         11025.57  105.0027         105    0.0051      0.935904
38178         11025.85  105.0041         105    0.0078      0.935879
38902         11234.95  105.9950         106    0.0094      0.918462
38903         11235.24  105.9964         106    0.0068      0.918438
38904         11235.52  105.9978         106    0.0042      0.918415
38905         11235.81  105.9991         106    0.0017      0.918391
38906         11236.10  106.0005         106    0.0009      0.918367
38907         11236.39  106.0018         106    0.0035      0.918344
38908         11236.68  106.0032         106    0.0061      0.918320
38909         11236.97  106.0046         106    0.0086      0.918297
39640         11448.08  106.9957         107    0.0080      0.901362
39641         11448.37  106.9971         107    0.0055      0.901340
39642         11448.66  106.9984         107    0.0030      0.901317
39643         11448.95  106.9998         107    0.0004      0.901294
39644         11449.24  107.0011         107    0.0021      0.901271
39645         11449.53  107.0025         107    0.0046      0.901249
39646         11449.82  107.0038         107    0.0071      0.901226
39647         11450.10  107.0052         107    0.0096      0.901203
40384         11662.95  107.9951         108    0.0090      0.884756
40385         11663.24  107.9965         108    0.0065      0.884734
40386         11663.53  107.9978         108    0.0040      0.884713
40387         11663.82  107.9992         108    0.0016      0.884691
40388         11664.11  108.0005         108    0.0009      0.884669
40389         11664.39  108.0018         108    0.0034      0.884647
40390         11664.68  108.0032         108    0.0059      0.884625
40391         11664.97  108.0045         108    0.0083      0.884603
41135         11879.84  108.9947         109    0.0098      0.868603
41136         11880.13  108.9960         109    0.0073      0.868582
41137         11880.42  108.9973         109    0.0049      0.868561
41138         11880.71  108.9987         109    0.0025      0.868540
41139         11881.00  109.0000         109    0.0000      0.868519
41140         11881.28  109.0013         109    0.0024      0.868498
41141         11881.57  109.0026         109    0.0048      0.868477
41142         11881.86  109.0040         109    0.0073      0.868456
41143         11882.15  109.0053         109    0.0097      0.868434
41894         12099.04  109.9956         110    0.0079      0.852867
41895         12099.33  109.9970         110    0.0055      0.852846
41896         12099.62  109.9983         110    0.0032      0.852826
41897         12099.91  109.9996         110    0.0008      0.852806
41898         12100.20  110.0009         110    0.0016      0.852785
41899         12100.48  110.0022         110    0.0040      0.852765
41900         12100.77  110.0035         110    0.0064      0.852745
41901         12101.06  110.0048         110    0.0088      0.852724
42659         12319.97  110.9954         111    0.0083      0.837572
42660         12320.26  110.9967         111    0.0060      0.837553
42661         12320.55  110.9980         111    0.0036      0.837533
42662         12320.84  110.9993         111    0.0013      0.837513
42663         12321.13  111.0006         111    0.0010      0.837494
42664         12321.42  111.0019         111    0.0034      0.837474
42665         12321.71  111.0032         111    0.0057      0.837455
42666         12321.99  111.0045         111    0.0081      0.837435
43431         12542.93  111.9952         112    0.0085      0.822684
43432         12543.22  111.9965         112    0.0062      0.822665
43433         12543.51  111.9978         112    0.0039      0.822646
43434         12543.79  111.9991         112    0.0016      0.822627
43435         12544.08  112.0004         112    0.0007      0.822608
43436         12544.37  112.0017         112    0.0030      0.822590
43437         12544.66  112.0029         112    0.0053      0.822571
43438         12544.95  112.0042         112    0.0076      0.822552
43439         12545.24  112.0055         112    0.0099      0.822533
44210         12767.90  112.9952         113    0.0086      0.808188
44211         12768.19  112.9964         113    0.0063      0.808170
44212         12768.48  112.9977         113    0.0041      0.808152
44213         12768.77  112.9990         113    0.0018      0.808133
44214         12769.06  113.0003         113    0.0005      0.808115
44215         12769.35  113.0015         113    0.0027      0.808097
44216         12769.64  113.0028         113    0.0050      0.808079
44217         12769.93  113.0041         113    0.0072      0.808060
44218         12770.21  113.0054         113    0.0095      0.808042
44996         12994.90  113.9952         114    0.0084      0.794071
44997         12995.19  113.9965         114    0.0062      0.794053
44998         12995.48  113.9977         114    0.0040      0.794035
44999         12995.77  113.9990         114    0.0018      0.794018
45000         12996.06  114.0003         114    0.0004      0.794000
45001         12996.35  114.0015         114    0.0027      0.793982
45002         12996.63  114.0028         114    0.0049      0.793965
45003         12996.92  114.0041         114    0.0071      0.793947
45004         12997.21  114.0053         114    0.0093      0.793929
45789         13223.92  114.9953         115    0.0082      0.780318
45790         13224.21  114.9966         115    0.0060      0.780301
45791         13224.50  114.9978         115    0.0038      0.780284
45792         13224.79  114.9991         115    0.0016      0.780267
45793         13225.08  115.0003         115    0.0006      0.780250
45794         13225.37  115.0016         115    0.0028      0.780233
45795         13225.65  115.0028         115    0.0049      0.780216
45796         13225.94  115.0041         115    0.0071      0.780199
45797         13226.23  115.0054         115    0.0093      0.780182
46588         13454.67  115.9943         116    0.0099      0.766936
46589         13454.96  115.9955         116    0.0077      0.766919
46590         13455.25  115.9968         116    0.0056      0.766903
46591         13455.54  115.9980         116    0.0034      0.766886
46592         13455.83  115.9993         116    0.0013      0.766870
46593         13456.12  116.0005         116    0.0009      0.766853
46594         13456.41  116.0018         116    0.0030      0.766837
46595         13456.70  116.0030         116    0.0052      0.766820
46596         13456.98  116.0042         116    0.0073      0.766804
46597         13457.27  116.0055         116    0.0095      0.766788
47395         13687.74  116.9946         117    0.0092      0.753877
47396         13688.02  116.9958         117    0.0071      0.753861
47397         13688.31  116.9971         117    0.0050      0.753845
47398         13688.60  116.9983         117    0.0029      0.753829
47399         13688.89  116.9995         117    0.0008      0.753813
