# FLM14 run-6 per-seat dwell-fraction table (ADJ-13 export)
# J. C. Harvey, Melbourne - 2026-07-07. Tool: flm14_form6.py (exit 0).
# Cross-program stake: CH07-R2 root WELL-DEPTH-AT-CONTACT - the chemistry
# well is x17.2 too deep because seats count at FULL simultaneous weight;
# the dwell-WEIGHTED well uses THESE fractions. Instrument: two-channel
# tour (flm14_form4b dynamics verbatim, T_W=27), beta=0.20 (centre),
# 64 phase draws x 40,000 hops, measurement half, pooled per ADJ-8.
# dwell_frac = seat dwell time / total dwell time (the Born-mapped
# occupancy); visit_frac = landing-count fraction; dpv = dwell per visit;
# A_mf = memory-free per-hop |net wake deposit| (ADJ-13 measure).

# geometry seed 1: 42 seats, phase seeds 10001-10064, drift 0.0035 (PASS)
# seat  shell  radius      x        y        z     deg  z_eff  omega    dwell_frac   visit_frac   dpv          A_mf
    0      0   1.000   +0.303  +0.697  +0.650    7    8.0  0.3861  6.756485e-01  4.357445e-01  8.701312e-04  1.021981e-01
    1      0   1.000   +0.994  +0.032  -0.109    7    8.0  0.3861  2.117429e-01  4.202102e-01  2.827731e-04  1.044399e-01
    2      0   1.000   -0.397  +0.909  -0.126    7    8.0  0.3861  3.665619e-02  2.222109e-02  9.257159e-04  4.157705e-02
    3      0   1.000   +0.388  -0.293  +0.874    7    8.0  0.3861  5.448963e-02  4.233047e-02  7.223650e-04  9.204555e-02
    4      0   1.000   +0.215  -0.146  -0.966    7    8.0  0.3861  6.570143e-03  1.006875e-02  3.661804e-04  3.586218e-02
    5      0   1.000   -0.893  +0.104  +0.437    7    8.0  0.3861  7.511043e-03  1.184375e-02  3.558827e-04  3.823544e-02
    6      0   1.000   +0.264  -0.963  -0.057    8    9.0  0.4343  3.471150e-04  2.061953e-02  9.446924e-06  5.105300e-02
    7      0   1.000   -0.782  -0.439  -0.441    9   10.0  0.4826  2.734230e-04  1.796094e-03  8.542831e-05  6.668104e-03
    8      1   1.550   -0.009  +0.753  +1.355   10   10.0  0.4826  1.728618e-03  1.041172e-02  9.316923e-05  4.382042e-02
    9      1   1.550   +0.022  +1.518  -0.310    9    9.0  0.4343  5.411175e-04  1.130391e-02  2.686327e-05  3.244844e-02
