╔══════════════════════════════════════════════════════════════╗
║  APS01 B+++: BLIND PAIRING & MAGNETIC GEAR DISCOVERY       ║
╚══════════════════════════════════════════════════════════════╝

══ TABLE 1: PAIRING METRICS ══

  ID  Z    OLI   CBI  BP   rho   PS1  NPBP1  PCI1  rough    RWI      MdA     MdB     MdC
  ──────────────────────────────────────────────────────────────────────────────
   0  1   1.00  0.00   0 0.750 1.000  0.000 0.750 0.0000 0.0000  ?       CANCEL  CANCEL 
   1  2   2.21  2.21   1 0.806 0.452  1.213 0.364 0.0000 0.0000  ?       CANCEL  CANCEL 
   2  3  14.03 14.03   1 0.343 0.071 13.028 0.024 1.1657 0.6126  LOOSE   LOOSE   LOOSE  
   3  4   1.95  8.45   2 0.293 0.512  0.953 0.150 0.6049 0.1711  CANCEL  CANCEL  CANCEL 
   4  5   3.03  6.84   3 0.431 0.330  2.031 0.142 0.4302 0.1467  BREACH  BREACH  BREACH 
   5  6   2.17  6.08   4 0.112 0.462  1.166 0.052 0.3203 0.1707  BREACH  BREACH  BREACH 
   6  7   2.04  5.64   5 0.164 0.491  1.037 0.080 0.2686 0.1348  BREACH  BREACH  BREACH 
   7  8   2.58  5.35   6 0.145 0.388  1.579 0.056 0.2532 0.1299  BREACH  BREACH  BREACH 
   8  9   2.01  5.15   7 0.729 0.498  1.007 0.363 0.2117 0.0115  CANCEL  CANCEL  CANCEL 
   9 10   1.90  5.00   8 0.771 0.526  0.900 0.406 0.1884 0.0086  CANCEL  CANCEL  CANCEL 
  10 11   9.20  9.20   1 0.409 0.109  8.201 0.044 0.8138 0.3850  LOOSE   LOOSE   LOOSE  
  11 12   1.97  5.33   2 0.354 0.509  0.966 0.180 0.2486 0.0642  CANCEL  CANCEL  CANCEL 
  12 13   3.15  3.15   1 0.525 0.318  2.146 0.167 0.1344 0.0383  ?       RESIDUAL RESIDUAL
  13 14   2.01  2.05   2 0.096 0.499  1.005 0.048 0.0371 0.0201  ?       SOFT    RESIDUAL
  14 15   1.89  1.89   1 0.134 0.530  0.885 0.071 0.0220 0.0114  ?       RESIDUAL RESIDUAL
  15 16   2.25  2.25   1 0.111 0.444  1.253 0.049 0.0484 0.0258  ?       SOFT    RESIDUAL
  16 17   1.84  1.84   1 0.000 0.545  0.836 0.000 0.0024 0.0015  ?       SOFT    SOFT   
  17 18   1.75  1.75   1 0.733 0.570  0.753 0.418 0.0176 0.0009  ?       CANCEL  CANCEL 
  18 19   7.29  7.29   1 0.371 0.137  6.285 0.051 0.6524 0.3283  LOOSE   LOOSE   LOOSE  
  19 20   1.94  4.29   2 0.308 0.515  0.942 0.158 0.1569 0.0435  CANCEL  CANCEL  CANCEL 
  20 21   1.95  1.95   1 0.000 0.513  0.951 0.000 0.0000 0.0000  ?       SOFT    SOFT   
  21 22   1.99  2.02   2 0.000 0.503  0.989 0.000 0.0001 0.0000  ?       SOFT    SOFT   
  22 23   2.17  2.17   1 0.000 0.460  1.173 0.000 0.0017 0.0010  ?       SOFT    SOFT   
  23 24   2.44  2.44   1 0.000 0.410  1.436 0.000 0.0169 0.0102  ?       SOFT    D-GEAR 
  24 25   2.10  2.15   2 0.000 0.475  1.104 0.000 0.0001 0.0001  ?       SOFT    SOFT   
  25 26   2.05  2.05   1 0.000 0.488  1.049 0.000 0.0015 0.0009  ?       SOFT    SOFT   
  26 27   2.17  2.17   1 0.000 0.461  1.168 0.000 0.0025 0.0015  ?       SOFT    SOFT   
  27 28   2.38  2.38   1 0.000 0.420  1.378 0.000 0.0105 0.0063  ?       SOFT    D-GEAR 
  28 29   2.63  2.63   1 0.000 0.381  1.626 0.000 0.0341 0.0205  ?       SOFT    D-GEAR 
