scale,class,type,id,xi,B,sigmaB
C,dwarf,F,D631-7@0.450000,0.0788221,0.58715,0.220618
C,dwarf,F,D631-7@0.900000,0.0991182,1.04583,0.26087
C,dwarf,T,D631-7@1.350000,0.107831,1.36737,0.247179
C,dwarf,F,D631-7@1.800000,0.0946795,1.6497,0.237045
C,dwarf,F,D631-7@2.250000,0.0777899,2.02568,0.212492
C,dwarf,F,D631-7@2.690000,0.0657586,2.50597,0.233805
C,dwarf,F,D631-7@3.140000,0.0544288,3.11198,0.229921
C,dwarf,F,D631-7@3.590000,0.0457628,3.72683,0.259897
C,dwarf,F,D631-7@4.040000,0.0388813,4.46412,0.334809
C,dwarf,F,D631-7@4.490000,0.0328549,5.35587,0.39497
C,dwarf,F,D631-7@4.940000,0.0281129,6.36717,0.508909
C,dwarf,F,D631-7@5.390000,0.0240352,7.28137,0.702408
C,dwarf,F,D631-7@5.840000,0.0207007,8.30702,0.930272
C,dwarf,F,D631-7@6.290000,0.0179146,8.94273,1.20765
C,dwarf,F,D631-7@6.740000,0.0155938,9.32734,1.31585
C,dwarf,F,D631-7@7.190000,0.0136229,9.87028,1.35738
C,dwarf,F,DDO064@0.100000,0.00189599,61.4445,90.2618
C,dwarf,F,DDO064@0.300000,0.0136485,13.8945,9.23631
C,dwarf,F,DDO064@0.490000,0.0278498,5.25107,3.11025
C,dwarf,F,DDO064@0.690000,0.0439903,3.28433,1.64931
C,dwarf,F,DDO064@0.890000,0.0391755,4.27541,1.75577
C,dwarf,F,DDO064@1.090000,0.0430456,4.40711,1.53667
C,dwarf,F,DDO064@1.290000,0.0540156,5.26572,1.37834
C,dwarf,F,DDO064@1.480000,0.070367,4.63764,1.05807
C,dwarf,F,DDO064@1.680000,0.0783764,4.36885,0.966682
C,dwarf,F,DDO064@1.880000,0.081553,4.11701,0.821623
C,dwarf,F,DDO064@2.080000,0.0804276,3.78952,0.754638
C,dwarf,F,DDO064@2.270000,0.0756222,3.67709,0.73383
C,dwarf,F,DDO064@2.370000,0.0741868,3.60561,1.04594
C,dwarf,F,DDO064@2.980000,0.063199,3.43903,1.26856
C,dwarf,F,DDO154@0.490000,0.0539365,2.12176,0.492002
