scale,class,type,id,xi,B,sigmaB
A,n1,T,H,0.333333,0.999967,0
A,n1,T,He,3,0.869078,0
A,n2,F,Li,0.0666667,2.18787,0
A,n2,T,Be,0.230769,1.32453,0
A,n2,T,B,0.454545,1.25376,0
A,n2,T,C,0.777778,1.31521,0
A,n2,T,N,1.28571,1.05463,0
A,n2,T,O,2.2,1.07269,0
A,n2,T,F,4.33333,1.00634,0
A,n2,S,Ne,15,0.959982,0
A,n3,F,Na,0.0666667,1.83099,0
A,n3,T,Mg,0.230769,1.31916,0
A,n3,T,Al,0.454545,1.42814,0
A,n3,T,Si,0.777778,1.24076,0
A,n3,T,P,1.28571,1.35514,0
A,n3,T,S,2.2,1.13263,0
A,n3,T,Cl,4.33333,1.05685,0
A,n3,S,Ar,15,0.999318,0
A,n4,F,K,0.0666667,2.01276,0
A,n4,T,Ca,0.230769,1.56298,0
A,n4,T,Fe,0.230769,1.77815,0
A,n4,F,Cu,0.0666667,1.51776,0
A,n4,T,Zn,0.230769,1.21525,0
A,n4,T,Ga,0.454545,1.46352,0
A,n4,T,Ge,0.777778,1.26696,0
A,n4,T,Se,2.2,1.15676,0
A,n4,S,Kr,15,1.04661,0
A,n5+,F,Rb,0.0666667,1.97091,0
A,n5+,T,Sr,0.230769,1.58722,0
A,n5+,F,Ag,0.0666667,1.50348,0
A,n5+,T,Cd,0.230769,1.24482,0
A,n5+,T,In,0.454545,1.43563,0
A,n5+,T,Sn,0.777778,1.26167,0
A,n5+,T,I,4.33333,1.15716,0
A,n5+,S,Xe,15,1.07835,0
A,n5+,F,Cs,0.0666667,2.10667,0
A,n5+,T,Ba,0.230769,1.74524,0
B,planet,S,Mercury,3.7983e+08,0.978443,0
B,planet,S,Venus,1.08781e+08,0.999683,0
B,planet,S,Earth,5.69157e+07,0.999403,0
B,planet,S,Mars,2.45149e+07,0.99482,0
B,planet,S,Jupiter,2.10255e+06,1.00005,0
B,planet,S,Saturn,625807,1.00702,0
B,planet,S,Uranus,154569,0.999917,0
B,planet,S,Neptune,62946.2,0.99913,0
B,giant_host,S,HD 87816 b,5.23956e+07,1.00023,0
B,giant_host,S,HIP 67851 b,4.12996e+08,0.969703,0
B,giant_host,S,eps Tau b,4.1474e+07,1.00186,0
B,giant_host,S,4 UMa b,9.13167e+07,0.997985,0
B,giant_host,S,HD 59686 A b,9.16913e+07,1.00346,0
B,giant_host,S,xi Aql b,2.53527e+08,0.997434,0
B,giant_host,S,18 Del b,1.94963e+07,0.99825,0
B,giant_host,S,HD 167042 b,5.31532e+07,0.998948,0
B,giant_host,S,HD 210702 b,6.50194e+07,0.996814,0
B,giant_host,S,HD 102888 b,1.24931e+08,1.00425,0
B,giant_host,S,nu Oph c,4.37207e+06,1.00068,0
B,giant_host,S,HD 47366 c,3.04283e+07,0.999655,0
B,giant_host,S,HD 47366 b,7.07129e+07,0.999517,0
B,giant_host,S,75 Cet b,2.98923e+07,1.00059,0
B,giant_host,S,HD 145457 b,1.86242e+08,1.00134,0
B,planet,S,WASP-77 A b,9.52114e+10,1.00094,0
B,planet,S,GJ 876 d,4.20709e+10,0.999601,0
B,planet,S,TOI-908 b,3.11589e+10,1.00061,0
B,planet,S,TOI-4552 b,4.71029e+11,1.00044,0
B,planet,S,GJ 876 b,4.19696e+08,1.00866,0
B,planet,S,TOI-2015 c,1.01808e+10,0.986461,0
B,planet,S,61 Vir b,2.12746e+10,1.0087,0
B,planet,S,TOI-2015 b,2.01309e+10,0.986233,0
B,planet,S,HD 82943 c,1.11213e+08,1.04769,0
B,planet,S,TIC 172900988 b,8.64495e+07,1.97314,0
B,planet,S,GJ 876 c,1.08453e+09,1.00211,0
B,planet,S,TOI-4562 c,2.49078e+06,0.999104,0
B,planet,S,61 Vir c,1.13336e+09,1.00762,0
B,planet,S,HD 82943 b,4.39182e+07,1.04894,0
B,planet,S,GJ 625 b,2.78071e+09,0.999788,0
B,planet,S,Kepler-34 b,5.02414e+07,1.97338,0
B,planet,S,GJ 896 A b,6.06507e+07,0.989951,0
B,planet,S,HD 219134 g,3.20847e+08,1.00052,0
B,planet,S,HD 45364 c,5.73634e+07,1.00052,0
B,planet,S,MASCARA-1 b,6.64137e+10,0.998937,0
B,planet,S,HATS-72 b,9.40472e+09,0.999816,0
B,planet,S,Kepler-16 b,7.90247e+07,1.29391,0
B,planet,S,Kepler-35 b,1.38736e+08,1.91063,0
B,planet,S,WASP-113 b,2.16599e+10,1.00037,0
B,planet,S,TOI-1408 b,2.23673e+10,1.00071,0
B,planet,S,HD 73344 b,3.97991e+09,1.02524,0
B,planet,S,HD 216520 b,1.19047e+09,1.00456,0
B,planet,S,61 Vir d,2.36631e+08,1.00928,0
B,planet,S,TOI-1408 c,5.80371e+10,0.999344,0
B,planet,S,HD 45364 b,1.0114e+08,1.00007,0
B,substellar,S,90377 Sedna (2003 VB12),188.152,0.999678,0
B,substellar,S,(2012 VP113),780.741,1.00011,0
B,substellar,S,136199 Eris (2003 UB313),12308.8,0.998097,0
B,substellar,S,136472 Makemake (2005 FY9),27492.3,1.00172,0
B,substellar,S,136108 Haumea (2003 EL61),30782,0.999661,0
B,substellar,S,50000 Quaoar (2002 LM60),30639.4,0.987479,0
B,substellar,S,225088 Gonggong (2007 OR10),12716.9,0.998344,0
B,substellar,S,90482 Orcus (2004 DW),36851,0.997137,0
B,substellar,S,120347 Salacia (2004 SB60),32112.2,0.999098,0
B,substellar,S,(2014 UZ224),4703.8,1.00193,0
B,substellar,S,541132 Leleakuhonua (2015 TG387),28.2265,1.00426,0
B,substellar,S,(2013 SY99),80.6633,1.00036,0
B,substellar,S,474640 Alicanto (2004 VN112),472.689,1.00106,0
B,substellar,S,(2010 GB174),446.579,1.00305,0
B,substellar,S,523622 (2007 TG422),176.416,1.00174,0
B,substellar,S,(2013 RF98),388.005,1.00507,0
B,substellar,S,307261 Mani (2002 MS4),32888.8,0.999749,0
B,substellar,S,20000 Varuna (2000 WR106),30497.7,0.994165,0
B,substellar,S,28978 Ixion (2001 KX76),36664.2,1.00263,0
B,substellar,S,10199 Chariklo (1997 CU26),230906,0.992817,0
B,substellar,S,(2018 VG18),8464.61,1.00144,0
B,substellar,T,(2014 FE72),9.03414,1.00542,0
B,substellar,S,(2015 KG163),143.858,1.0004,0
B,substellar,S,445473 (2010 VZ98),2223.28,1.00338,0
D,constituent,F,H2,-1,1,1.7981e-07
D,constituent,F,H3,-1,2.54186,2.69716e-07
D,constituent,F,He3,-3,2.31297,8.99052e-08
D,alpha_only,T,He4,1,6.35982,1.7981e-07
D,deuteron_rich,T,Li6,3,4.79404,2.69716e-07
D,triton_bearing,T,Li7,0.333333,5.04048,5.39431e-07
D,triton_bearing,T,Be9,1,5.81027,7.64194e-06
D,triton_bearing,T,Be10,0.2,5.84171,7.28232e-06
D,deuteron_rich,T,B10,7,5.82144,1.34858e-06
D,triton_bearing,T,B11,1.66667,6.22839,9.88957e-07
D,deuteron_rich,T,C12,9,6.90485,1.7981e-07
D,triton_bearing,T,C13,2.33333,6.71578,1.7981e-07
D,triton_bearing,T,C14,1,6.76116,3.59621e-07
D,deuteron_rich,S,N14,11,6.72096,1.7981e-07
D,triton_bearing,T,N15,3,6.92221,1.7981e-07
D,deuteron_rich,S,O16,13,7.17102,1.7981e-07
D,triton_bearing,T,O17,3.66667,6.96831,1.7981e-07
D,triton_bearing,T,O18,1.8,6.98302,1.7981e-07
D,triton_bearing,T,F19,4.33333,6.99374,1.7981e-07
D,deuteron_rich,S,Ne20,17,7.2214,1.7981e-07
D,triton_bearing,T,Ne21,5,7.16698,1.61829e-06
D,triton_bearing,T,Ne22,2.6,7.26476,7.19241e-07
D,EC_alt,T,Na22,5.66667,7.11659,5.39431e-06
D,triton_bearing,T,Na23,5.66667,7.29265,1.7981e-07
D,deuteron_rich,S,Mg24,21,7.42681,5.39431e-07
D,triton_bearing,T,Mg25,6.33333,7.39335,1.7082e-06
D,triton_bearing,T,Mg26,3.4,7.49258,9.88957e-07
D,EC_alt,T,Al26,7,7.32706,2.33753e-06
D,triton_bearing,T,Al27,7,7.4905,1.61829e-06
D,deuteron_rich,S,Si28,25,7.59496,1.7981e-07
D,triton_bearing,T,Si29,7.66667,7.59576,1.7981e-07
D,triton_bearing,T,Si30,4.2,7.66051,7.19241e-07
D,triton_bearing,T,Si32,1.88889,7.62528,8.36118e-06
D,triton_bearing,T,P31,8.33333,7.62501,1.7981e-07
D,deuteron_rich,S,S32,29,7.63576,1.7981e-07
D,triton_bearing,T,S33,9,7.63981,1.7981e-07
D,triton_bearing,T,S34,5,7.71701,1.16877e-06
D,triton_bearing,T,S36,2.33333,7.70972,4.67507e-06
D,triton_bearing,T,Cl35,9.66667,7.66017,8.99052e-07
D,EC_alt,T,Cl36,3.57143,7.66166,8.99052e-07
D,triton_bearing,T,Cl37,3.57143,7.70513,1.25867e-06
D,EC_alt,S,Ar36,10.3333,7.65984,7.19241e-07
D,triton_bearing,T,Ar38,5.8,7.74468,4.58516e-06
D,triton_bearing,T,Ar39,3.85714,7.69822,0.000115258
D,triton_bearing,T,Ar40,2.77778,7.72758,1.7981e-07
D,triton_bearing,T,Ar42,1.61538,7.69194,0.00012362
D,triton_bearing,S,K39,11,7.69321,2.69716e-07
D,EC_alt,T,K40,4.14286,7.67619,1.25867e-06
D,triton_bearing,T,K41,4.14286,7.71033,2.69716e-07
D,EC_alt,S,Ca40,11.6667,7.68807,5.39431e-07
D,EC_alt,T,Ca41,6.6,7.68393,3.05678e-06
D,triton_bearing,T,Ca42,6.6,7.74674,3.14668e-06
D,triton_bearing,T,Ca43,4.42857,7.73244,4.76497e-06
D,triton_bearing,T,Ca44,3.22222,7.78415,6.65298e-06
D,triton_bearing,T,Ca46,1.92308,7.79387,4.36939e-05
D,triton_bearing,T,Ca48,1.23529,7.7918,3.59621e-07
D,triton_bearing,T,Sc45,4.71429,7.74887,1.32161e-05
D,EC_alt,S,Ti44,13,7.67208,1.42949e-05
D,triton_bearing,T,Ti46,7.4,7.78261,1.7981e-06
D,triton_bearing,T,Ti47,5,7.7869,1.52839e-06
D,triton_bearing,T,Ti48,3.66667,7.84244,1.43848e-06
D,triton_bearing,T,Ti49,2.81818,7.83179,1.43848e-06
D,triton_bearing,T,Ti50,2.23077,7.87185,1.52839e-06
D,EC_alt,T,V50,3,7.81807,1.7082e-06
D,triton_bearing,T,V51,3,7.85959,1.7082e-06
D,EC_alt,T,Cr50,5.57143,7.82267,1.7082e-06
D,triton_bearing,T,Cr52,4.11111,7.89007,1.97791e-06
D,triton_bearing,T,Cr53,3.18182,7.87588,1.97791e-06
D,triton_bearing,T,Cr54,2.53846,7.89185,2.24763e-06
D,EC_alt,T,Mn53,4.33333,7.85248,5.84384e-06
D,triton_bearing,T,Mn55,3.36364,7.88021,4.22554e-06
D,EC_alt,T,Fe54,6.14286,7.85446,5.75393e-06
D,EC_alt,T,Fe55,4.55556,7.86364,5.03469e-06
D,triton_bearing,T,Fe56,4.55556,7.90299,4.31545e-06
D,triton_bearing,T,Fe57,3.54545,7.88494,4.22554e-06
D,triton_bearing,T,Fe58,2.84615,7.90469,4.94478e-06
D,triton_bearing,T,Fe60,1.94118,7.87197,5.10661e-05
D,triton_bearing,T,Co59,3.72727,7.88292,6.02365e-06
D,triton_bearing,T,Co60,3,7.8638,6.02365e-06
D,EC_alt,T,Ni58,6.71429,7.85058,5.39431e-06
D,EC_alt,T,Ni59,5,7.85465,5.39431e-06
D,triton_bearing,T,Ni60,5,7.89437,5.30441e-06
D,triton_bearing,T,Ni61,3.90909,7.88021,5.2145e-06
D,triton_bearing,T,Ni62,3.15385,7.90676,6.20346e-06
D,triton_bearing,T,Ni63,2.6,7.87884,6.11355e-06
D,triton_bearing,T,Ni64,2.17647,7.89139,6.47317e-06
D,triton_bearing,T,Cu63,4.09091,7.86863,6.11355e-06
D,triton_bearing,T,Cu65,2.73333,7.87308,8.90061e-06
