Z,k,N_e_before,n_frozen,Zeff_bare,Zeff_ion,E_bare,E_ion,E_obs,rel_bare,rel_ion,jump_flag,rule_closer,tag
2,1,2,1,2,1,54.415312513415046,13.603828128353761,24.58738,1.213139932494436,0.446715016876391,,ion,COMPUTED
2,2,1,1,2,2,54.415312513415046,54.415312513415046,54.41776,4.497587892179919e-05,4.497587892179919e-05,,bare,COMPUTED
4,1,4,2,4,1,54.419067798148966,3.4011917373843104,9.32269,4.837270980602054,0.6351705637123716,,ion,COMPUTED
4,2,3,2,4,2,54.419067798148966,13.604766949537241,18.21115,1.9882279701253884,0.2529430074686529,,ion,COMPUTED
4,3,2,1,4,3,217.67627119259586,122.44290254583517,153.8962,0.4144356468359574,0.204379948654774,JUMP,ion,COMPUTED
4,4,1,1,4,4,217.67627119259586,217.67627119259586,217.71858,0.00019432795953446062,0.00019432795953446062,,bare,COMPUTED
6,1,6,2,6,1,122.44568094010872,3.40126891500302,11.2603,9.874104681057227,0.6979415366372992,,ion,COMPUTED
6,2,5,2,6,2,122.44568094010872,13.60507566001208,24.38332,4.02169847830848,0.442033502410169,,ion,COMPUTED
6,3,4,2,6,3,122.44568094010872,30.61142023502718,47.8878,1.556928506636528,0.360767873340868,,ion,COMPUTED
6,4,3,2,6,4,122.44568094010872,54.42030264004832,64.4939,0.8985622041791351,0.15619457592038435,,ion,COMPUTED
6,5,2,1,6,5,489.78272376043486,340.126891500302,392.087,0.24916848495470362,0.13252188544812243,JUMP,ion,COMPUTED
6,6,1,1,6,6,489.78272376043486,489.78272376043486,489.99334,0.0004298349025828122,0.0004298349025828122,,bare,COMPUTED
8,1,8,2,8,1,217.68368032805364,3.401307505125838,13.61806,14.984925923960802,0.7502355324381124,,ion,COMPUTED
8,2,7,2,8,2,217.68368032805364,13.605230020503353,35.1173,5.198759025553036,0.6125775609029352,,ion,COMPUTED
8,3,6,2,8,3,217.68368032805364,30.611767546132544,54.9355,2.9625320662969057,0.44276892817699764,,ion,COMPUTED
8,4,5,2,8,4,217.68368032805364,54.42092008201341,77.41353,1.8119591023436559,0.2970102244140861,,ion,COMPUTED
8,5,4,2,8,5,217.68368032805364,85.03268762814595,113.899,0.9111992232421149,0.25343780342104893,,ion,COMPUTED
8,6,3,2,8,6,217.68368032805364,122.44707018453018,138.1197,0.5760509205280178,0.11347135720299001,,ion,COMPUTED
8,7,2,1,8,7,870.7347213122146,666.6562710046643,739.29,0.17779859231453773,0.09824795275918202,JUMP,ion,COMPUTED
8,8,1,1,8,8,870.7347213122146,870.7347213122146,871.4101,0.0007750411520195788,0.0007750411520195788,,bare,COMPUTED
10,1,10,2,10,1,340.1330659619854,3.401330659619854,21.5646,14.772750988285681,0.8422724901171431,,ion,COMPUTED
10,2,9,2,10,2,340.1330659619854,13.605322638479416,40.96328,7.303365012811118,0.6678653994875553,,ion,COMPUTED
10,3,8,2,10,3,340.1330659619854,30.611975936578688,63.45,4.360647217682985,0.5175417504085313,,ion,COMPUTED
10,4,7,2,10,4,340.1330659619854,54.421290553917665,97.12,2.502193842277444,0.4396489852356089,,ion,COMPUTED
10,5,6,2,10,5,340.1330659619854,85.03326649049635,126.21,1.6949771488945837,0.3262557127763541,,ion,COMPUTED
10,6,5,2,10,6,340.1330659619854,122.44790374631475,157.93,1.1536950925219107,0.22466976669211206,,ion,COMPUTED
10,7,4,2,10,7,340.1330659619854,166.66520232137285,207.2759,0.640967743775255,0.19592580555012504,,ion,COMPUTED
10,8,3,2,10,8,340.1330659619854,217.68516221567066,239.0989,0.4225622366392543,0.08956016855087719,,ion,COMPUTED
10,9,2,1,10,9,1360.5322638479415,1102.0311337168328,1195.8286,0.13773183200998995,0.07843721607190804,JUMP,ion,COMPUTED
10,10,1,1,10,10,1360.5322638479415,1360.5322638479415,1362.1995,0.0012239294993563144,0.0012239294993563144,,bare,COMPUTED
12,1,12,3,12,1,217.68615015195758,1.511709376055261,7.64624,27.469698852240786,0.8022937579705501,,ion,COMPUTED
12,2,11,3,12,2,217.68615015195758,6.046837504221044,15.03528,13.478356914667208,0.5978234190370221,,ion,COMPUTED
12,3,10,2,12,3,489.7938378419045,30.612114865119032,80.1437,5.111445289422682,0.6180346694110824,JUMP,ion,COMPUTED
12,4,9,2,12,4,489.7938378419045,54.421537537989394,109.2655,3.4826028146295447,0.5019330205967172,,ion,COMPUTED
12,5,8,2,12,5,489.7938378419045,85.03365240310843,141.27,2.4670760801437286,0.39807706941949156,,ion,COMPUTED
12,6,7,2,12,6,489.7938378419045,122.44845946047613,186.76,1.622584267733479,0.34435393306663026,,ion,COMPUTED
12,7,6,2,12,7,489.7938378419045,166.66595871009253,225.02,1.1766680199178052,0.2593282432224135,,ion,COMPUTED
12,8,5,2,12,8,489.7938378419045,217.68615015195758,265.96,0.841607150856913,0.1815079329524831,,ion,COMPUTED
12,9,4,2,12,9,489.7938378419045,275.5090337860713,328.06,0.49300078595959435,0.16018705789772814,,ion,COMPUTED
12,10,3,2,12,10,489.7938378419045,340.13460961243374,367.5,0.33277234786912796,0.07446364731310548,,ion,COMPUTED
