Z,A,mu_me,z_1,IE_pred,IE_pred_dz,IE_obs,rel,ppm,tag,msrc
2,4,0.99986292542222,0.00021300541808267725,54.415312513415046,54.415312513310084,54.41776,4.497587892179919e-05,-44.97587892179919,COMPUTED,2mp+2mn-B_alpha/c^2
3,7,0.9999222036211067,0.0004792621906860239,122.44171184403028,122.44171184379411,122.45435,0.00010320708059554489,-103.2070805955449,COMPUTED,A*m_p
4,8,0.9999319275064942,0.000852021672330709,217.67627119259586,217.676271192176,217.71858,0.00019432795953446062,-194.32795953446063,COMPUTED,A*m_p
5,10,0.999945541263767,0.001331283863016733,340.1238043535237,340.1238043528676,340.2258,0.0002997881009502177,-299.7881009502177,COMPUTED,A*m_p
6,12,0.9999546173078918,0.0019170487627440955,489.7827237604349,489.7827237594902,489.99334,0.00042983490258269617,-429.83490258269615,COMPUTED,A*m_p
7,14,0.9999611002974254,0.002609316371512796,666.6530294133315,666.6530294120455,667.046,0.0005891206703413637,-589.1206703413637,COMPUTED,A*m_p
8,16,0.9999659625947417,0.003408086689322836,870.7347213122146,870.734721310535,871.4101,0.0007750411520195788,-775.0411520195787,COMPUTED,A*m_p
9,18,0.9999697444142347,0.004313359716174214,1102.0277994570845,1102.0277994549585,1103.1176,0.0009879277992804708,-987.9277992804708,COMPUTED,A*m_p
10,20,0.9999727698904249,0.005325135452066932,1360.5322638479415,1360.5322638453172,1362.1995,0.0012239294993563144,-1223.9294993563144,COMPUTED,A*m_p
11,22,0.9999752452936523,0.006443413897000988,1646.2481144847861,1646.2481144816106,1648.702,0.0014883741969221056,-1488.3741969221057,COMPUTED,A*m_p
12,24,0.9999773081390371,0.007668195050976382,1959.175351367618,1959.1753513638394,1962.665,0.0017780154190256037,-1778.0154190256037,COMPUTED,A*m_p
13,26,0.999979053630241,0.008999478913993116,2299.313974496438,2299.313974492003,2304.141,0.0020949349469334792,-2094.9349469334793,COMPUTED,A*m_p
14,28,0.9999805497704086,0.010437265486051185,2666.663983871246,2666.6639838661017,2673.182,0.0024382986750449355,-2438.2986750449354,COMPUTED,A*m_p
15,30,0.999981846428842,0.011981554767150595,3061.225379492041,3061.225379486136,3069.842,0.0028068612351902613,-2806.8612351902607,COMPUTED,A*m_p
16,32,0.9999829810077295,0.013632346757291344,3482.998161358824,3482.9981613521054,3494.1892,0.0032027569203110025,-3202.7569203110024,COMPUTED,A*m_p
17,34,0.9999839821088862,0.015389641456473433,3931.9823294715943,3931.982329464011,3946.296,0.0036271152818758427,-3627.115281875843,COMPUTED,A*m_p
18,36,0.9999848719782637,0.017253438864696855,4408.1778838303535,4408.177883821851,4426.2296,0.004078350605591308,-4078.3506055913076,COMPUTED,A*m_p
19,38,0.9999856681785229,0.01922373898196162,4911.5848244351,4911.584824425626,4934.046,0.004552283372489891,-4552.283372489892,COMPUTED,A*m_p
20,40,0.9999863847598401,0.021300541808267726,5442.203151285835,5442.203151275337,5469.864,0.005056953648969113,-5056.953648969113,COMPUTED,A*m_p
21,42,0.9999870330962026,0.02348384734361517,6000.032864382558,6000.032864370985,6033.712,0.005581826845139878,-5581.826845139877,COMPUTED,A*m_p
22,44,0.9999876224936253,0.02577365558800395,6585.073963725269,6585.073963712566,6625.82,0.006149583942022363,-6149.583942022364,COMPUTED,A*m_p
23,46,0.999988160639705,0.02816996654143407,7197.326449313967,7197.326449300084,7246.12,0.006733748638724322,-6733.7486387243225,COMPUTED,A*m_p
24,48,0.9999886539407868,0.030672780203905528,7836.790321148654,7836.790321133538,7894.81,0.00734909121959195,-7349.09121959195,COMPUTED,A*m_p
25,50,0.999989107778212,0.03328209657541833,8503.465579229327,8503.465579212927,8571.94,0.007988205793632892,-7988.205793632891,COMPUTED,A*m_p
26,56,0.9999902747906255,0.03599791565597246,9197.359104031073,9197.359104013334,9277.69,0.008658501843554538,-8658.501843554537,COMPUTED,A*m_p
27,54,0.9999899146013184,0.03882023744556793,9918.45025412864,9918.45025410951,10012.12,0.009355635556841173,-9355.635556841173,COMPUTED,A*m_p
28,56,0.9999902747906255,0.04174906194420474,10666.75967094728,10666.759670926704,10775.4,0.010082254863180913,-10082.254863180913,COMPUTED,A*m_p
29,58,0.999990610139524,0.04478438915188289,11442.280474011905,11442.280473989833,11567.617,0.01083512066384076,-10835.12066384076,COMPUTED,A*m_p
30,60,0.9999909231320322,0.04792621906860238,12245.01266332252,12245.0126632989,,nan,,COMPUTED,A*m_p
