corpus_id,species,Z,A,ion_stage,transition,quantity,value,unit,source,citation
C-EXC-H,H I,1,1,I,2->1,lambda_nm,121.567,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,3->1,lambda_nm,102.5722,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,4->1,lambda_nm,97.2537,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,5->1,lambda_nm,94.9743,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,6->1,lambda_nm,93.7803,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,3->2,lambda_nm,656.4614,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,4->2,lambda_nm,486.2712,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,5->2,lambda_nm,434.1692,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,6->2,lambda_nm,410.2892,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,7->2,lambda_nm,397.1233,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,4->3,lambda_nm,1875.62,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,5->3,lambda_nm,1282.17,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,6->3,lambda_nm,1094.12,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-H,H I,1,1,I,7->3,lambda_nm,1005.22,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-He,He II,2,4,II,2->1,lambda_nm,30.3785,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-He,He II,2,4,II,3->1,lambda_nm,25.6317,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-He,He II,2,4,II,4->1,lambda_nm,24.3034,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-Z,Li III,3,7,III,2->1,lambda_nm,13.5006,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-Z,Li III,3,7,III,3->1,lambda_nm,11.3921,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-Z,Li III,3,7,III,4->1,lambda_nm,10.7982,nm,APS01 stdout NIST column,NIST ASD via APS01 2026-07-23
C-EXC-Z,H I,1,1,I,2->1,lambda_nm,121.567,nm,pre-registration V0,NIST ASD 121.5670 nm
C-EXC-Z,He II,2,4,II,2->1,lambda_nm,30.3785,nm,APS01 NIST,NIST ASD via APS01
C-EXC-Z,Z=4 H-like,4,8,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=5 H-like,5,10,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=6 H-like,6,12,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=7 H-like,7,14,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=8 H-like,8,16,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=9 H-like,9,18,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
C-EXC-Z,Z=10 H-like,10,20,H-like,2->1,lambda_nm,,nm,NO_DATA,no in-repo NIST Lyα for this Z
