corpus,species,Z,A,transition,n_low,n_high,koppa_fm,z_low,z_high,delta_z,mu_over_me,E_lead_eV,E_LV_eV,dLV_over_lead,lambda_pred_nm,lambda_obs_nm,E_obs_eV,residual,residual_unit,two_route_rel,tag
EXC_H,H I,1,1,2->1,1,2,2.8179403262,5.3251354520669314e-05,1.3312838630167328e-05,3.9938515890501985e-05,0.9994556794247658,10.19871544819545,10.198885170271954,1.66415150383621e-05,121.56844561747027,121.567,10.198836726512972,11.8915287066514,ppm,0.0,COMPUTED
EXC_H,H I,1,1,3->1,1,3,2.8179403262,5.3251354520669314e-05,5.916817168963258e-06,4.733453735170606e-05,0.9994556794247658,12.087366457120535,12.087545258752277,1.4792439062439548e-05,102.57337598974057,102.5722,12.08750503871422,11.464994809255026,ppm,4.156299208663088e-16,COMPUTED
EXC_H,H I,1,1,4->1,1,4,2.8179403262,5.3251354520669314e-05,3.328209657541832e-06,4.992314486312748e-05,0.9994556794247658,12.748394310244313,12.748574639703996,1.4145268438867544e-05,97.25475649397623,97.2537,12.748532799595312,10.863277965116842,ppm,1.461198940545617e-16,COMPUTED
EXC_H,H I,1,1,5->1,1,5,2.8179403262,5.3251354520669314e-05,2.1300541808267727e-06,5.112130033984254e-05,0.9994556794247658,13.054355773690176,13.05453652067255,1.3845722110425028e-05,94.97534813864867,94.9743,13.054499841873039,11.036023941953355,ppm,1.4962677151187117e-16,COMPUTED
EXC_H,H I,1,1,6->1,1,6,2.8179403262,5.3251354520669314e-05,1.4792042922408145e-06,5.17721502284285e-05,0.9994556794247658,13.220557062475585,13.22073795939291,1.3683002650330734e-05,93.78137233347707,93.7803,13.220708233307022,11.434528115913574,ppm,1.5153174198250845e-16,COMPUTED
EXC_H,H I,1,1,3->2,2,3,2.8179403262,1.3312838630167328e-05,5.916817168963258e-06,7.39602146120407e-06,0.9994556794247658,1.8886510089250834,1.8886600884803229,4.807428792575352e-06,656.4696063343395,656.4614,1.888674618693502,12.500863477172993,ppm,0.0,COMPUTED
EXC_H,H I,1,1,4->2,2,4,2.8179403262,1.3312838630167328e-05,3.328209657541832e-06,9.984628972625496e-06,0.9994556794247658,2.5496788620488626,2.549689469432042,4.160282040715153e-06,486.2737824698811,486.2712,2.5496924027826497,5.310760499648296,ppm,0.0,COMPUTED
EXC_H,H I,1,1,5->2,2,5,2.8179403262,1.3312838630167328e-05,2.1300541808267727e-06,1.1182784449340555e-05,0.9994556794247658,2.855640325494726,2.855651350400596,3.860747367792631e-06,434.1730200623939,434.1692,2.8556654510085067,8.798556861963732,ppm,1.3092342507288729e-16,COMPUTED
EXC_H,H I,1,1,6->2,2,6,2.8179403262,1.3312838630167328e-05,1.4792042922408145e-06,1.1833634337926514e-05,0.9994556794247658,3.0218416142801336,3.0218527891209557,3.6980233408718484e-06,410.2935039589623,410.2892,3.021873313584668,10.490061552393275,ppm,4.156299208663088e-16,COMPUTED
EXC_H,H I,1,1,7->2,2,7,2.8179403262,1.3312838630167328e-05,1.0867623371565168e-06,1.2226076293010812e-05,0.9994556794247658,3.1220557494475867,3.122066988605816,3.599922336881533e-06,397.12358901706955,397.1233,3.122058021606898,0.7277766617481339,ppm,0.0,COMPUTED
EXC_H,H I,1,1,4->3,3,4,2.8179403262,5.916817168963258e-06,3.328209657541832e-06,2.588607511421426e-06,0.9994556794247658,0.6610278531237794,0.6610293809517193,2.3112913209466284e-06,1875.6274466695415,1875.62,0.6610304775658197,3.9702442614444338,ppm,4.84901574344027e-16,COMPUTED
EXC_H,H I,1,1,5->3,3,5,2.8179403262,5.916817168963258e-06,2.1300541808267727e-06,3.7867629881364853e-06,0.9994556794247658,0.9669893165696429,0.9669912619202733,2.011760209784252e-06,1282.167199871757,1282.17,0.9669872047638008,-2.1838978006444645,ppm,5.320062987088753e-16,COMPUTED
