corpus,species,Z,A,stage,transition,quantity,value,unit,n_low,n_high,source
EXC_H,H I,1,1,I,2->1,lambda_nm,121.567,nm,1,2,APS01 NIST column
EXC_H,H I,1,1,I,3->1,lambda_nm,102.5722,nm,1,3,APS01 NIST column
EXC_H,H I,1,1,I,4->1,lambda_nm,97.2537,nm,1,4,APS01 NIST column
EXC_H,H I,1,1,I,5->1,lambda_nm,94.9743,nm,1,5,APS01 NIST column
EXC_H,H I,1,1,I,6->1,lambda_nm,93.7803,nm,1,6,APS01 NIST column
EXC_H,H I,1,1,I,3->2,lambda_nm,656.4614,nm,2,3,APS01 NIST column
EXC_H,H I,1,1,I,4->2,lambda_nm,486.2712,nm,2,4,APS01 NIST column
EXC_H,H I,1,1,I,5->2,lambda_nm,434.1692,nm,2,5,APS01 NIST column
EXC_H,H I,1,1,I,6->2,lambda_nm,410.2892,nm,2,6,APS01 NIST column
EXC_H,H I,1,1,I,7->2,lambda_nm,397.1233,nm,2,7,APS01 NIST column
EXC_H,H I,1,1,I,4->3,lambda_nm,1875.62,nm,3,4,APS01 NIST column
EXC_H,H I,1,1,I,5->3,lambda_nm,1282.17,nm,3,5,APS01 NIST column
EXC_H,H I,1,1,I,6->3,lambda_nm,1094.12,nm,3,6,APS01 NIST column
EXC_H,H I,1,1,I,7->3,lambda_nm,1005.22,nm,3,7,APS01 NIST column
EXC_LIGHT,He II,2,4,H-like,2->1,lambda_nm,30.3785,nm,1,2,APS01 NIST column
EXC_LIGHT,He II,2,4,H-like,3->1,lambda_nm,25.6317,nm,1,3,APS01 NIST column
EXC_LIGHT,He II,2,4,H-like,4->1,lambda_nm,24.3034,nm,1,4,APS01 NIST column
EXC_LIGHT,Li III,3,7,H-like,2->1,lambda_nm,13.5006,nm,1,2,APS01 NIST column
EXC_LIGHT,Li III,3,7,H-like,3->1,lambda_nm,11.3921,nm,1,3,APS01 NIST column
EXC_LIGHT,Li III,3,7,H-like,4->1,lambda_nm,10.7982,nm,1,4,APS01 NIST column
EXC_FE,Fe XXVI,26,56,XXVI,2->1 centroid,E_eV,6962.5,eV,1,2,Fe XXVI 6.973/6.952 keV unresolved centroid
MULTI,He I,2,4,measured,1s2-1s2p,E_eV,21.218,eV,1,2,APS01/NIST standard
MULTI,Be I,4,9,measured,2s2-2s2p,E_eV,5.279,eV,2,2,APS01/NIST standard
MULTI,Na I,11,23,measured,3s-3p,E_eV,2.105,eV,3,3,APS01/NIST standard
MULTI,Fe XXV,26,56,measured,1s2-1s2p w,E_eV,6700.0,eV,1,2,APS01/NIST standard
ISO_MASS,H I,1,1,I,2->1,lambda_nm,121.567,nm,1,2,APS01 NIST column
ISO_MASS,D I,1,2,I,2->1,lambda_nm,121.5339,nm,1,2,NIST deuterium Ly-alpha reference
ISO_CA,Ca-40->42,20,40,Ca+,40->42,delta_r2_fm2,0.213,fm2,4,,APS07 measured-data ledger
ISO_CA,Ca-42->44,20,42,Ca+,42->44,delta_r2_fm2,0.069,fm2,4,,APS07 measured-data ledger
ISO_CA,Ca-44->46,20,44,Ca+,44->46,delta_r2_fm2,-0.158,fm2,4,,APS07 measured-data ledger
ISO_CA,Ca-46->48,20,46,Ca+,46->48,delta_r2_fm2,-0.127,fm2,4,,APS07 measured-data ledger
ION_LAST,Z=2,2,4,2,IE_2,IE_eV,54.41776,eV,1,,ionisation_energies.json
ION_LAST,Z=3,3,6,3,IE_3,IE_eV,122.45435,eV,1,,ionisation_energies.json
ION_LAST,Z=4,4,8,4,IE_4,IE_eV,217.71858,eV,1,,ionisation_energies.json
ION_LAST,Z=5,5,10,5,IE_5,IE_eV,340.2258,eV,1,,ionisation_energies.json
ION_LAST,Z=6,6,12,6,IE_6,IE_eV,489.99334,eV,1,,ionisation_energies.json
ION_LAST,Z=7,7,14,7,IE_7,IE_eV,667.046,eV,1,,ionisation_energies.json
ION_LAST,Z=8,8,16,8,IE_8,IE_eV,871.4101,eV,1,,ionisation_energies.json
ION_LAST,Z=9,9,18,9,IE_9,IE_eV,1103.1176,eV,1,,ionisation_energies.json
ION_LAST,Z=10,10,20,10,IE_10,IE_eV,1362.1995,eV,1,,ionisation_energies.json
ION_LAST,Z=11,11,22,11,IE_11,IE_eV,1648.702,eV,1,,ionisation_energies.json
ION_LAST,Z=12,12,24,12,IE_12,IE_eV,1962.665,eV,1,,ionisation_energies.json
ION_LAST,Z=13,13,26,13,IE_13,IE_eV,2304.141,eV,1,,ionisation_energies.json
ION_LAST,Z=14,14,28,14,IE_14,IE_eV,2673.182,eV,1,,ionisation_energies.json
ION_LAST,Z=15,15,30,15,IE_15,IE_eV,3069.842,eV,1,,ionisation_energies.json
ION_LAST,Z=16,16,32,16,IE_16,IE_eV,3494.1892,eV,1,,ionisation_energies.json
ION_LAST,Z=17,17,34,17,IE_17,IE_eV,3946.296,eV,1,,ionisation_energies.json
ION_LAST,Z=18,18,36,18,IE_18,IE_eV,4426.2296,eV,1,,ionisation_energies.json
ION_LAST,Z=19,19,38,19,IE_19,IE_eV,4934.046,eV,1,,ionisation_energies.json
ION_LAST,Z=20,20,40,20,IE_20,IE_eV,5469.864,eV,1,,ionisation_energies.json
ION_LAST,Z=21,21,42,21,IE_21,IE_eV,6033.712,eV,1,,ionisation_energies.json
ION_LAST,Z=22,22,44,22,IE_22,IE_eV,6625.82,eV,1,,ionisation_energies.json
ION_LAST,Z=23,23,46,23,IE_23,IE_eV,7246.12,eV,1,,ionisation_energies.json
ION_LAST,Z=24,24,48,24,IE_24,IE_eV,7894.81,eV,1,,ionisation_energies.json
ION_LAST,Z=25,25,50,25,IE_25,IE_eV,8571.94,eV,1,,ionisation_energies.json
ION_LAST,Z=26,26,52,26,IE_26,IE_eV,9277.69,eV,1,,ionisation_energies.json
ION_LAST,Z=27,27,54,27,IE_27,IE_eV,10012.12,eV,1,,ionisation_energies.json
ION_LAST,Z=28,28,56,28,IE_28,IE_eV,10775.4,eV,1,,ionisation_energies.json
ION_LAST,Z=29,29,58,29,IE_29,IE_eV,11567.617,eV,1,,ionisation_energies.json
ION_LAST,Z=30,30,60,30,IE_30,IE_eV,,eV,1,,ionisation_energies.json
ION_FULL,Z=2,2,4,1,IE_1,IE_eV,24.58738,eV,,,ionisation_energies.json
ION_FULL,Z=2,2,4,2,IE_2,IE_eV,54.41776,eV,,,ionisation_energies.json
ION_FULL,Z=4,4,8,1,IE_1,IE_eV,9.32269,eV,,,ionisation_energies.json
ION_FULL,Z=4,4,8,2,IE_2,IE_eV,18.21115,eV,,,ionisation_energies.json
ION_FULL,Z=4,4,8,3,IE_3,IE_eV,153.8962,eV,,,ionisation_energies.json
ION_FULL,Z=4,4,8,4,IE_4,IE_eV,217.71858,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,1,IE_1,IE_eV,11.2603,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,2,IE_2,IE_eV,24.38332,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,3,IE_3,IE_eV,47.8878,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,4,IE_4,IE_eV,64.4939,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,5,IE_5,IE_eV,392.087,eV,,,ionisation_energies.json
ION_FULL,Z=6,6,12,6,IE_6,IE_eV,489.99334,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,1,IE_1,IE_eV,13.61806,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,2,IE_2,IE_eV,35.1173,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,3,IE_3,IE_eV,54.9355,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,4,IE_4,IE_eV,77.41353,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,5,IE_5,IE_eV,113.899,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,6,IE_6,IE_eV,138.1197,eV,,,ionisation_energies.json
ION_FULL,Z=8,8,16,7,IE_7,IE_eV,739.29,eV,,,ionisation_energies.json
