Z,k,electrons_before,n_frozen,E_bare_eV,E_ion_eV,E_obs_eV,rel_bare,rel_ion,closer,tag
2,1,2,1,54.415312513310084,13.603828128327521,24.58738,1.213139932490167,0.44671501687745824,ion,COMPUTED
2,2,1,1,54.415312513310084,54.415312513310084,54.41776,4.4975880850606494e-05,4.4975880850606494e-05,ion,COMPUTED
4,1,4,2,54.419067798044,3.40119173737775,9.32269,4.8372709805907945,0.6351705637130753,ion,COMPUTED
4,2,3,2,54.419067798044,13.604766949511,18.21115,1.9882279701196242,0.2529430074700939,ion,COMPUTED
4,3,2,1,217.676271192176,122.44290254559901,153.8962,0.41443564683322914,0.20437994865630849,ion,COMPUTED
4,4,1,1,217.676271192176,217.676271192176,217.71858,0.0001943279614629773,0.0001943279614629773,ion,COMPUTED
6,1,6,2,122.44568093987255,3.4012689149964594,11.2603,9.874104681036254,0.6979415366378818,ion,COMPUTED
6,2,5,2,122.44568093987255,13.605075659985838,24.38332,4.021698478298794,0.44203350241124517,ion,COMPUTED
6,3,4,2,122.44568093987255,30.611420234968136,47.8878,1.556928506631596,0.360767873342101,ion,COMPUTED
6,4,3,2,122.44568093987255,54.42030263994335,64.4939,0.8985622041754732,0.15619457592201194,ion,COMPUTED
6,5,2,1,489.7827237594902,340.1268914996459,392.087,0.24916848495229424,0.13252188544979576,ion,COMPUTED
6,6,1,1,489.7827237594902,489.7827237594902,489.99334,0.0004298349045107583,0.0004298349045107583,ion,COMPUTED
8,1,8,2,217.68368032763374,3.401307505119277,13.61806,14.984925923929968,0.7502355324385942,ion,COMPUTED
8,2,7,2,217.68368032763374,13.605230020477109,35.1173,5.198759025541079,0.6125775609036825,ion,COMPUTED
8,3,6,2,217.68368032763374,30.611767546073498,54.9355,2.962532066289262,0.4427689281780725,ion,COMPUTED
8,4,5,2,217.68368032763374,54.420920081908434,77.41353,1.8119591023382318,0.2970102244154421,ion,COMPUTED
8,5,4,2,217.68368032763374,85.03268762798193,113.899,0.9111992232384282,0.25343780342248895,ion,COMPUTED
8,6,3,2,217.68368032763374,122.44707018429399,138.1197,0.5760509205249775,0.1134713572047,ion,COMPUTED
8,7,2,1,870.734721310535,666.6562710033783,739.29,0.1777985923122658,0.09824795276092156,ion,COMPUTED
8,8,1,1,870.734721310535,870.734721310535,871.4101,0.0007750411539470402,0.0007750411539470402,ion,COMPUTED
10,1,10,2,340.1330659613293,3.401330659613293,21.5646,14.772750988255257,0.8422724901174474,ion,COMPUTED
10,2,9,2,340.1330659613293,13.605322638453172,40.96328,7.303365012795101,0.6678653994881959,ion,COMPUTED
10,3,8,2,340.1330659613293,30.61197593651964,63.45,4.3606472176726445,0.5175417504094619,ion,COMPUTED
10,4,7,2,340.1330659613293,54.42129055381269,97.12,2.5021938422706884,0.4396489852366898,ion,COMPUTED
10,5,6,2,340.1330659613293,85.03326649033232,126.21,1.6949771488893854,0.3262557127776537,ion,COMPUTED
10,6,5,2,340.1330659613293,122.44790374607857,157.93,1.1536950925177565,0.22466976669360755,ion,COMPUTED
10,7,4,2,340.1330659613293,166.66520232105137,207.2759,0.6409677437720896,0.195925805551676,ion,COMPUTED
10,8,3,2,340.1330659613293,217.68516221525076,239.0989,0.4225622366365103,0.08956016855263338,ion,COMPUTED
10,9,2,1,1360.5322638453172,1102.0311337147068,1195.8286,0.13773183200779537,0.07843721607368584,ion,COMPUTED
10,10,1,1,1360.5322638453172,1360.5322638453172,1362.1995,0.0012239295012828656,0.0012239295012828656,ion,COMPUTED
12,1,12,3,217.68615015153767,1.5117093760523452,7.64624,27.469698852185868,0.8022937579709314,ion,COMPUTED
12,2,11,3,217.68615015153767,6.046837504209381,15.03528,13.47835691463928,0.5978234190377977,ion,COMPUTED
12,3,10,2,489.79383784095984,30.61211486505999,80.1437,5.111445289410893,0.6180346694118191,ion,COMPUTED
12,4,9,2,489.79383784095984,54.42153753788442,109.2655,3.4826028146208987,0.501933020597678,ion,COMPUTED
12,5,8,2,489.79383784095984,85.0336524029444,141.27,2.467076080137041,0.3980770694206527,ion,COMPUTED
12,6,7,2,489.79383784095984,122.44845946023996,186.76,1.6225842677284208,0.3443539330678948,ion,COMPUTED
12,7,6,2,489.79383784095984,166.66595870977102,225.02,1.1766680199136068,0.2593282432238423,ion,COMPUTED
12,8,5,2,489.79383784095984,217.68615015153767,265.96,0.8416071508533609,0.18150793295406192,ion,COMPUTED
12,9,4,2,489.79383784095984,275.5090337855398,328.06,0.49300078595671476,0.1601870578993482,ion,COMPUTED
12,10,3,2,489.79383784095984,340.1346096117776,367.5,0.3327723478665574,0.07446364731489091,ion,COMPUTED
12,11,2,1,1959.1753513638394,1646.2515105210036,1761.805,0.11202735340394611,0.06558812665362876,ion,COMPUTED
12,12,1,1,1959.1753513638394,1959.1753513638394,1962.665,0.0017780154209509058,0.0017780154209509058,ion,COMPUTED
18,1,18,3,489.7975426468722,1.511720810638495,15.75962,30.079273652973374,0.9040763158858846,ion,COMPUTED
18,2,17,3,489.7975426468722,6.04688324255398,27.62967,16.727231003731575,0.7811452962502274,ion,COMPUTED
18,3,16,3,489.7975426468722,13.605487295746453,40.74,11.022521910821604,0.6660410580327332,ion,COMPUTED
18,4,15,3,489.7975426468722,24.18753297021592,59.81,7.1892249230374885,0.5955938309611115,ion,COMPUTED
18,5,14,3,489.7975426468722,37.793020265962376,75.02,5.528892863861267,0.4962274024798403,ion,COMPUTED
18,6,13,3,489.7975426468722,54.42194918298581,91.009,4.3818583068363814,0.40201574368484644,ion,COMPUTED
18,7,12,3,489.7975426468722,74.07431972128623,124.323,2.93971785306719,0.40417847283860403,ion,COMPUTED
18,8,11,3,489.7975426468722,96.75013188086368,143.46,2.4141749801120325,0.32559506565688223,ion,COMPUTED
18,9,10,2,1102.0444709554627,275.51111773886566,422.45,1.6086980020250032,0.34782549949374914,ion,COMPUTED
18,10,9,2,1102.0444709554627,340.1371823936613,478.69,1.302209093474822,0.2894416378164129,ion,COMPUTED
18,11,8,2,1102.0444709554627,411.56599069633023,538.96,1.044761152878623,0.2363700632768105,ion,COMPUTED
18,12,7,2,1102.0444709554627,489.7975426468724,618.26,0.7824935641242563,0.20778063816699707,ion,COMPUTED
18,13,6,2,1102.0444709554627,574.8318382452878,686.1,0.606244674180823,0.16217484587481737,ion,COMPUTED
18,14,5,2,1102.0444709554627,666.6688774915762,755.74,0.45823229014669414,0.11785947880014801,ion,COMPUTED
18,15,4,2,1102.0444709554627,765.308660385738,854.77,0.2892877276407252,0.10466130024949634,ion,COMPUTED
18,16,3,2,1102.0444709554627,870.751186927773,918.03,0.20044494292720574,0.051500292008133684,ion,COMPUTED
18,17,2,1,4408.177883821851,3931.985828470725,4120.8857,0.06971612530331789,0.045839628973274996,ion,COMPUTED
18,18,1,1,4408.177883821851,4408.177883821851,4426.2296,0.004078350607512326,0.004078350607512326,ion,COMPUTED
20,1,20,4,340.1376969547086,0.8503442423867715,6.11316,54.6402412098994,0.8608993969752514,ion,COMPUTED
20,2,19,4,340.1376969547086,3.401376969547086,11.87172,27.651088212551223,0.7134891178744877,ion,COMPUTED
20,3,18,3,604.6892390305932,13.605507878188345,50.9131,10.876889033089581,0.7327699967554844,ion,COMPUTED
20,4,17,3,604.6892390305932,24.18756956122373,67.27,7.988988241869975,0.640440470325201,ion,COMPUTED
20,5,16,3,604.6892390305932,37.79307743941207,84.5,6.1560856690011025,0.5527446456874311,ion,COMPUTED
20,6,15,3,604.6892390305932,54.42203151275338,108.78,4.558827349058588,0.49970553858472716,ion,COMPUTED
20,7,14,3,604.6892390305932,74.07443178124764,127.2,3.7538462187939716,0.4176538381977387,ion,COMPUTED
20,8,13,3,604.6892390305932,96.75027824489491,147.24,3.1068272142800404,0.3429076457151935,ion,COMPUTED
20,9,12,3,604.6892390305932,122.44957090369508,188.54,2.207219895144761,0.35053797123318614,ion,COMPUTED
20,10,11,3,604.6892390305932,151.1723097576483,211.275,1.862095558066942,0.28447611048326454,ion,COMPUTED
20,11,10,2,1360.5507878188344,411.56661331519746,591.9,1.2986159618496949,0.3046686715404672,ion,COMPUTED
20,12,9,2,1360.5507878188344,489.7982836147805,657.2,1.0702233533457612,0.2547195927955258,ion,COMPUTED
20,13,8,2,1360.5507878188344,574.8327078534577,726.6,0.872489385932885,0.20887323444335582,ion,COMPUTED
20,14,7,2,1360.5507878188344,666.6698860312289,817.6,0.6640787522246017,0.18460141140994513,ion,COMPUTED
20,15,6,2,1360.5507878188344,765.3098181480943,894.5,0.5210182088528054,0.144427257520297,ion,COMPUTED
20,16,5,2,1360.5507878188344,870.752504204054,974.0,0.3968693920111236,0.10600358911288085,ion,COMPUTED
20,17,4,2,1360.5507878188344,982.997944199108,1087.0,0.25165665852698654,0.09567806421425205,ion,COMPUTED
20,18,3,2,1360.5507878188344,1102.0461381332557,1157.8,0.17511728089379375,0.048155002476027185,ion,COMPUTED
20,19,2,1,5442.203151275337,4911.588344025991,5128.8,0.061106526141658325,0.042351360157153496,ion,COMPUTED
20,20,1,1,5442.203151275337,5442.203151275337,5469.864,0.005056953650888245,0.005056953650888245,ion,COMPUTED
26,1,26,3,1021.9280248375835,1.511727847392875,7.9024,128.318691136564,0.8087001610405858,ion,COMPUTED
26,2,25,3,1021.9280248375835,6.0469113895715,16.1878,62.1295188251389,0.626452551330539,ion,COMPUTED
26,3,24,3,1021.9280248375835,13.605550626535873,30.652,32.33968500709851,0.5561284540475051,ion,COMPUTED
26,4,23,3,1021.9280248375835,24.187645558286,54.8,17.648321621123788,0.5586196066006204,ion,COMPUTED
26,5,22,3,1021.9280248375835,37.79319618482187,75.0,12.625706997834447,0.4960907175357084,ion,COMPUTED
26,6,21,3,1021.9280248375835,54.42220250614349,99.1,9.312089049824253,0.4508354943880576,ion,COMPUTED
26,7,20,4,574.8345139711407,41.66699879376611,124.98,3.5994120176919564,0.6666106673566482,ion,COMPUTED
26,8,19,4,574.8345139711407,54.42220250614349,151.06,2.805339030657624,0.6397312160324143,ion,COMPUTED
26,9,18,3,1021.9280248375835,122.44995563882283,233.6,3.37469188714719,0.4758135460666831,ion,COMPUTED
26,10,17,3,1021.9280248375835,151.1727847392875,262.1,2.899000476297533,0.423224781612791,ion,COMPUTED
26,11,16,3,1021.9280248375835,182.91906953453787,290.2,2.5214611469248225,0.36967929174866343,ion,COMPUTED
26,12,15,3,1021.9280248375835,217.68881002457397,330.8,2.089262469279273,0.3419322550647704,ion,COMPUTED
26,13,14,3,1021.9280248375835,255.48200620939588,361.0,1.8308255535667133,0.2922936116083217,ion,COMPUTED
26,14,13,3,1021.9280248375835,296.2986580890034,392.2,1.6056298440529921,0.24452152450534564,ion,COMPUTED
