Z,A,IE_pred_eV,IE_obs_eV,relative,tag
2,4,54.415312513310084,54.41776,4.4975880850606494e-05,COMPUTED
3,6,122.44012427741077,122.45435,0.00011617163938423442,COMPUTED
4,8,217.676271192176,217.71858,0.0001943279614629773,COMPUTED
5,10,340.1238043528676,340.2258,0.000299788102878771,COMPUTED
6,12,489.7827237594902,489.99334,0.0004298349045107583,COMPUTED
7,14,666.6530294120455,667.046,0.0005891206722693051,COMPUTED
8,16,870.734721310535,871.4101,0.0007750411539470402,COMPUTED
9,18,1102.0277994549585,1103.1176,0.0009879278012076848,COMPUTED
10,20,1360.5322638453172,1362.1995,0.0012239295012828656,COMPUTED
11,22,1646.2481144816106,1648.702,0.0014883741988481667,COMPUTED
12,24,1959.1753513638394,1962.665,0.0017780154209509058,COMPUTED
13,26,2299.313974492003,2304.141,0.002094934948858143,COMPUTED
14,28,2666.6639838661017,2673.182,0.002438298676969272,COMPUTED
15,30,3061.225379486136,3069.842,0.0028068612371139265,COMPUTED
16,32,3482.9981613521054,3494.1892,0.0032027569222337483,COMPUTED
17,34,3931.982329464011,3946.296,0.0036271152837974844,COMPUTED
18,36,4408.177883821851,4426.2296,0.004078350607512326,COMPUTED
19,38,4911.584824425626,4934.046,0.004552283374410061,COMPUTED
20,40,5442.203151275337,5469.864,0.005056953650888245,COMPUTED
21,42,6000.032864370985,6033.712,0.005581826847057837,COMPUTED
22,44,6585.073963712566,6625.82,0.0061495839439395465,COMPUTED
23,46,7197.326449300084,7246.12,0.006733748640640179,COMPUTED
24,48,7836.790321133538,7894.81,0.007349091221506601,COMPUTED
25,50,8503.465579212927,8571.94,0.007988205795546112,COMPUTED
26,52,9197.352223538252,9277.69,0.00865924346057574,COMPUTED
27,54,9918.45025410951,10012.12,0.009355635558751888,COMPUTED
28,56,10666.759670926704,10775.4,0.010082254865090486,COMPUTED
29,58,11442.280473989833,11567.617,0.010835120665748814,COMPUTED
30,60,,,,NO_DATA
