Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
1,1,H,0.8783,0.0086,2.8179403262,5.6358806524,0.31168154692061556,0.15584077346030778,1,1
1,2,H,2.1421,0.0088,2.8179403262,5.6358806524,0.760165139085336,0.380082569542668,1,1
1,3,H,1.7591,0.0363,2.8179403262,5.6358806524,0.6242502666378855,0.31212513331894276,1,1
2,3,He,1.9661,0.0030,5.6358806524,11.2717613048,0.3488540871004339,0.17442704355021696,1,1
2,4,He,1.6755,0.0028,5.6358806524,11.2717613048,0.29729160415888156,0.14864580207944078,1,1
2,6,He,2.066,0.0111,5.6358806524,11.2717613048,0.36657979957758835,0.18328989978879417,1,1
2,8,He,1.9239,0.0306,5.6358806524,11.2717613048,0.341366348696671,0.1706831743483355,1,1
3,6,Li,2.589,0.0390,8.4538209786,16.9076419572,0.30625204940509076,0.15312602470254538,1,1
3,7,Li,2.444,0.0420,8.4538209786,16.9076419572,0.2891000420031062,0.1445500210015531,1,1
3,8,Li,2.339,0.0440,8.4538209786,16.9076419572,0.2766796228499449,0.13833981142497245,1,1
3,9,Li,2.245,0.0460,8.4538209786,16.9076419572,0.26556039046521007,0.13278019523260504,1,1
3,11,Li,2.482,0.0430,8.4538209786,16.9076419572,0.2935950508394884,0.1467975254197442,1,1
4,7,Be,2.646,0.0160,11.2717613048,22.5435226096,0.234745921994748,0.117372960997374,1,1
4,9,Be,2.519,0.0120,11.2717613048,22.5435226096,0.22347882747723746,0.11173941373861873,1,1
4,10,Be,2.355,0.0170,11.2717613048,22.5435226096,0.20892919361210566,0.10446459680605283,1,1
4,11,Be,2.463,0.0150,11.2717613048,22.5435226096,0.21851065981597295,0.10925532990798648,1,1
5,10,B,2.4277,0.0499,14.089701631,28.179403262,0.1723031518750264,0.0861515759375132,1,1
5,11,B,2.406,0.0294,14.089701631,28.179403262,0.1707630199000344,0.0853815099500172,1,1
