model,evaluation_group,n,log_rmse,median_fractional,max_fractional,AICc_train,BIC_train,parameters
U_upper_p1,H_train,5,0.8256297762781274,0.5318989657578397,2.1596686277594803,1.417245146564757,-0.3066502743344759,34.9054760024
U_upper_p1,H_test,9,1.3362639703272752,1.0897435785383072,8.027725030978571,nan,nan,34.9054760024
U_upper_p1,HeLi_holdout,6,2.4942669067428236,0.9090253545754003,0.948027540298582,nan,nan,34.9054760024
U_upper_p1,series_limit_holdout,28,6.083433340242027,0.9981740896426872,0.9994841097133441,nan,nan,34.9054760024
U_upper_p1,multi_final,4,3.6112801635641407,0.858939767108762,1.832944808487899,nan,nan,34.9054760024
U_lower_p1,H_train,5,0.8256481169527189,0.5319078634913977,2.159742944470511,1.41746728572943,-0.30642813516980305,34.9055069187
U_lower_p1,H_test,9,1.3362863265690483,1.0897848166036974,8.02798076846992,nan,nan,34.9055069187
U_lower_p1,HeLi_holdout,6,2.49454922078539,0.9090459010640375,0.9480492865604632,nan,nan,34.9055069187
U_lower_p1,series_limit_holdout,28,6.1022269260626,0.9981973208255912,0.999507198309367,nan,nan,34.9055069187
U_lower_p1,multi_final,4,3.6247277089949916,0.8589698963088275,1.8330323938121214,nan,nan,34.9055069187
U_ratio_p1,H_train,5,0.825610418158561,0.5318914873449693,2.159592910661225,1.4170106789248285,-0.3068847419744045,34.9054387256
U_ratio_p1,H_test,9,1.3362388321118022,1.089693500717352,8.027441925963585,nan,nan,34.9054387256
U_ratio_p1,HeLi_holdout,6,2.493940668050468,0.9090007087810918,0.9480045581818929,nan,nan,34.9054387256
U_ratio_p1,series_limit_holdout,28,6.06466463141375,0.9981505695548512,0.999459942812493,nan,nan,34.9054387256
U_ratio_p1,multi_final,4,3.593487247104491,0.8588985875778863,1.8348687886805868,nan,nan,34.9054387256
U_upper,H_train,5,0.7931561063700943,0.6128069452108191,2.073130960231548,7.6826477872700565,0.901523612138257,34.5074424039;-62576.9424601
U_upper,H_test,9,1.184485238808141,0.6674301802241112,6.46734610018625,nan,nan,34.5074424039;-62576.9424601
U_upper,HeLi_holdout,6,2.0907862441480125,0.7958814939901143,77.76348865852988,nan,nan,34.5074424039;-62576.9424601
U_upper,series_limit_holdout,28,6.471286512957092,0.9987736465514723,0.9996535077258484,nan,nan,34.5074424039;-62576.9424601
U_upper,multi_final,4,280.14508938056275,2.7698577877621047e+19,2.8924771663233956e+242,nan,nan,34.5074424039;-62576.9424601
U_lower,H_train,5,0.12016120117772533,0.13933394007043762,0.161890826834582,-11.189210945305469,-17.97033512043727,33.349278643;-41746.8657361
U_lower,H_test,9,0.4185152294442163,0.2971194964513104,1.4378479748651363,nan,nan,33.349278643;-41746.8657361
U_lower,HeLi_holdout,6,11.641085579419231,2693025.257985663,6733705.369088007,nan,nan,33.349278643;-41746.8657361
U_lower,series_limit_holdout,28,491.8400440974179,1.3064391043831239e+245,9.476523192453165e+285,nan,nan,33.349278643;-41746.8657361
U_lower,multi_final,4,329.3984597260194,2887550406643.2227,6.260487680525775e+285,nan,nan,33.349278643;-41746.8657361
U_ratio,H_train,5,0.09333427927920988,0.08945173965477976,0.12620832041249846,-13.715678293979657,-20.496802469111458,33.5315221363;44440.9797687
U_ratio,H_test,9,0.44523041403866775,0.1670279195713197,1.5635439304540777,nan,nan,33.5315221363;44440.9797687
U_ratio,HeLi_holdout,6,10.552689591654563,71657.63340343127,6210931.304325174,nan,nan,33.5315221363;44440.9797687
U_ratio,series_limit_holdout,28,498.5203005688448,1.8002414676518883e+261,1.0629022115807504e+286,nan,nan,33.5315221363;44440.9797687
U_ratio,multi_final,4,329.0436918171887,43.01934562425229,6.260487680525775e+285,nan,nan,33.5315221363;44440.9797687
U_poly,H_train,5,0.03665355857702921,0.017817580203556026,0.057811493836151,-3.062447591275614,-28.23413385397331,33.2116697323;85921.2258838;-742389251.495
U_poly,H_test,9,0.3231096935864206,0.10097181296381583,1.0625418338727683,nan,nan,33.2116697323;85921.2258838;-742389251.495
U_poly,HeLi_holdout,6,69.949516099793,0.9999999577324727,1.0,nan,nan,33.2116697323;85921.2258838;-742389251.495
U_poly,series_limit_holdout,28,706.448041223902,1.0,1.0,nan,nan,33.2116697323;85921.2258838;-742389251.495
U_poly,multi_final,4,370.9880317899341,0.8959618902024387,1.0,nan,nan,33.2116697323;85921.2258838;-742389251.495
Ritz,H_train,5,2.6033324846790843e-06,1.4852293522782183e-06,5.095494132203146e-06,-118.58718208768391,-125.36830626281571,35.7296263284;2.00003464242
Ritz,H_test,9,8.321279381233663e-06,6.436011878752187e-06,1.405258998567979e-05,nan,nan,35.7296263284;2.00003464242
Ritz,HeLi_holdout,6,9.423992416262715e-05,1.545308537905833e-05,0.00021470312503766794,nan,nan,35.7296263284;2.00003464242
Ritz,series_limit_holdout,28,0.005029224567672089,0.0028997827682337345,0.01070943186722481,nan,nan,35.7296263284;2.00003464242
Ritz,multi_final,4,0.4630147155909743,0.9617515571713926,1.0,nan,nan,35.7296263284;2.00003464242
Rydberg,H_train,5,1.0726922743120052e-05,1.146486141855259e-05,1.2500705261582154e-05,-114.42753832470558,-114.42753832470558,fixed
Rydberg,H_test,9,7.266204989101686e-06,3.970226552841543e-06,1.1434395423052965e-05,nan,nan,fixed
Rydberg,HeLi_holdout,6,0.0001133990612936924,4.368327500719377e-05,0.000263156357047709,nan,nan,fixed
Rydberg,series_limit_holdout,28,0.005117345720642353,0.003004809077733735,0.0108351206638237,nan,nan,fixed
Rydberg,multi_final,4,0.46298651648531564,0.9617184556758879,1.0,nan,nan,fixed
