corpus,split,species,Z,A,n_upper,n_lower,frequency_Hz,unc_frequency_Hz,source,source_quantity
H_LINES,train,H I,1,1,2,1,2466067748648893.5,,NIST ASD comparison column in APS01,121.567 nm
H_LINES,train,H I,1,1,3,1,2922745714725822.5,,NIST ASD comparison column in APS01,102.5722 nm
H_LINES,train,H I,1,1,4,1,3082581516178819.0,,NIST ASD comparison column in APS01,97.2537 nm
H_LINES,test,H I,1,1,5,1,3156564017844827.5,,NIST ASD comparison column in APS01,94.9743 nm
H_LINES,test,H I,1,1,6,1,3196753028087988.5,,NIST ASD comparison column in APS01,93.7803 nm
H_LINES,train,H I,1,1,3,2,456679490979972.3,,NIST ASD comparison column in APS01,656.4614 nm
H_LINES,train,H I,1,1,4,2,616512880055409.4,,NIST ASD comparison column in APS01,486.2712 nm
H_LINES,test,H I,1,1,5,2,690496833953214.5,,NIST ASD comparison column in APS01,434.1692 nm
H_LINES,test,H I,1,1,6,2,730685716319123.1,,NIST ASD comparison column in APS01,410.2892 nm
H_LINES,test,H I,1,1,7,2,754910270941040.2,,NIST ASD comparison column in APS01,397.1233 nm
H_LINES,test,H I,1,1,4,3,159836458344440.78,,NIST ASD comparison column in APS01,1875.62 nm
H_LINES,test,H I,1,1,5,3,233816465835263.62,,NIST ASD comparison column in APS01,1282.17 nm
H_LINES,test,H I,1,1,6,3,274003270208021.06,,NIST ASD comparison column in APS01,1094.12 nm
H_LINES,test,H I,1,1,7,3,298235667814010.9,,NIST ASD comparison column in APS01,1005.22 nm
HLIKE_LINES,element_holdout,He II,2,4,2,1,9868573431867932.0,,NIST ASD comparison column in APS01,30.3785 nm
HLIKE_LINES,element_holdout,He II,2,4,3,1,1.1696159755303004e+16,,NIST ASD comparison column in APS01,25.6317 nm
HLIKE_LINES,element_holdout,He II,2,4,4,1,1.233541224684612e+16,,NIST ASD comparison column in APS01,24.3034 nm
HLIKE_LINES,element_holdout,Li III,3,7,2,1,2.2205861813549024e+16,,NIST ASD comparison column in APS01,13.5006 nm
HLIKE_LINES,element_holdout,Li III,3,7,3,1,2.631582043696948e+16,,NIST ASD comparison column in APS01,11.3921 nm
HLIKE_LINES,element_holdout,Li III,3,7,4,1,2.776318812394658e+16,,NIST ASD comparison column in APS01,10.7982 nm
HLIKE_LIMIT,element_holdout,Z=2 H-like limit,2,4,inf,1,1.3158155825835898e+16,,ionisation_energies.json,54.41776 eV
HLIKE_LIMIT,element_holdout,Z=3 H-like limit,3,6,inf,1,2.960933009465013e+16,,ionisation_energies.json,122.45435 eV
HLIKE_LIMIT,element_holdout,Z=4 H-like limit,4,8,inf,1,5.264411842420046e+16,,ionisation_energies.json,217.71858 eV
HLIKE_LIMIT,element_holdout,Z=5 H-like limit,5,10,inf,1,8.226623242797349e+16,,ionisation_energies.json,340.2258 eV
HLIKE_LIMIT,element_holdout,Z=6 H-like limit,6,12,inf,1,1.1847986248132574e+17,,ionisation_energies.json,489.99334 eV
HLIKE_LIMIT,element_holdout,Z=7 H-like limit,7,14,inf,1,1.6129100519757763e+17,,ionisation_energies.json,667.046 eV
HLIKE_LIMIT,element_holdout,Z=8 H-like limit,8,16,inf,1,2.1070602472441427e+17,,ionisation_energies.json,871.4101 eV
HLIKE_LIMIT,element_holdout,Z=9 H-like limit,9,18,inf,1,2.667326489554534e+17,,ionisation_energies.json,1103.1176 eV
