nuclide,Z,A,start_level_keV,end_level_keV,gamma_energy_keV,relative_intensity,multipolarity,tot_conv_coeff,gamma_fraction_from_icc,radius_fm_measured,source,extraction_date
12c,6,12,4439.82,0,4438.94,100.0,E2,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,7654.07,4439.82,3213.79,100.0,E2,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,9641,0,9637.0,100.0,E3,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,12710,4439.82,8267.0,15.0,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,12710,0,12703.0,100.0,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,15110,12710,2400.0,1.5,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,15110,10300,4809.0,4.2,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,15110,7654.07,7453.0,2.83,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,15110,4439.82,10665.0,2.49,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,15110,0,15100.0,100.0,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16106,12710,3396.0,1.5,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16106,10847,5257.0,3.8,E1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16106,9641,6463.0,2.4,E1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16106,4439.82,11660.1,100.0,M1,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16106,0,16094.4,4.6,E2,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16620,4439.82,12180.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,16620,0,16608.0,0.6,M2,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,17230,4439.82,12783.0,11.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,17230,0,17217.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,17760,12710,5049.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18160,15110,3049.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18350,9641,8706.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18350,4439.82,13902.0,56.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18350,0,18335.0,0.00035,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18800,4439.82,14351.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,18800,0,18784.0,20.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,19200,4439.82,14750.0,40.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,19200,0,19200.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
12c,6,12,19400,4439.82,14950.0,100.0,,,,2.4702,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,6129.89,0,6128.63,100.0,[E3],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,6917.1,6129.89,787.2,0.008,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,6917.1,6049.4,867.7,0.027,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,6917.1,0,6915.5,100.0,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,7116.85,6129.89,986.93,0.07,[E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,7116.85,6049.4,1067.5,0.0006,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,7116.85,0,7115.15,100.0,[E1],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
16o,8,16,8871.9,7116.85,1754.9,14.7,[M1+E2],,,2.6991,IAEA LiveChart ENSDF adopted gammas,2026-08-13
