Z,N,A,symbol,radius_fm,unc_radius_fm,source
1,0,1,H,0.8783,0.0086,IAEA LiveChart
1,1,2,H,2.1421,0.0088,IAEA LiveChart
1,2,3,H,1.7591,0.0363,IAEA LiveChart
2,1,3,He,1.9661,0.0030,IAEA LiveChart
2,2,4,He,1.6755,0.0028,IAEA LiveChart
2,4,6,He,2.0660,0.0111,IAEA LiveChart
2,6,8,He,1.9239,0.0306,IAEA LiveChart
3,3,6,Li,2.5890,0.0390,IAEA LiveChart
3,4,7,Li,2.4440,0.0420,IAEA LiveChart
3,5,8,Li,2.3390,0.0440,IAEA LiveChart
3,6,9,Li,2.2450,0.0460,IAEA LiveChart
3,8,11,Li,2.4820,0.0430,IAEA LiveChart
4,3,7,Be,2.6460,0.0160,IAEA LiveChart
4,5,9,Be,2.5190,0.0120,IAEA LiveChart
4,6,10,Be,2.3550,0.0170,IAEA LiveChart
4,7,11,Be,2.4630,0.0150,IAEA LiveChart
5,5,10,B,2.4277,0.0499,IAEA LiveChart
5,6,11,B,2.4060,0.0294,IAEA LiveChart
6,6,12,C,2.4702,0.0022,IAEA LiveChart
6,7,13,C,2.4614,0.0034,IAEA LiveChart
6,8,14,C,2.5025,0.0087,IAEA LiveChart
7,7,14,N,2.5582,0.0070,IAEA LiveChart
7,8,15,N,2.6058,0.0080,IAEA LiveChart
8,8,16,O,2.6991,0.0052,IAEA LiveChart
8,9,17,O,2.6932,0.0075,IAEA LiveChart
8,10,18,O,2.7726,0.0056,IAEA LiveChart
9,10,19,F,2.8976,0.0025,IAEA LiveChart
10,7,17,Ne,3.0413,0.0088,IAEA LiveChart
10,8,18,Ne,2.9714,0.0076,IAEA LiveChart
10,9,19,Ne,3.0082,0.0040,IAEA LiveChart
10,10,20,Ne,3.0055,0.0021,IAEA LiveChart
10,11,21,Ne,2.9695,0.0033,IAEA LiveChart
10,12,22,Ne,2.9525,0.0040,IAEA LiveChart
10,13,23,Ne,2.9104,0.0071,IAEA LiveChart
10,14,24,Ne,2.9007,0.0078,IAEA LiveChart
10,15,25,Ne,2.9316,0.0088,IAEA LiveChart
10,16,26,Ne,2.9251,0.0100,IAEA LiveChart
10,18,28,Ne,2.9642,0.0134,IAEA LiveChart
11,9,20,Na,2.9718,0.0420,IAEA LiveChart
11,10,21,Na,3.0136,0.0284,IAEA LiveChart
11,11,22,Na,2.9852,0.0169,IAEA LiveChart
11,12,23,Na,2.9936,0.0021,IAEA LiveChart
11,13,24,Na,2.9735,0.0169,IAEA LiveChart
11,14,25,Na,2.9769,0.0252,IAEA LiveChart
11,15,26,Na,2.9928,0.0331,IAEA LiveChart
11,16,27,Na,3.0136,0.0467,IAEA LiveChart
11,17,28,Na,3.0400,0.0581,IAEA LiveChart
11,18,29,Na,3.0922,0.0723,IAEA LiveChart
11,19,30,Na,3.1180,0.0884,IAEA LiveChart
11,20,31,Na,3.1704,0.0893,IAEA LiveChart
12,12,24,Mg,3.0570,0.0016,IAEA LiveChart
12,13,25,Mg,3.0284,0.0022,IAEA LiveChart
12,14,26,Mg,3.0337,0.0018,IAEA LiveChart
13,14,27,Al,3.0610,0.0031,IAEA LiveChart
14,14,28,Si,3.1224,0.0024,IAEA LiveChart
14,15,29,Si,3.1176,0.0052,IAEA LiveChart
14,16,30,Si,3.1336,0.0040,IAEA LiveChart
15,16,31,P,3.1889,0.0019,IAEA LiveChart
16,16,32,S,3.2611,0.0018,IAEA LiveChart
16,18,34,S,3.2847,0.0021,IAEA LiveChart
16,20,36,S,3.2985,0.0024,IAEA LiveChart
17,18,35,Cl,3.3654,0.0191,IAEA LiveChart
17,20,37,Cl,3.3840,0.0170,IAEA LiveChart
18,14,32,Ar,3.3468,0.0062,IAEA LiveChart
18,15,33,Ar,3.3438,0.0058,IAEA LiveChart
18,16,34,Ar,3.3654,0.0040,IAEA LiveChart
18,17,35,Ar,3.3636,0.0042,IAEA LiveChart
18,18,36,Ar,3.3905,0.0023,IAEA LiveChart
18,19,37,Ar,3.3908,0.0022,IAEA LiveChart
18,20,38,Ar,3.4028,0.0019,IAEA LiveChart
18,21,39,Ar,3.4093,0.0031,IAEA LiveChart
18,22,40,Ar,3.4274,0.0026,IAEA LiveChart
18,23,41,Ar,3.4251,0.0030,IAEA LiveChart
18,24,42,Ar,3.4414,0.0041,IAEA LiveChart
18,25,43,Ar,3.4354,0.0039,IAEA LiveChart
18,26,44,Ar,3.4454,0.0046,IAEA LiveChart
18,28,46,Ar,3.4377,0.0044,IAEA LiveChart
19,19,38,K,3.4264,0.0051,IAEA LiveChart
19,20,39,K,3.4349,0.0019,IAEA LiveChart
19,21,40,K,3.4381,0.0028,IAEA LiveChart
19,22,41,K,3.4518,0.0055,IAEA LiveChart
19,23,42,K,3.4517,0.0070,IAEA LiveChart
19,24,43,K,3.4556,0.0086,IAEA LiveChart
19,25,44,K,3.4563,0.0101,IAEA LiveChart
19,26,45,K,3.4605,0.0118,IAEA LiveChart
19,27,46,K,3.4558,0.0126,IAEA LiveChart
19,28,47,K,3.4534,0.0138,IAEA LiveChart
20,19,39,Ca,3.4595,0.0025,IAEA LiveChart
20,20,40,Ca,3.4776,0.0019,IAEA LiveChart
20,21,41,Ca,3.4780,0.0019,IAEA LiveChart
20,22,42,Ca,3.5081,0.0021,IAEA LiveChart
20,23,43,Ca,3.4954,0.0019,IAEA LiveChart
20,24,44,Ca,3.5179,0.0021,IAEA LiveChart
20,25,45,Ca,3.4944,0.0021,IAEA LiveChart
20,26,46,Ca,3.4953,0.0020,IAEA LiveChart
20,27,47,Ca,3.4783,0.0024,IAEA LiveChart
20,28,48,Ca,3.4771,0.0020,IAEA LiveChart
20,30,50,Ca,3.5168,0.0064,IAEA LiveChart
21,21,42,Sc,3.5702,0.0238,IAEA LiveChart
21,22,43,Sc,3.5575,0.0147,IAEA LiveChart
21,23,44,Sc,3.5432,0.0016,IAEA LiveChart
21,24,45,Sc,3.5459,0.0025,IAEA LiveChart
21,25,46,Sc,3.5243,0.0089,IAEA LiveChart
22,22,44,Ti,3.6115,0.0051,IAEA LiveChart
22,23,45,Ti,3.5939,0.0032,IAEA LiveChart
22,24,46,Ti,3.6070,0.0022,IAEA LiveChart
22,25,47,Ti,3.5962,0.0019,IAEA LiveChart
22,26,48,Ti,3.5921,0.0017,IAEA LiveChart
22,27,49,Ti,3.5733,0.0021,IAEA LiveChart
22,28,50,Ti,3.5704,0.0022,IAEA LiveChart
23,28,51,V,3.6002,0.0022,IAEA LiveChart
24,26,50,Cr,3.6588,0.0065,IAEA LiveChart
24,28,52,Cr,3.6452,0.0042,IAEA LiveChart
24,29,53,Cr,3.6511,0.0075,IAEA LiveChart
24,30,54,Cr,3.6885,0.0074,IAEA LiveChart
25,25,50,Mn,3.7120,0.0196,IAEA LiveChart
25,26,51,Mn,3.7026,0.0212,IAEA LiveChart
25,27,52,Mn,3.6706,0.0128,IAEA LiveChart
25,28,53,Mn,3.6662,0.0076,IAEA LiveChart
25,29,54,Mn,3.6834,0.0049,IAEA LiveChart
25,30,55,Mn,3.7057,0.0022,IAEA LiveChart
25,31,56,Mn,3.7146,0.0052,IAEA LiveChart
26,28,54,Fe,3.6933,0.0019,IAEA LiveChart
26,30,56,Fe,3.7377,0.0016,IAEA LiveChart
26,31,57,Fe,3.7532,0.0017,IAEA LiveChart
26,32,58,Fe,3.7745,0.0014,IAEA LiveChart
27,32,59,Co,3.7875,0.0021,IAEA LiveChart
28,30,58,Ni,3.7757,0.0020,IAEA LiveChart
28,32,60,Ni,3.8118,0.0016,IAEA LiveChart
28,33,61,Ni,3.8225,0.0019,IAEA LiveChart
28,34,62,Ni,3.8399,0.0021,IAEA LiveChart
28,36,64,Ni,3.8572,0.0023,IAEA LiveChart
29,34,63,Cu,3.8823,0.0015,IAEA LiveChart
29,36,65,Cu,3.9022,0.0014,IAEA LiveChart
30,34,64,Zn,3.9283,0.0015,IAEA LiveChart
30,36,66,Zn,3.9491,0.0014,IAEA LiveChart
30,37,67,Zn,3.9530,0.0027,IAEA LiveChart
30,38,68,Zn,3.9658,0.0014,IAEA LiveChart
30,40,70,Zn,3.9845,0.0019,IAEA LiveChart
31,38,69,Ga,3.9973,0.0017,IAEA LiveChart
31,40,71,Ga,4.0118,0.0018,IAEA LiveChart
32,38,70,Ge,4.0414,0.0012,IAEA LiveChart
32,40,72,Ge,4.0576,0.0013,IAEA LiveChart
32,41,73,Ge,4.0632,0.0014,IAEA LiveChart
32,42,74,Ge,4.0742,0.0012,IAEA LiveChart
32,44,76,Ge,4.0811,0.0012,IAEA LiveChart
33,42,75,As,4.0968,0.0020,IAEA LiveChart
34,40,74,Se,4.0700,0.0200,IAEA LiveChart
34,42,76,Se,4.1395,0.0016,IAEA LiveChart
34,43,77,Se,4.1395,0.0018,IAEA LiveChart
34,44,78,Se,4.1406,0.0017,IAEA LiveChart
34,46,80,Se,4.1400,0.0018,IAEA LiveChart
34,48,82,Se,4.1400,0.0019,IAEA LiveChart
35,44,79,Br,4.1629,0.0021,IAEA LiveChart
35,46,81,Br,4.1599,0.0021,IAEA LiveChart
36,36,72,Kr,4.1635,0.0060,IAEA LiveChart
36,38,74,Kr,4.1870,0.0041,IAEA LiveChart
