split,Z,k,n,IE_eV,Zeff_obs,sigma_inv,N_inner
train,2,1,1,24.58738,1.34429873843224,0.65570126156776,1.0
train,2,2,1,54.41776,1.9999078950379046,nan,0.0
train,4,1,2,9.32269,1.6555422999217073,0.7814859000260975,3.0
train,4,2,2,18.21115,2.3138667524975234,0.8430666237512383,2.0
train,4,3,1,153.8962,3.363207110901449,0.636792889098551,1.0
train,4,4,1,217.71858,4.000252552038712,nan,0.0
train,6,1,2,11.2603,1.8194689170074392,0.8361062165985121,5.0
train,6,2,2,24.38332,2.6774173860525994,0.8306456534868502,4.0
train,6,3,2,47.8878,3.75216651067975,0.7492778297734167,3.0
train,6,4,2,64.4939,4.354406604316575,0.8227966978417127,2.0
train,6,5,1,392.087,5.368227171773944,0.6317728282260564,1.0
train,6,6,1,489.99334,6.001153741670889,nan,0.0
train,8,1,2,13.61806,2.000908742241685,0.8570130368226164,7.0
train,8,2,2,35.1173,3.2131442191587096,0.7978092968068817,6.0
train,8,3,2,54.9355,4.0187982167615175,0.7962403566476965,5.0
train,8,4,2,77.41353,4.770655933705329,0.8073360165736678,4.0
train,8,5,2,113.899,5.786681982957023,0.737772672347659,3.0
train,8,6,2,138.1197,6.372318481748893,0.8138407591255534,2.0
train,8,7,1,739.29,7.371350811247552,0.6286491887524477,1.0
train,8,8,1,871.4101,8.002965764267612,nan,0.0
train,10,1,2,21.5646,2.5179109324821316,0.8313432297242076,9.0
train,10,2,2,40.96328,3.4703000148016767,0.8162124981497905,8.0
train,10,3,2,63.45,4.319022567243945,0.8115682046794365,7.0
train,10,4,2,97.12,5.343477646401911,0.7760870589330149,6.0
train,10,5,2,126.21,6.091391927492052,0.7817216145015896,5.0
train,10,6,2,157.93,6.813997623246544,0.796500594188364,4.0
train,10,7,2,207.2759,7.8062789231996295,0.7312403589334568,3.0
train,10,8,2,239.0989,8.38413859997303,0.8079307000134852,2.0
train,10,9,1,1195.8286,9.375061651878612,0.6249383481213879,1.0
train,10,10,1,1362.1995,10.005989035874078,nan,0.0
