seat,koppa_m,r_m,z,k,inside_horizon,c_far_over_c,fill_R_over_koppa,note
H koppa (c-boundary),2.8179403262e-15,2.8179403262e-15,1.0,1.0,True,0.0,1.0,"this atom, z=1"
H proton surface,2.8179403262e-15,8.414e-16,3.3491090161635366,0.5464310353942179,True,0.0,0.298586876441997,this nucleus vs this ϟ
H electron n=1,2.8179403262e-15,5.29177210903e-11,5.325135452056604e-05,137.03599908382867,False,0.9998935001266656,18778.865044903094,this n=1 vs this ϟ
H electron n=2,2.8179403262e-15,2.116708843612e-10,1.331283863014151e-05,274.07199816765734,False,0.9999733744999714,75115.46017961238,this n=2 vs this ϟ
H electron n=3,2.8179403262e-15,4.762594898127e-10,5.916817168951782e-06,411.10799725148604,False,0.9999881664006708,169009.78540412785,this n=3 vs this ϟ
He+ koppa,5.6358806524e-15,5.6358806524e-15,1.0,1.0,True,0.0,1.0,"this ion, z=1"
He+ electron n=1,5.6358806524e-15,2.645886054515e-11,0.00021300541808226417,68.51799954191434,False,0.9995740345351436,4694.716261225773,this n=1 vs this ϟ
Fe26+ koppa,7.32664484812e-14,7.32664484812e-14,1.0,1.0,True,0.0,1.0,"this ion, z=1"
Fe26+ electron n=1,7.32664484812e-14,2.0352969650115383e-12,0.03599791565590265,5.270615349378026,False,0.9293000186197643,27.77938616109925,this n=1 vs this ϟ
Fe-56 nuclear boundary vs Fe koppa,7.32664484812e-14,3.5581750491601e-15,20.59101856118473,0.22037437060773823,True,0.0,0.04856486322075676,this nucleus vs this ϟ
