Z,symbol,E_Hlike_eV,E_Helike_eV,E_H_times_Z2,ratio_He_over_Hlike,z_Hlike,z_Helike,z_pair,z_pair_over_z_Hlike,k_Hlike,k_Helike,k_ratio,r_over_R_kepler,v_Helike_over_v_Hlike
2,He,54.41776,24.58738,54.422772491976,0.45182638903181604,0.00021298579967887797,9.623260478396116e-05,0.00011675319489491681,0.548173610968184,68.5179995418479,101.9386503653042,1.487764544308454,2.213239474885084,0.6721803247877879
3,Li,122.45435,75.64009,122.451238106946,0.6177003103605547,0.0004792743703325387,0.0002960479273022686,0.00018322644303027011,0.38229968963944533,45.67866636123193,58.11911433877571,1.2723470050365162,1.618908042018459,0.7859391263708371
4,Be,217.71858,153.8962,217.691089967904,0.7068583673474261,0.0008521292656340461,0.000602334701475043,0.00024979456415900306,0.29314163265257387,34.25899977092395,40.74563194142198,1.1893409677419515,1.4147105646533182,0.8407486945261505
5,B,340.2258,259.37521,340.14232807485,0.76236196667037,0.0013316105639847359,0.0010151692483984438,0.0003164413155862921,0.23763803332963004,27.40719981673916,31.385624405444144,1.1451598344707632,1.3117128656975356,0.8731334185967056
6,C,489.99334,392.087,489.804952427784,0.8001884270508657,0.0019177860933126305,0.0015345902374278586,0.00038319585588477193,0.1998115729491343,22.839333180615967,25.527235472465993,1.1176874241727548,1.2497056520619145,0.894532518721855
7,N,667.046,552.0718,666.678963026706,0.8276367746752098,0.0026107529183964358,0.0021607551248555177,0.00044999779354091803,0.17236322532479004,19.576571297670828,21.512814089786673,1.098906124196846,1.2082595053759309,0.9097454449873381
8,O,871.4101,739.29,870.764359871616,0.8483835567203087,0.003410614053146455,0.0028935088810086575,0.0005171051721377974,0.15161644327969126,17.129499885461975,18.590351021480036,1.0852827663262898,1.1787121427315397,0.9210773891049051
9,F,1103.1176,953.9112,1102.061142962514,0.8647411663090137,0.004317494585882342,0.0037335153037287476,0.000583979282153594,0.13525883369098643,15.226222120410645,16.36594291759027,1.0748525003882505,1.1564153979951175,0.9299146016215756
10,Ne,1362.1995,1195.8286,1360.5693122994,0.8778659807172151,0.005331515847577476,0.004680356388242976,0.0006511594593345002,0.1221340192827848,13.70359990836958,14.617077110751993,1.0666596520980227,1.1391260419762497,0.9369450254509147
11,Na,1648.702,1465.121,1646.288867882274,0.888651193484329,0.006452858660521224,0.005734340550057874,0.0007185181104633499,0.11134880651567101,12.4578180985178,13.20560368318914,1.0600254056334562,1.1253009137129284,0.9426829761294776
12,Mg,1962.665,1761.805,1959.219809711136,0.897659559833186,0.007681679189418032,0.0068955327599527355,0.0007861464294652964,0.102340440166814,11.419666590307983,12.042484249016574,1.0545390405037907,1.1140080769438163,0.9474489747913529
13,Al,2304.141,2085.98,2299.362137785986,0.9053178603219161,0.009018182914142176,0.008164322059822857,0.0008538608543193198,0.09468213967808396,10.54123069874583,11.067255492775114,1.0499016489689263,1.1045844159579665,0.9514819285314442
14,Si,2673.182,2437.63,2666.715852106824,0.9118832911489005,0.010462573357616746,0.009540645827230363,0.0009219275303863836,0.08811670885109933,9.788285648835414,10.23790541650913,1.0459344755357862,1.0966315642652904,0.9549258040020181
15,P,3069.842,2816.91,3061.2809526736496,0.9176074859878781,0.012015061870569574,0.011025110717042158,0.0009899511535274158,0.08239251401212196,9.135733272246387,9.523761703397788,1.0424737040353618,1.0897905861387123,0.9579183086192049
16,S,3494.1892,3223.78,3483.057439486464,0.9226117463816785,0.01367591538114209,0.012617560173163563,0.0010583552079785272,0.07738825361832144,8.564749942730987,8.902506669743834,1.0394356787146488,1.0838795451302505,0.9605268066960333
17,Cl,3946.296,3658.521,3932.045312545266,0.9270771883305258,0.015445417255865682,0.014319094002159742,0.0011263232537059402,0.0729228116694742,8.060941122570341,8.356842745379291,1.036708073946904,1.0786588350866373,0.9628484763089806
18,Ar,4426.2296,4120.8857,4408.244571850056,0.9310148980974688,0.017323830508979423,0.016128744295975297,0.0011950862130041262,0.0689851019025313,7.6131110602053225,7.87407816484152,1.0342786414873553,1.0740966681021997,0.9648911327696346
19,K,4934.046,4610.8,4911.655217400834,0.9344866261887302,0.019311374319015872,0.01804622103444483,0.0012651532845710418,0.06551337381126976,7.2124210044050425,7.444008558873788,1.0321095446767876,1.0701062722304162,0.9666884845640451
20,Ca,5469.864,5128.8,5442.2772491976,0.9376467129712915,0.02140851365757624,0.020073622460627362,0.0013348911969488786,0.06235328702870856,6.85179995418479,7.058088898337423,1.030107263132608,1.0664997660271411,0.9683215958406026
21,,6033.712,5674.8,6000.110667240353,0.9405155565926911,0.023615359679487767,0.022210613153090034,0.0014047465263977328,0.05948444340730883,6.525523765890276,6.70995682939706,1.0282633348867471,1.0632466342426166,0.9698018130487751
22,,6625.82,6249.0,6585.155471529096,0.9431285486173787,0.025932812582294882,0.024457975892306267,0.001474836689988615,0.05687145138262137,6.2289090492589,6.3942519369310435,1.0265444376157355,1.060300848135702,0.9711480570012888
23,,7246.12,6851.3,7197.411662063826,0.9455129089774942,0.02836060622063663,0.026815319288039357,0.0015452869325972736,0.054487091022505846,5.958086916682426,6.106727118062163,1.0249476389751129,1.0576270196896944,0.9723748808857076
24,,7894.81,7481.7,7836.879238844544,0.9476732182281776,0.0308995155471817,0.029282643340289294,0.0016168722068924078,0.05232678177182232,5.709833295153992,5.843793500565831,1.023461316379505,1.055216060521005,0.9734850888576452
25,,8571.94,8140.6,8503.55820187125,0.9496800024265218,0.033549736257048456,0.031861513610002945,0.0016882226470455106,0.05031999757347816,5.481439963347832,5.602305636068825,1.0220499856842677,1.052986266368572,0.974515265363515
26,Fe,9277.69,8828.0,9197.448551143943,0.9515299605828605,0.03631197285266298,0.03455193009718031,0.0017600427554826728,0.04847003941713946,5.270615349372915,5.379771672528186,1.0207103565560438,1.050939057544178,0.9754639719553257
27,,10012.12,9544.1,9918.550286662625,0.9532546553577064,0.0391864601681673,0.037354675582294807,0.0018317845858724924,0.04674534464229364,5.075407373470215,5.174012999132877,1.0194281204259752,1.0490376253392146,0.9763476099001351
28,,10775.4,10288.8,10666.863408427296,0.954841583607105,0.04217386356696383,0.04026935867510973,0.0019045048918540988,0.04515841639289506,4.894142824417707,4.983249632805263,1.0182068263196136,1.0472941450898063,0.9771599580453064
