Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
1,H,1,13.59844,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,13.598287264260605,1.1231857433254958e-05,5.29177210903e-11,5.325135452066933e-05,2.8179403262054656e-15,1.0,6.098992584414043e-10,0.0,True,True,COMPUTED
3,Li,1,5.39171,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,30.61042983520994,4.6773138457390955,1.7639240363433332e-11,0.0004792621906860239,8.453820978616394e-15,3.0,6.098991929944678e-10,0.0,True,True,COMPUTED
3,Li,2,75.64009,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,122.44171934083975,0.6187410583572779,1.7639240363433332e-11,0.0004792621906860239,8.453820978616394e-15,3.0,6.098991929944678e-10,0.0,True,True,COMPUTED
3,Li,3,122.45435,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,122.44171934083975,0.00010314585933657246,1.7639240363433332e-11,0.0004792621906860239,8.453820978616394e-15,3.0,6.098991929944678e-10,0.0,True,True,COMPUTED
4,Be,1,9.32269,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,54.41948192550926,4.837315402046969,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,0.0,True,True,COMPUTED
4,Be,2,18.21115,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,54.41948192550926,1.9882507104443847,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,0.0,True,True,COMPUTED
4,Be,3,153.8962,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.67792770203704,0.41444641064585774,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,0.0,True,True,COMPUTED
4,Be,4,217.71858,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.67792770203704,0.00018671947044190813,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,0.0,True,True,COMPUTED
5,B,1,8.29803,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,85.03137522382625,9.24717616396015,1.058354421806e-11,0.0013312838630167333,1.4089701631027329e-14,5.0,6.098993239835366e-10,0.0,True,True,COMPUTED
5,B,2,25.15484,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,85.03137522382625,2.380318667255536,1.058354421806e-11,0.0013312838630167333,1.4089701631027329e-14,5.0,6.098993239835366e-10,0.0,True,True,COMPUTED
