Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
1,H,1,13.59844,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,13.598287264260605,1.1231857433254958e-05,5.29177210903e-11,5.325135452066933e-05,2.8179403262054656e-15,1.0,6.098992584414043e-10,0.0,True,True,COMPUTED
3,Li,1,5.39171,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,9.002342972210567,0.6696637935294307,1.863610250686808e-11,0.0004293611483759105,8.001618373600063e-15,2.839527260101617,1.2298304240037757e-09,0.0,True,True,COMPUTED
3,Li,2,75.64009,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,109.00466384638278,0.44109643241279567,1.8694852714326046e-11,0.00042666677886632774,7.976472589001918e-15,2.830603797683233,1.493081960065055e-09,0.0,True,True,COMPUTED
3,Li,3,122.45435,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,122.44171934083975,0.00010314585933657246,1.7639240363433332e-11,0.0004792621906860239,8.453820978616394e-15,3.0,6.098991929944678e-10,0.0,True,True,COMPUTED
4,Be,1,9.32269,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,21.89474523058038,1.3485437390474617,1.3810789550616635e-11,0.0007818004390732881,1.0797281334620864e-14,3.8316217111524438,9.42843562590499e-10,0.0,True,True,COMPUTED
4,Be,2,18.21115,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,23.267143244639136,0.2776317390521267,1.3770781076760352e-11,0.000786349793162463,1.0828650851396063e-14,3.8427537839232837,1.0782621970651994e-09,0.0,True,True,COMPUTED
4,Be,3,153.8962,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,199.6314133180901,0.2971822131936338,1.3814459517401639e-11,0.0007813851060629628,1.0794412915207386e-14,3.830603797683233,1.2722861527865055e-09,0.0,True,True,COMPUTED
4,Be,4,217.71858,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.67792770203704,0.00018671947044190813,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,0.0,True,True,COMPUTED
5,B,1,8.29803,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,40.16291338143132,3.8400540105821888,1.0947886948466527e-11,0.0012441487766448722,1.3620800153780992e-14,4.833601346030724,1.1888853070331184e-09,0.0,True,True,COMPUTED
5,B,2,25.15484,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,42.328269446348074,0.6827087529218263,1.094900665046122e-11,0.0012438943234913023,1.3619407220377228e-14,4.833107036981375,1.2531822230598556e-09,0.0,True,True,COMPUTED
5,B,3,37.93064,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,44.31316667421344,0.16826836231114067,1.0922529003403778e-11,0.0012499323600538303,1.3652422454980894e-14,4.844823124187567,1.0063535016044256e-09,0.0,True,True,COMPUTED
5,B,4,259.37521,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,317.4695109742365,0.22397784651137845,1.0954680466861258e-11,0.0012426061434597036,1.3612353247759814e-14,4.830603799935574,1.5902770572450439e-09,0.0,True,True,COMPUTED
5,B,5,340.2258,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,340.125500895305,0.00029480158381584075,1.058354421806e-11,0.0013312838630167333,1.4089701631027329e-14,5.0,6.098993239835366e-10,0.0,True,True,COMPUTED
6,C,1,11.2603,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,53.37818795849487,3.740387730210995,9.069321575714073e-12,0.0018129395471052142,1.644213175002662e-14,5.834804803041017,1.1951517554749545e-09,0.0,True,True,COMPUTED
6,C,2,24.38332,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,67.10006742968227,1.7518839694382171,9.069562366309262e-12,0.0018128432838060476,1.644169522282383e-14,5.834649893017293,1.0770415190425022e-09,0.0,True,True,COMPUTED
6,C,3,47.8878,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,69.52541959839266,0.4518399174401969,9.070116367052674e-12,0.0018126218344189492,1.6440690967640354e-14,5.834293513865419,1.189571483102772e-09,0.0,True,True,COMPUTED
6,C,4,64.4939,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,72.15441391214625,0.11877889090512836,9.051578311454192e-12,0.0018200541059891892,1.6474362271444894e-14,5.846242419770706,1.3764842709351992e-09,0.0,True,True,COMPUTED
6,C,5,392.087,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,462.5173594292858,0.17962941752541103,9.075856104454346e-12,0.0018103298889788964,1.6430293573965277e-14,5.830603799935575,1.4268808063305189e-09,0.0,True,True,COMPUTED
6,C,6,489.99334,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,489.7827390684564,0.0004298036612978888,8.819620181716666e-12,0.0019170487627440955,1.690764195723279e-14,6.0,6.098991929944678e-10,0.0,True,True,COMPUTED
