Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
1,H,1,13.59844,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,18.135098079033085,0.33361606765431073,3.96794309917671e-11,7.101765967334933e-05,2.8179403262054656e-15,1.0,6.098994352431252e-10,0.0,True,True,COMPUTED
3,Li,1,5.39171,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,9.398766428495504,0.7431884186084757,1.4141924783456538e-11,0.0005590880139435236,7.906580640521412e-15,2.805801303524451,1.365281183551213e-09,0.0,True,True,COMPUTED
3,Li,2,75.64009,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,142.15171480969033,0.8793171030030548,1.4175901528424616e-11,0.000556411185797057,7.887630179173054e-15,2.7990763700075387,1.6574563761487577e-09,0.0,True,True,COMPUTED
3,Li,3,122.45435,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,163.29207833750738,0.3334934882877364,1.3226476997255699e-11,0.0006391589370601439,8.453820978616396e-15,3.0,6.098991542442836e-10,0.0,True,True,COMPUTED
4,Be,1,9.32269,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,23.15390179403703,1.483607391647371,1.0444731192382953e-11,0.0010249500312570381,1.0705327562104269e-14,3.7989901569419215,8.122086245119234e-10,0.0,True,True,COMPUTED
4,Be,2,18.21115,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,25.176444221866234,0.38247415577084554,1.0418633674691332e-11,0.001030091233761597,1.0732143216072916e-14,3.8085062044320948,1.1171238832226676e-09,0.0,True,True,COMPUTED
4,Be,3,153.8962,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,261.87024636946217,0.7016030699228583,1.044449416837818e-11,0.0010249965515602255,1.070557050537852e-14,3.7990763700075396,1.395567301309857e-09,0.0,True,True,COMPUTED
4,Be,4,217.71858,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,290.3020425882849,0.33338203192527205,9.919857747941774e-12,0.0011362825547735892,1.1271761304821862e-14,4.0,6.098994352431252e-10,0.0,True,True,COMPUTED
5,B,1,8.29803,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,36.16861760742717,3.358699306633884,8.264403543129383e-12,0.0016370961882915104,1.3529623538959966e-14,4.801245581086686,1.014571628905968e-09,0.0,True,True,COMPUTED
5,B,2,25.15484,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,45.85940023449612,0.8230845528930465,8.266572794815755e-12,0.001636237112152918,1.3526073197191209e-14,4.799985674432262,9.978655666696727e-10,0.0,True,True,COMPUTED
5,B,3,37.93064,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,48.73333151872992,0.2848011928807403,8.24891418960775e-12,0.001643250057403807,1.3555028715592011e-14,4.810261093727528,9.951626294926924e-10,0.0,True,True,COMPUTED
5,B,4,259.37521,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,417.87867137124385,0.6110971876273137,8.268139102713373e-12,0.0016356172366700935,1.3523510831583994e-14,4.7990763700075405,1.2384340175110052e-09,0.0,True,True,COMPUTED
5,B,5,340.2258,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,453.6019278051339,0.33323789026327205,7.93588619835342e-12,0.0017754414918337332,1.408970163102733e-14,5.0,6.09899380327923e-10,0.0,True,True,COMPUTED
6,C,1,11.2603,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,48.47689330389599,3.305115610054438,6.838636784418626e-12,0.002390882051843958,1.635037394694637e-14,5.802242792331654,1.0027408942706165e-09,0.0,True,True,COMPUTED
6,C,2,24.38332,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,62.659239933296405,1.5697583402627864,6.838755022088989e-12,0.0023907993789366155,1.6350091259510017e-14,5.802142475290259,1.0488482512186348e-09,0.0,True,True,COMPUTED
6,C,3,47.8878,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,76.34042628709446,0.5941518776618359,6.840326917833321e-12,0.002389700701749596,1.634633403574294e-14,5.800809152603423,1.337478217207084e-09,0.0,True,True,COMPUTED
6,C,4,64.4939,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,80.09069751470736,0.24183368527422536,6.8277738801382245e-12,0.0023984958316310935,1.637638719083119e-14,5.8114740892625765,1.3740996333464459e-09,0.0,True,True,COMPUTED
6,C,5,392.087,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,610.174886259175,0.5562232011241764,6.842370826276226e-12,0.0023882732433271356,1.6341451165317696e-14,5.79907637267908,1.5789346289681619e-09,0.0,True,True,COMPUTED
6,C,6,489.99334,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,653.1894670124027,0.3330578473013587,6.613238498627849e-12,0.0025566357482405756,1.6907641957232792e-14,6.0,6.098991542442836e-10,0.0,True,True,COMPUTED
7,N,1,14.53414,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,77.16625495446415,4.309310007641605,5.8358150577411185e-12,0.00328317617269665,1.9160008945839965e-14,6.799295488148299,9.65066730745499e-10,0.0,True,True,COMPUTED
7,N,2,29.6013,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,78.64493239836474,1.6568067077582658,5.832699477483039e-12,0.0032866845759172377,1.9170243408604036e-14,6.8029273829293535,1.0555458721324521e-09,0.0,True,True,COMPUTED
7,N,3,47.44924,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,96.2762903302133,1.0290375637252207,5.83277115175215e-12,0.0032866038015267203,1.9170007840784002e-14,6.802843787184672,1.029572170052547e-09,0.0,True,True,COMPUTED
7,N,4,77.4735,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,114.61277913586723,0.47938042215554,5.833942512357857e-12,0.0032852841410319013,1.9166158815541077e-14,6.801477886989014,1.2561608980852839e-09,0.0,True,True,COMPUTED
7,N,5,97.8902,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,119.2566861174744,0.21826991994575975,5.8246252390812604e-12,0.0032958030572535274,1.9196817670320075e-14,6.812357767763593,1.3006069420943176e-09,0.0,True,True,COMPUTED
7,N,6,552.0718,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,838.7631170037039,0.5193007811732167,5.8360031299563095e-12,0.0032829645675098514,1.9159391491523156e-14,6.799076372679079,1.4405005731373745e-09,0.0,True,True,COMPUTED
7,N,7,667.046,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,889.0692012921487,0.33284541289828384,5.668490141681014e-12,0.0034798653239941153,1.972558228343825e-14,7.0,6.098988022057515e-10,0.0,True,True,COMPUTED
8,O,1,13.61806,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,99.3696054353975,6.296898782601744,5.0862920730587765e-12,0.004322098271193749,2.1983454175753806e-14,7.801249008475603,1.0460905097686858e-09,0.0,True,True,COMPUTED
8,O,2,35.1173,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,114.00281227304468,2.246343320045809,5.087428076569852e-12,0.004320168270197482,2.1978545353308877e-14,7.799507018980908,1.173819540829682e-09,0.0,True,True,COMPUTED
8,O,3,54.9355,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,115.8404453610885,1.1086628020330844,5.084833723230297e-12,0.004324577815460766,2.1989759114788512e-14,7.803486436634062,9.953373511296237e-10,0.0,True,True,COMPUTED
8,O,4,77.41353,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,137.01581391090346,0.7699207607624077,5.08488726086497e-12,0.004324486750925225,2.1989527589559025e-14,7.803404275479922,1.2903468696433403e-09,0.0,True,True,COMPUTED
8,O,5,113.899,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,160.68473493876448,0.41076510714549275,5.085786766743957e-12,0.004322957171555257,2.198563837629661e-14,7.80202411379721,1.1968930758674839e-09,0.0,True,True,COMPUTED
8,O,6,138.1197,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,166.23431370972614,0.20355252516278377,5.07862362661235e-12,0.004335160393620062,2.2016648000192944e-14,7.813028471699311,1.238488568625957e-09,0.0,True,True,COMPUTED
8,O,7,739.29,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1103.6412960829157,0.49283947582534016,5.087708992152967e-12,0.004319691211039269,2.197733181772863e-14,7.79907637267908,1.3366759642433445e-09,0.0,True,True,COMPUTED
8,O,8,871.4101,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1161.2388850961602,0.3325974591023906,4.959928873970887e-12,0.004545130219094357,2.2543522609643725e-14,8.0,6.098994352431252e-10,0.0,True,True,COMPUTED
9,F,1,17.42282,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,122.26715768088603,6.017644542093991,4.50864692839266e-12,0.0055005329880186676,2.4799961160952868e-14,8.80074036001592,1.0571625618160162e-09,0.0,True,True,COMPUTED
9,F,2,34.97082,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,140.47452807616992,3.0169068976984215,4.508215124731274e-12,0.00550158673721467,2.4802336538732157e-14,8.801583308234944,1.066607548511104e-09,0.0,True,True,COMPUTED
9,F,3,62.7084,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,157.97087037549468,1.5191341251809118,4.509176717414893e-12,0.005499240534436068,2.4797047381343352e-14,8.799706349613922,1.1725862447748196e-09,0.0,True,True,COMPUTED
9,F,4,87.1398,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,160.1037745459313,0.8373208860466893,4.507004438287365e-12,0.005504542843064182,2.480899902443322e-14,8.803947618663772,1.3580889684128534e-09,0.0,True,True,COMPUTED
9,F,5,114.2428,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,184.87523540737558,0.6182659686857779,4.5070487504328844e-12,0.005504434605093876,2.4808755108727882e-14,8.803861060512391,1.3780655190518915e-09,0.0,True,True,COMPUTED
9,F,6,157.1651,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,214.561649529,0.3651990774605813,4.5077581087272295e-12,0.005502702343057694,2.4804851106830645e-14,8.802475650799867,1.1527775511444162e-09,0.0,True,True,COMPUTED
9,F,7,185.186,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,221.0255221251507,0.19353256793251483,4.502091913112313e-12,0.005516562126110559,2.4836069736144015e-14,8.81355417827011,1.1857043363002495e-09,0.0,True,True,COMPUTED
9,F,8,953.9112,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1404.8116608322584,0.47268599093108293,4.509499555540941e-12,0.005498453173915381,2.4795272143934086e-14,8.799076372679078,1.2559225065281918e-09,0.0,True,True,COMPUTED
9,F,9,1103.1176,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,1469.7008586890884,0.33231566488386033,4.4088256657519e-12,0.005752430433541297,2.53614629358492e-14,9.0,6.098994397034243e-10,0.0,True,True,COMPUTED
12,Mg,1,7.64624,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,39.88826348510145,4.2167161225780845,3.362659008467195e-12,0.009888526192454228,3.325174168152002e-14,11.800016264466322,1.1117360487401929e-09,0.0,True,True,COMPUTED
12,Mg,2,15.03528,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,44.43564906927343,1.9554254439740018,3.3620781703870426e-12,0.00989194320325392,3.325748630636848e-14,11.802054854423329,1.1647238793693137e-09,0.0,True,True,COMPUTED
12,Mg,3,80.1437,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,276.5096737764969,2.450173547970669,3.362383208600233e-12,0.009890148473967545,3.325446915943169e-14,11.800984162149003,1.223419113419407e-09,0.0,True,True,COMPUTED
12,Mg,4,109.2655,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,279.7182851523046,1.559987234326522,3.362324241192913e-12,0.009890495377767204,3.325505236607313e-14,11.801191124175848,1.1789578019502824e-09,0.0,True,True,COMPUTED
12,Mg,5,141.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,306.8806627094074,1.1722988795172886,3.3620011627087996e-12,0.009892396364491319,3.325824807939611e-14,11.802325184146268,1.171333582220074e-09,0.0,True,True,COMPUTED
12,Mg,6,186.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,332.59131360303417,0.7808487556384354,3.3626086605575804e-12,0.009888822313948262,3.325223955559748e-14,11.800192944601392,1.323402149269816e-09,0.0,True,True,COMPUTED
12,Mg,7,225.02,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,335.43604234016647,0.49069434868085704,3.361256977731553e-12,0.009896777218298913,3.326561148206189e-14,11.804938228360621,1.225111977318104e-09,0.0,True,True,COMPUTED
12,Mg,8,265.96,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,371.15341336863736,0.3955234372410791,3.361287746479423e-12,0.009896596031758402,3.32653069734064e-14,11.80483016764242,1.2399275747133734e-09,0.0,True,True,COMPUTED
12,Mg,9,328.06,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,423.0450268446036,0.2895355326605,3.3616809836777006e-12,0.009894280831657085,3.326141571894841e-14,11.803449281602427,1.5135066101435926e-09,0.0,True,True,COMPUTED
12,Mg,10,367.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,432.2840198486339,0.176283047207167,3.358504122534741e-12,0.009913007992041667,3.3292878207991775e-14,11.81461434736013,1.5076440847479625e-09,0.0,True,True,COMPUTED
12,Mg,11,1761.805,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2526.0535037741747,0.4337872260404384,3.362926870048105e-12,0.00988695098676427,3.324909313623819e-14,11.799076377536423,1.499195716519098e-09,0.0,True,True,COMPUTED
12,Mg,12,1962.665,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2612.8171155548566,0.3312598510468453,3.3066192493139246e-12,0.010226542992962303,3.3815283914465584e-14,12.0,6.098991542442836e-10,0.0,True,True,COMPUTED
13,Al,1,5.98577,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,49.062223442978016,7.196476550715784,3.099715462270765e-12,0.011637335857372295,3.607242989673491e-14,12.800991405417275,1.2996527212226758e-09,0.0,True,True,COMPUTED
13,Al,2,18.82856,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,57.63943952438707,2.0612770984285085,3.0999493895399134e-12,0.011635579578710318,3.606970781196613e-14,12.800025421594453,1.1980476069587488e-09,0.0,True,True,COMPUTED
13,Al,3,28.44765,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,63.505023296241916,1.2323469002269756,3.0993833336452935e-12,0.011639830095120391,3.607629540327905e-14,12.802363154317774,1.204488398228504e-09,0.0,True,True,COMPUTED
13,Al,4,119.992,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,342.41449419945747,1.853644361286231,3.099680588345874e-12,0.011637597717811182,3.607283574087756e-14,12.80113542697049,1.3052188504810366e-09,0.0,True,True,COMPUTED
13,Al,5,153.825,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,346.44936311156437,1.252230541924683,3.0996343230373697e-12,0.011637945127221952,3.607337416596267e-14,12.801326497405906,1.3053706866345164e-09,0.0,True,True,COMPUTED
13,Al,6,190.49,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,376.6170966134754,0.9770964177304602,3.09934808874901e-12,0.011640094826235004,3.6076705652548697e-14,12.802508739114524,1.1863932373676657e-09,0.0,True,True,COMPUTED
13,Al,7,241.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,405.0308002130628,0.6753424892995649,3.099877635268984e-12,0.011636118253000512,3.607054273382149e-14,12.800321709577421,1.388561979647586e-09,0.0,True,True,COMPUTED
13,Al,8,284.66,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,408.08137476759265,0.4335747023382021,3.0987016294333806e-12,0.01164495210748503,3.608423207013754e-14,12.805179632290947,1.103501490891662e-09,0.0,True,True,COMPUTED
13,Al,9,330.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,447.477102277786,0.3554572510156181,3.098729510711361e-12,0.011644742554063215,3.608390739691207e-14,12.805064415789577,1.1391480512248278e-09,0.0,True,True,COMPUTED
13,Al,10,398.75,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,508.1628759208636,0.27438965748178956,3.099062777770278e-12,0.011642238183733309,3.608002700514374e-14,12.803687384582691,1.4622162950629938e-09,0.0,True,True,COMPUTED
13,Al,11,442.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,518.3338886876642,0.17270110562819949,3.0963607750422468e-12,0.01166256597307452,3.611151181537036e-14,12.81486037143902,1.4485277406817445e-09,0.0,True,True,COMPUTED
13,Al,12,2085.98,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,2972.3837342533348,0.4249339563434619,3.100179248981451e-12,0.01163385422771709,3.606703346244365e-14,12.799076377536423,1.4307879657798786e-09,0.0,True,True,COMPUTED
13,Al,13,2304.141,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,3066.438925835589,0.3308382281447138,3.052263922443623e-12,0.012001984484796035,3.6633224240671053e-14,13.0,6.098992676743382e-10,0.0,True,True,COMPUTED
14,Si,1,8.15169,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,61.47364670011217,6.541214975068012,2.875138686359949e-12,0.013526319175573067,3.8890043545742536e-14,13.800875477767992,1.1341237083093388e-09,0.0,True,True,COMPUTED
14,Si,2,16.34585,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,68.0257541829386,3.1616529077985303,2.8750887378810763e-12,0.013526789161022477,3.889071917654754e-14,13.8011152382763,1.3176995428415775e-09,0.0,True,True,COMPUTED
14,Si,3,33.49302,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,78.67235663615865,1.3489179726450062,2.87531279377908e-12,0.013524681119897509,3.8887688655823684e-14,13.800039800057942,1.246553672555116e-09,0.0,True,True,COMPUTED
14,Si,4,45.14181,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,85.94547463110764,0.9038996139301381,2.8747709037459504e-12,0.013529780364942037,3.8895018927208634e-14,13.802641087003868,1.1747459875545983e-09,0.0,True,True,COMPUTED
14,Si,5,166.767,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,415.52094992959456,1.4916257408815567,2.875055525533317e-12,0.013527101683000971,3.8891168438162973e-14,13.801274667349823,1.3222061054130818e-09,0.0,True,True,COMPUTED
14,Si,6,205.27,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,420.284142811491,1.047469882649637,2.875018964162005e-12,0.013527445731188671,3.889166301383979e-14,13.80145017698436,1.1397407524605425e-09,0.0,True,True,COMPUTED
14,Si,7,246.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,453.47409970124517,0.8396515200861873,2.8747649701387337e-12,0.013529836216801996,3.889509920777675e-14,13.802669576098321,1.3713566110941251e-09,0.0,True,True,COMPUTED
14,Si,8,303.54,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,484.5843495043225,0.5964431360094963,2.875230042426942e-12,0.0135254596327392,3.888880787368462e-14,13.800436975913843,1.1438064110725509e-09,0.0,True,True,COMPUTED
14,Si,9,351.12,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,487.8313705843532,0.38935797044985526,2.8741984118198264e-12,0.013535170710573585,3.890276616004083e-14,13.805390340691089,1.4364342836454067e-09,0.0,True,True,COMPUTED
14,Si,10,401.37,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,530.9144115709768,0.3227555910281704,2.8742238026715692e-12,0.013534931572623001,3.890242249356397e-14,13.805268384071333,1.4791649525179703e-09,0.0,True,True,COMPUTED
14,Si,11,476.36,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,601.0928080667435,0.2618456798781247,2.874509664351959e-12,0.013532239686806809,3.88985537600533e-14,13.803895490020064,1.4160864067787111e-09,0.0,True,True,COMPUTED
14,Si,12,523.42,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,612.1981550902885,0.16961169823523858,2.8721842476221498e-12,0.013554160867802714,3.893004733423952e-14,13.81507158693502,1.3965293896193459e-09,0.0,True,True,COMPUTED
14,Si,13,2437.63,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,3454.999302293592,0.4173600186630423,2.875513542077455e-12,0.013522792788016614,3.8884973788649113e-14,13.799076377536423,1.372152887745592e-09,0.0,True,True,COMPUTED
14,Si,14,2673.182,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,3556.3459279297986,0.33037927381293114,2.834245070840507e-12,0.013919461295976461,3.94511645668765e-14,14.0,6.098988022057515e-10,0.0,True,True,COMPUTED
15,P,1,10.48669,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,76.59221987855,6.30375551089524,2.6808657514114093e-12,0.01555776096970273,4.1708268552321205e-14,14.800976502041127,1.2765158591894447e-09,0.0,True,True,COMPUTED
15,P,2,19.7694,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,82.50415127038873,3.173326012442903,2.6808682514706906e-12,0.01555773195275529,4.1708229657032766e-14,14.8009626993044,1.115703484322123e-09,0.0,True,True,COMPUTED
15,P,3,30.2027,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,90.07373071687454,1.9823072346801622,2.6808201708992214e-12,0.01555829001432099,4.170897769509164e-14,14.801228154911083,1.3372735545399262e-09,0.0,True,True,COMPUTED
15,P,4,51.4439,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,102.99273322877929,1.0020397603754632,2.6810323118164552e-12,0.015555827963178179,4.170567740633865e-14,14.800056984349979,1.3089647027716542e-09,0.0,True,True,COMPUTED
15,P,5,65.0251,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,111.74741010350745,0.7185273087393553,2.6805188456199463e-12,0.015561788120363712,4.171366632817953e-14,14.802892006002704,1.416777927232985e-09,0.0,True,True,COMPUTED
15,P,6,220.421,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,495.79505242513295,1.2493095141802866,2.6807886425193368e-12,0.01555865597421403,4.1709468228538597e-14,14.801402230083077,1.3482638259034721e-09,0.0,True,True,COMPUTED
15,P,7,263.57,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,501.22389851686256,0.901672794767472,2.6807595653775305e-12,0.015558993493255596,4.1709920634691693e-14,14.801562775055903,1.1385470510298761e-09,0.0,True,True,COMPUTED
