Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
1,H,1,13.59844,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,13.59828726423423,1.1231859372841143e-05,5.29177210903e-11,5.325135452066933e-05,2.8179403262054656e-15,1.0,6.098992584414043e-10,-2.637534635141492e-11,True,True,COMPUTED
3,Li,1,5.39171,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,9.44257950319448,0.7513144258861253,1.863610250686808e-11,0.0004293611483759105,8.001618373600063e-15,2.839527260101617,1.2298304240037757e-09,0.44023653098391335,True,True,COMPUTED
3,Li,2,75.64009,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,95.56760813971866,0.2634518036628282,1.8694852714326046e-11,0.00042666677886632774,7.976472589001918e-15,2.830603797683233,1.493081960065055e-09,-13.437055706664125,True,True,COMPUTED
3,Li,3,122.45435,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,122.4417193406023,0.00010314586127565564,1.7639240363433332e-11,0.0004792621906860239,8.453820978616394e-15,3.0,6.098991929944678e-10,-2.374491714363103e-10,True,True,COMPUTED
4,Be,1,9.32269,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,19.112219421895816,1.0500756135724578,1.3810789550616635e-11,0.0007818004390732881,1.0797281334620864e-14,3.8316217111524438,9.42843562590499e-10,-2.7825258086845643,True,True,COMPUTED
4,Be,2,18.21115,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,24.048949484393574,0.32056182527701843,1.3770781076760352e-11,0.000786349793162463,1.0828650851396063e-14,3.8427537839232837,1.0782621970651994e-09,0.7818062397544381,True,True,COMPUTED
4,Be,3,153.8962,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,181.58489864686078,0.17991801387468168,1.3814459517401639e-11,0.0007813851060629628,1.0794412915207386e-14,3.830603797683233,1.2722861527865055e-09,-18.046514671229318,True,True,COMPUTED
4,Be,4,217.71858,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,217.6779277016148,0.0001867194723812599,1.3229430272575e-11,0.0008520216723307092,1.1271761304821862e-14,4.0,6.098992584414043e-10,-4.2223291529808193e-10,True,True,COMPUTED
5,B,1,8.29803,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,29.9225549621882,2.6059829817665396,1.0947886948466527e-11,0.0012441487766448722,1.3620800153780992e-14,4.833601346030724,1.1888853070331184e-09,-10.240358419243123,True,True,COMPUTED
5,B,2,25.15484,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,38.600064691055195,0.5344985176234551,1.094900665046122e-11,0.0012438943234913023,1.3619407220377228e-14,4.833107036981375,1.2531822230598556e-09,-3.7282047552928788,True,True,COMPUTED
