kind,formula,families,pred,obs,rel,origin
energy,H I 2→1,H I,10.198836726512972,1.8483696261225844,4.517747415005716,MEASURED
path_Δr/a0,H I 2→1,H I,3.001633851064454,1.3163461168401311,1.2802770583392082,MEASURED
lambda_nm,H I 2→1,H I,121.56700000000001,670.776,0.8187666225386716,MEASURED
path_ratio,H I 2→1,H I,4.0,1.5216460828175944,1.6287321639163945,MEASURED
r_lower/a0,H I 2→1 r_lo,H I,1.0005446170214847,2.5234467586339027,0.6035008015928416,MEASURED
r_upper/a0,H I 2→1 r_hi,H I,4.002178468085939,3.839792875474034,0.0422901958199654,MEASURED
energy,He II 2→1,He II,40.813140356897236,1.8483696261225844,21.080616225290914,MEASURED
path_Δr/a0,He II 2→1,He II,0.7501020453608807,1.3163461168401311,0.43016351416640386,MEASURED
lambda_nm,He II 2→1,He II,30.378499999999995,670.776,0.9547114088756902,MEASURED
path_ratio,He II 2→1,He II,4.0,1.5216460828175944,1.6287321639163945,MEASURED
r_lower/a0,He II 2→1 r_lo,He II,0.25003401512029355,2.5234467586339027,0.9009156764394537,MEASURED
r_upper/a0,He II 2→1 r_hi,He II,1.0001360604811742,3.839792875474034,0.7395338517164928,MEASURED
energy,H I 3→1,H I,12.08750503871422,1.8483696261225844,5.539549702550984,MEASURED
path_Δr/a0,H I 3→1,H I,8.004356936171877,1.3163461168401311,5.080738822237889,MEASURED
lambda_nm,H I 3→1,H I,102.5722,670.776,0.8470842725440386,MEASURED
path_ratio,H I 3→1,H I,9.0,1.5216460828175944,4.914647368811887,MEASURED
r_lower/a0,H I 3→1 r_lo,H I,1.0005446170214847,2.5234467586339027,0.6035008015928416,MEASURED
r_upper/a0,H I 3→1 r_hi,H I,9.004901553193362,3.839792875474034,1.345152940594922,MEASURED
energy,He II 3→1,He II,48.369216631756395,1.8483696261225844,25.168584436881748,COMPUTED Rydberg+μ
path_Δr/a0,He II 3→1,He II,2.0002721209623484,1.3163461168401311,0.519563962222923,COMPUTED Rydberg+μ
lambda_nm,He II 3→1,He II,25.63287294419391,670.776,0.9617862401991218,COMPUTED Rydberg+μ
path_ratio,He II 3→1,He II,9.0,1.5216460828175944,4.914647368811887,COMPUTED Rydberg+μ
r_lower/a0,He II 3→1 r_lo,He II,0.25003401512029355,2.5234467586339027,0.9009156764394537,COMPUTED Rydberg+μ
r_upper/a0,He II 3→1 r_hi,He II,2.250306136082642,3.839792875474034,0.4139511663621087,COMPUTED Rydberg+μ
energy,H I 3→2,H I,1.888674618693502,1.8483696261225844,0.021805699466868722,MEASURED
path_Δr/a0,H I 3→2,H I,5.002723085107423,1.3163461168401311,2.80046176389868,MEASURED
lambda_nm,H I 3→2,H I,656.4614,670.776,0.021340358033083963,MEASURED
path_ratio,H I 3→2,H I,2.25,1.5216460828175944,0.47866184220297187,MEASURED
r_lower/a0,H I 3→2 r_lo,H I,4.002178468085939,2.5234467586339027,0.5859967936286339,MEASURED
r_upper/a0,H I 3→2 r_hi,H I,9.004901553193362,3.839792875474034,1.345152940594922,MEASURED
energy,He II 3→2,He II,7.557690098711936,1.8483696261225844,3.088841318262773,COMPUTED Rydberg+μ
