Z,symbol,charge,lower_n,upper_n,transition,wavelength_nm,energy_eV,set,origin,source,pred_eV,pred_hz,pred_omega,pred_nm,rel,tag
1,H,0,,,1s→2p,121.567,10.198836726512972,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
2,He,0,,,1s²→1s2p ¹P,58.433,21.218181238889027,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
3,Li,0,,,2s→2p,670.776,1.8483696261225844,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
4,Be,0,,,2s²→2s2p ¹P,234.861,5.279045837035534,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
5,B,0,,,2s²2p→2s²3s,249.773,4.963875135951454,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,47.23965290203432,1.1422497251694456e+16,7.176966690314581e+16,26.245789462153528,8.516688395301392,COMPUTED
6,C,0,,,2p²→2p3s,193.091,6.421024202743797,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,68.02538042604237,1.6448463805890442e+16,1.0334874611084605e+17,18.226167594607823,9.594163528767599,COMPUTED
7,N,0,,,2p³→2p²3s,119.955,10.335892495785941,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,92.59070100992267,2.238833189590942e+16,1.4067003802063816e+17,13.390566987921739,7.958171831573609,COMPUTED
8,O,0,,,2p⁴→2p³3s,130.217,9.521352698434171,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,120.93538079462041,2.9242044974883516e+16,1.8373318733807277e+17,10.252103033748043,11.701491544842025,COMPUTED
9,F,0,,,2p⁵→2p⁴3s,95.483,12.98495003646725,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,153.059663503283,3.700966197480758e+16,2.3253856434379405e+17,8.100383575620556,10.787466495706685,COMPUTED
10,Ne,0,,,2p⁶→2p⁵3s,73.59,16.847968261068115,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,188.962817966466,4.569100609969654e+16,2.8708505819586618e+17,6.561301306122719,10.215762935826321,COMPUTED
11,Na,0,,,3s→3p,588.995,2.105012749398556,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
12,Mg,0,,,3s²→3s3p ¹P,285.213,4.347073886295514,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
