Z,symbol,charge,lower_n,upper_n,transition,wavelength_nm,energy_eV,set,origin,source,pred_eV,pred_hz,pred_omega,pred_nm,rel,tag
1,H,0,,,1s→2p,121.567,10.198836726512972,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
2,He,0,,,1s²→1s2p ¹P,58.433,21.218181238889027,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
3,Li,0,,,2s→2p,670.776,1.8483696261225844,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
4,Be,0,,,2s²→2s2p ¹P,234.861,5.279045837035534,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
5,B,0,,,2s²2p→2s²3s,249.773,4.963875135951454,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,21.79235918855784,5269369007758327.0,3.3108421927654596e+16,56.893426434664605,3.390190847212109,COMPUTED
6,C,0,,,2p²→2p3s,193.091,6.421024202743797,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,25.2440460884834,6103983186864872.0,3.835245747498059e+16,49.11423390633214,2.9314672070066723,COMPUTED
7,N,0,,,2p³→2p²3s,119.955,10.335892495785941,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,35.7015257092944,8632590509109199.0,5.424016584973286e+16,34.727983179980086,2.4541309058555236,COMPUTED
8,O,0,,,2p⁴→2p³3s,130.217,9.521352698434171,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,42.24413180123793,1.0214585623661068e+16,6.418013430951506e+16,29.349448822041367,3.436778380049419,COMPUTED
9,F,0,,,2p⁵→2p⁴3s,95.483,12.98495003646725,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,48.06044052940615,1.1620962816996606e+16,7.301666282703338e+16,25.797557631070728,2.7012418526395585,COMPUTED
10,Ne,0,,,2p⁶→2p⁵3s,73.59,16.847968261068115,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,59.13597204739972,1.4299014423084694e+16,8.984335733027474e+16,20.965952556562737,2.509976463099691,COMPUTED
11,Na,0,,,3s→3p,588.995,2.105012749398556,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
12,Mg,0,,,3s²→3s3p ¹P,285.213,4.347073886295514,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.0,nan,nan,nan,1.0,COMPUTED
