Z,symbol,charge,lower_n,upper_n,transition,wavelength_nm,energy_eV,set,origin,source,pred_eV,pred_hz,pred_omega,pred_nm,rel,tag
1,H,0,,,1s→2p,121.567,10.198836726512972,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,3.2554842298651714,787172584559108.9,4945951217516373.0,380.84717872626646,0.6807984756337759,COMPUTED
2,He,0,,,1s²→1s2p ¹P,58.433,21.218181238889027,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,10.222169871505002,2471709678006366.5,1.5530209932463188e+16,121.28951092743497,0.5182353399465905,COMPUTED
3,Li,0,,,2s→2p,670.776,1.8483696261225844,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,0.8485247386881838,205172368979094.47,1289136014208675.0,1461.1736438572127,0.5409334114258436,COMPUTED
4,Be,0,,,2s²→2s2p ¹P,234.861,5.279045837035534,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,2.0663776774416647,499647899413836.44,3139380340360161.0,600.007441944022,0.608569855002046,COMPUTED
5,B,0,,,2s²2p→2s²3s,249.773,4.963875135951454,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,17.22357144668956,4164641046837633.0,2.6167211435167228e+16,71.98518542856019,2.469783379913367,COMPUTED
6,C,0,,,2p²→2p3s,193.091,6.421024202743797,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,18.334691666605977,4433308720679725.0,2.7855300215965976e+16,67.62273437028657,1.855415442721941,COMPUTED
7,N,0,,,2p³→2p²3s,119.955,10.335892495785941,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,24.44901410778266,5911745309220086.0,3.714459126667949e+16,50.71132843501177,1.365447794445501,COMPUTED
8,O,0,,,2p⁴→2p³3s,130.217,9.521352698434171,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,26.43955098672268,6393054985145111.0,4.016874915065497e+16,46.893458400811056,1.7768691932891827,COMPUTED
9,F,0,,,2p⁵→2p⁴3s,95.483,12.98495003646725,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,27.870587652137147,6739078111345238.0,4.234287657313995e+16,44.4856778696925,1.1463761950461657,COMPUTED
10,Ne,0,,,2p⁶→2p⁵3s,73.59,16.847968261068115,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,32.38924873459655,7831685499946700.0,4.920793126371652e+16,38.27943014336317,0.9224424116135628,COMPUTED
11,Na,0,,,3s→3p,588.995,2.105012749398556,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,1.721994185281801,416376341494417.75,2616169711134915.5,720.0035835946247,0.18195546047224226,COMPUTED
12,Mg,0,,,3s²→3s3p ¹P,285.213,4.347073886295514,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column,2.3886561427516426,577574485621352.9,3629007521857891.5,519.0541920796313,0.45051402271259633,COMPUTED
