Z,symbol,radius_angstrom,origin,source
1,H,0.31,MEASURED,Cordero et al. 2008
2,He,0.28,MEASURED,Cordero et al. 2008
3,Li,1.28,MEASURED,Cordero et al. 2008
4,Be,0.96,MEASURED,Cordero et al. 2008
5,B,0.84,MEASURED,Cordero et al. 2008
6,C,0.7445337366,MEASURED,Cordero et al. 2008
7,N,0.71,MEASURED,Cordero et al. 2008
8,O,0.66,MEASURED,Cordero et al. 2008
9,F,0.57,MEASURED,Cordero et al. 2008
10,Ne,0.58,MEASURED,Cordero et al. 2008
11,Na,1.66,MEASURED,Cordero et al. 2008
12,Mg,1.41,MEASURED,Cordero et al. 2008
13,Al,1.21,MEASURED,Cordero et al. 2008
14,Si,1.11,MEASURED,Cordero et al. 2008
15,P,1.07,MEASURED,Cordero et al. 2008
16,S,1.05,MEASURED,Cordero et al. 2008
17,Cl,1.02,MEASURED,Cordero et al. 2008
18,Ar,1.06,MEASURED,Cordero et al. 2008
19,K,2.03,MEASURED,Cordero et al. 2008
20,Ca,1.76,MEASURED,Cordero et al. 2008
21,Sc,1.7,MEASURED,Cordero et al. 2008
22,Ti,1.6,MEASURED,Cordero et al. 2008
23,V,1.53,MEASURED,Cordero et al. 2008
24,Cr,1.39,MEASURED,Cordero et al. 2008
25,Mn,1.553504,MEASURED,Cordero et al. 2008
26,Fe,1.4841791045,MEASURED,Cordero et al. 2008
27,Co,1.2975449102,MEASURED,Cordero et al. 2008
28,Ni,1.24,MEASURED,Cordero et al. 2008
29,Cu,1.32,MEASURED,Cordero et al. 2008
30,Zn,1.22,MEASURED,Cordero et al. 2008
