Z,A,symbol,configuration,first_excitation_eV,split,origin,source
1,1,H,1s1,10.2,CALIBRATION,MEASURED,APS01/NIST+CRC
2,4,He,1s2,19.82,HOLDOUT,MEASURED,APS01/NIST+CRC
3,7,Li,[He]2s1,1.85,CALIBRATION,MEASURED,APS01/NIST+CRC
4,9,Be,[He]2s2,2.73,CALIBRATION,MEASURED,APS01/NIST+CRC
5,11,B,[He]2s2 2p1,3.58,CALIBRATION,MEASURED,APS01/NIST+CRC
6,12,C,[He]2s2 2p2,1.26,CALIBRATION,MEASURED,APS01/NIST+CRC
7,14,N,[He]2s2 2p3,2.38,CALIBRATION,MEASURED,APS01/NIST+CRC
8,16,O,[He]2s2 2p4,1.97,CALIBRATION,MEASURED,APS01/NIST+CRC
9,19,F,[He]2s2 2p5,12.7,CALIBRATION,MEASURED,APS01/NIST+CRC
10,20,Ne,[He]2s2 2p6,16.62,HOLDOUT,MEASURED,APS01/NIST+CRC
11,23,Na,[Ne]3s1,2.1,HOLDOUT,MEASURED,APS01/NIST+CRC
12,24,Mg,[Ne]3s2,2.71,CALIBRATION,MEASURED,APS01/NIST+CRC
13,27,Al,[Ne]3s2 3p1,3.14,CALIBRATION,MEASURED,APS01/NIST+CRC
14,28,Si,[Ne]3s2 3p2,0.78,CALIBRATION,MEASURED,APS01/NIST+CRC
15,31,P,[Ne]3s2 3p3,1.41,CALIBRATION,MEASURED,APS01/NIST+CRC
16,32,S,[Ne]3s2 3p4,1.15,CALIBRATION,MEASURED,APS01/NIST+CRC
17,35,Cl,[Ne]3s2 3p5,,CALIBRATION,NO_DATA,APS01/NIST+CRC
18,40,Ar,[Ne]3s2 3p6,11.55,HOLDOUT,MEASURED,APS01/NIST+CRC
19,39,K,[Ar]4s1,1.61,HOLDOUT,MEASURED,APS01/NIST+CRC
20,40,Ca,[Ar]4s2,1.88,CALIBRATION,MEASURED,APS01/NIST+CRC
21,45,Sc,[Ar]3d1 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
22,48,Ti,[Ar]3d2 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
23,51,V,[Ar]3d3 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
24,52,Cr,[Ar]3d5 4s1,,HOLDOUT,NO_DATA,APS01/NIST+CRC
25,55,Mn,[Ar]3d5 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
26,56,Fe,[Ar]3d6 4s2,,HOLDOUT,NO_DATA,APS01/NIST+CRC
27,59,Co,[Ar]3d7 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
28,58,Ni,[Ar]3d8 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
29,63,Cu,[Ar]3d10 4s1,,HOLDOUT,NO_DATA,APS01/NIST+CRC
30,64,Zn,[Ar]3d10 4s2,,CALIBRATION,NO_DATA,APS01/NIST+CRC
