Z,symbol,step,energy_eV,status,split,source
1,H,1,13.59844,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
2,He,1,24.58738,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
2,He,2,54.41776,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
3,Li,1,5.39171,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
3,Li,2,75.64009,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
3,Li,3,122.45435,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
4,Be,1,9.32269,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
4,Be,2,18.21115,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
4,Be,3,153.8962,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
4,Be,4,217.71858,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
5,B,1,8.29803,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
5,B,2,25.15484,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
5,B,3,37.93064,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
5,B,4,259.37521,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
5,B,5,340.2258,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,1,11.2603,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,2,24.38332,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,3,47.8878,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,4,64.4939,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,5,392.087,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
6,C,6,489.99334,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,1,14.53414,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,2,29.6013,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,3,47.44924,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,4,77.4735,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,5,97.8902,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,6,552.0718,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
7,N,7,667.046,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,1,13.61806,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,2,35.1173,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,3,54.9355,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,4,77.41353,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,5,113.899,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,6,138.1197,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,7,739.29,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
8,O,8,871.4101,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,1,17.42282,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,2,34.97082,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,3,62.7084,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,4,87.1398,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,5,114.2428,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,6,157.1651,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,7,185.186,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,8,953.9112,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
9,F,9,1103.1176,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
10,Ne,1,21.5646,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
10,Ne,2,40.96328,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
10,Ne,3,63.45,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
10,Ne,4,97.12,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
10,Ne,5,126.21,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
10,Ne,6,157.93,MEASURED,HOLDOUT,Datasets/nuclear/ionisation_energies.json
