obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"91.2323660"	"1.2258e+02"	AAA	"0.00000000000000"	"[13.58993566]"	"1s"	"2S"	"1/2"	"40"	""	""	2	3200		
""	"91.2353295"	"1.3913e+02"	AAA	"0.00000000000000"	"[13.58949423]"	"1s"	"2S"	"1/2"	"39"	""	""	2	3042		
""	"91.2385303"	"1.5843e+02"	AAA	"0.00000000000000"	"[13.58901750]"	"1s"	"2S"	"1/2"	"38"	""	""	2	2888		
""	"91.2419943"	"1.8103e+02"	AAA	"0.00000000000000"	"[13.58850159]"	"1s"	"2S"	"1/2"	"37"	""	""	2	2738		
""	"91.2457513"	"2.0762e+02"	AAA	"0.00000000000000"	"[13.58794208]"	"1s"	"2S"	"1/2"	"36"	""	""	2	2592		
""	"91.2498352"	"2.3903e+02"	AAA	"0.00000000000000"	"[13.58733395]"	"1s"	"2S"	"1/2"	"35"	""	""	2	2450		
""	"91.2542852"	"2.7631e+02"	AAA	"0.00000000000000"	"[13.58667137]"	"1s"	"2S"	"1/2"	"34"	""	""	2	2312		
""	"91.2591463"	"3.2081e+02"	AAA	"0.00000000000000"	"[13.58594765]"	"1s"	"2S"	"1/2"	"33"	""	""	2	2178		
""	"91.2644709"	"3.7418e+02"	AAA	"0.00000000000000"	"[13.58515502]"	"1s"	"2S"	"1/2"	"32"	""	""	2	2048		
""	"91.2703197"	"4.3857e+02"	AAA	"0.00000000000000"	"[13.58428445]"	"1s"	"2S"	"1/2"	"31"	""	""	2	1922		
""	"91.2767639"	"5.1673e+02"	AAA	"0.00000000000000"	"[13.58332538]"	"1s"	"2S"	"1/2"	"30"	""	""	2	1800		
""	"91.2838873"	"6.1221e+02"	AAA	"0.00000000000000"	"[13.58226541]"	"1s"	"2S"	"1/2"	"29"	""	""	2	1682		
""	"91.2917887"	"7.2967e+02"	AAA	"0.00000000000000"	"[13.58108984]"	"1s"	"2S"	"1/2"	"28"	""	""	2	1568		
