obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"50.708"	"50.7058027"	"1.5929e+07"	AAA	"[0.00000000]"	"[24.451678459372]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"	1	3		
"50.771"	"50.7718102"	"2.1826e+07"	AAA	"[0.00000000]"	"[24.419889314325]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"	1	3		
"50.863"	"50.8643383"	"3.1031e+07"	AAA	"[0.00000000]"	"[24.375466697350]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"	1	3		
"50.997"	"50.9998300"	"4.6224e+07"	AAA	"[0.00000000]"	"[24.31070817873]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"	1	3		
""	"51.0132995"	"1.07e-02"	C	"[0.00000000]"	"[24.30428920147]"	"1s2"	"1S"	"0"	"1s.7p"	"3P*"	"2"	1	5	M2	
"51.207"	"51.2098570"	"7.3174e+07"	AAA	"[0.00000000]"	"[24.21100267716]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"	1	3		
""	"51.2135649"	"2.6480e+02"	AAA	"[0.00000000]"	"[24.209249793955]"	"1s2"	"1S"	"0"	"1s.6d"	"1D"	"2"	1	5	E2	
""	"51.2314135"	"1.53e-02"	C	"[0.00000000]"	"[24.20081545451]"	"1s2"	"1S"	"0"	"1s.6p"	"3P*"	"2"	1	5	M2	
"51.5596"	"51.5616849"	"1.2582e+08"	AAA	"[0.00000000]"	"[24.04580040653]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"	1	3		
""	"51.5681122"	"4.3136e+02"	AAA	"[0.00000000]"	"[24.042803412125]"	"1s2"	"1S"	"0"	"1s.5d"	"1D"	"2"	1	5	E2	
""	"51.5993995"	"2.64e-02"	C	"[0.00000000]"	"[24.0282250640]"	"1s2"	"1S"	"0"	"1s.5p"	"3P*"	"2"	1	5	M2	
"52.2186"	"52.2213093"	"2.4356e+08"	AAA	"[0.00000000]"	"[23.74207006880]"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		
""	"52.2339267"	"7.4848e+02"	AAA	"[0.00000000]"	"[23.73633503536]"	"1s2"	"1S"	"0"	"1s.4d"	"1D"	"2"	1	5	E2	
""	"52.2965949"	"5.2e-02"	C	"[0.00000000]"	"[23.7078912279]"	"1s2"	"1S"	"0"	"1s.4p"	"3P*"	"2"	1	5	M2	
"53.70293"	"53.7029926"	"5.6634e+08"	AAA	"[0.00000000]"	"[23.08701852960]"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"	1	3		
""	"53.7331180"	"1.299e+03"	AA	"[0.00000000]"	"[23.07407479777]"	"1s2"	"1S"	"0"	"1s.3d"	"1D"	"2"	1	5	E2	
""	"53.8896007"	"1.21e-01"	C	"[0.00000000]"	"[23.00707314571]"	"1s2"	"1S"	"0"	"1s.3p"	"3P*"	"2"	1	5	M2	
"58.43339"	"58.4334366"	"1.7989e+09"	AAA	"[0.00000000]"	"[21.2180227112]"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"	1	3		
