obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"233.466"	"233.4653"	"1.09e+05"	B'	"0.000000"	"5.310605"	"1s2.2s"	"2S"	"1/2"	"1s2.13p"	"2P*"	"3/2"	2	4		
"233.466"	"233.4653"	"1.09e+05"	B'	"0.000000"	"5.310605"	"1s2.2s"	"2S"	"1/2"	"1s2.13p"	"2P*"	"1/2"	2	2		
"234.087"	"234.0871"	"1.34e+05"	B'	"0.000000"	"5.296498"	"1s2.2s"	"2S"	"1/2"	"1s2.12p"	"2P*"	"3/2"	2	4		
"234.087"	"234.0871"	"1.34e+05"	B'	"0.000000"	"5.296498"	"1s2.2s"	"2S"	"1/2"	"1s2.12p"	"2P*"	"1/2"	2	2		
"234.894"	"234.912"	"1.65e+05"	B'	"0.000000"	"5.27790"	"1s2.2s"	"2S"	"1/2"	"1s2.11p"	"2P*"	"3/2"	2	4		
"234.894"	"234.912"	"1.65e+05"	B'	"0.000000"	"5.27790"	"1s2.2s"	"2S"	"1/2"	"1s2.11p"	"2P*"	"1/2"	2	2		
"235.965"	"235.9650"	"2.09e+05"	B'	"0.000000"	"5.254346"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"3/2"	2	4		
"235.965"	"235.9650"	"2.09e+05"	B'	"0.000000"	"5.254346"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"1/2"	2	2		
"237.426"	"237.4267"	"1.918e+05"	AA	"0.000000"	"5.222000"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"3/2"	2	4		
"237.426"	"237.4267"	"1.917e+05"	AA	"0.000000"	"5.222000"	"1s2.2s"	"2S"	"1/2"	"1s2.9p"	"2P*"	"1/2"	2	2		
"239.512"	"239.5116"	"2.664e+05"	AA	"0.000000"	"5.176542"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"	2	4		
"239.512"	"239.5116"	"2.664e+05"	AA	"0.000000"	"5.176542"	"1s2.2s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"	2	2		
"242.617"	"242.6163"	"3.824e+05"	AA	"0.000000"	"5.110300"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"3/2"	2	4		
"242.617"	"242.6163"	"3.822e+05"	AA	"0.000000"	"5.110300"	"1s2.2s"	"2S"	"1/2"	"1s2.7p"	"2P*"	"1/2"	2	2		
"247.581"	"247.5809"	"5.734e+05"	AA	"0.000000"	"5.007826"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"	2	4		
"247.581"	"247.5809"	"5.734e+05"	AA	"0.000000"	"5.007826"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"	2	2		
"256.308"	"256.3080"	"8.799e+05"	AA	"0.000000"	"4.837313"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"	2	4		
"256.308"	"256.3080"	"9.001e+05"	AA	"0.000000"	"4.837313"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"	2	2		
"274.201"	"274.2014"	"1.247e+06"	AA	"0.000000"	"4.521648"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"3/2"	2	4		
"274.201"	"274.2014"	"1.248e+06"	AA	"0.000000"	"4.521648"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"1/2"	2	2		
"323.359"	"323.3590"	"1.002e+06"	AA	"0.000000"	"3.834258"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"	2	4		
"323.359"	"323.3590"	"1.002e+06"	AA	"0.000000"	"3.834258"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"	2	2		
""	"367.274"	"1.399e+06"	AA	"1.847818"	"5.22362"	"1s2.2p"	"2P*"	"1/2"	"1s2.9d"	"2D"	"3/2"	2	4		
""	"367.278"	"2.797e+05"	AA	"1.847860"	"5.22362"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"3/2"	4	4		
""	"367.278"	"1.678e+06"	AA	"1.847860"	"5.22362"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"5/2"	4	6		
"371.98"	"372.195"	"2.011e+06"	AA	"1.847818"	"5.17898"	"1s2.2p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"	2	4		
"371.98"	"372.200"	"2.413e+06"	AA	"1.847860"	"5.17898"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"	4	6		
"371.98"	"372.200"	"4.023e+05"	AA	"1.847860"	"5.17898"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"	4	4		
""	"374.764"	"3.37e+05"	A	"1.847818"	"5.15614"	"1s2.2p"	"2P*"	"1/2"	"1s2.8s"	"2S"	"1/2"	2	2		
""	"374.769"	"6.76e+05"	A	"1.847860"	"5.15614"	"1s2.2p"	"2P*"	"3/2"	"1s2.8s"	"2S"	"1/2"	4	2		
"379.580"	"379.610"	"3.041e+06"	AA	"1.847818"	"5.11391"	"1s2.2p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"	2	4		
"379.580"	"379.615"	"3.649e+06"	AA	"1.847860"	"5.11391"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"	4	6		
"379.580"	"379.615"	"6.082e+05"	AA	"1.847860"	"5.11391"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"	4	4		
""	"383.667"	"5.18e+05"	A	"1.847818"	"5.07937"	"1s2.2p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"	2	2		
""	"383.672"	"1.04e+06"	A	"1.847860"	"5.07937"	"1s2.2p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"	4	2		
"391.641"	"391.6401"	"4.964e+06"	AA	"1.847818"	"5.013587"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"	2	4		
"391.646"	"391.6451"	"5.959e+06"	AA	"1.847860"	"5.013589"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"	4	6		
"391.646"	"391.6453"	"9.924e+05"	AA	"1.847860"	"5.013587"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"	4	4		
"398.661"	"398.6608"	"8.62e+05"	A	"1.847818"	"4.957835"	"1s2.2p"	"2P*"	"1/2"	"1s2.6s"	"2S"	"1/2"	2	2		
