obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"135.65"	"135.6495"	"3.71e+05"	C	"0.00000000"	"[9.14004]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.9p"	"1P*"	"1"	1	3		
""	"136.40860"	"5.6e+04"	D	"0.00000000"	"9.089177"	"1s2.2s2"	"1S"	"0"	"1s2.2s.8p"	"3P*"	"1"	1	3		
"136.43"	"136.4076"	"4.28e+05"	C	"0.00000000"	"[9.08924]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.8p"	"1P*"	"1"	1	3		
"137.56"	"137.5482"	"6.30e+05"	C	"0.00000000"	"[9.01387]"	"1s2.2s2"	"1S"	"0"	"1s2.2s.7p"	"1P*"	"1"	1	3		
"139.39"	"139.38026"	"7.76e+05"	C	"0.00000000"	"8.895391"	"1s2.2s2"	"1S"	"0"	"1s2.2s.6p"	"1P*"	"1"	1	3		
"142.6117"	"142.61146"	"7.57e+05"	C	"0.00000000"	"8.693845"	"1s2.2s2"	"1S"	"0"	"1s2.2s.5p"	"1P*"	"1"	1	3		
"149.1762"	"149.17625"	"1.2e+05"	D	"0.00000000"	"8.311256"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"	1	3		
"166.1478"	"166.14761"	"7.23e+06"	A	"0.00000000"	"7.4622919"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"	1	3		
""	"169.75775"	"4.4e-01"	D	"0.00000000"	"7.303596"	"1s2.2s2"	"1S"	"0"	"1s2.2s.3p"	"3P*"	"1"	1	3		
"192.967"	"192.965"	"5.12e+06"	B	"2.7250394"	"9.1503"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.9d"	"3D"	"2"	3	5		
"192.967"	"192.966"	"3.79e+06"	B	"2.724963"	"9.1502"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.9d"	"3D"	"1"	1	3		
"192.967"	"192.967"	"6.81e+06"	B	"2.725329"	"9.15048"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"3"	5	7		
"192.967"	"192.968"	"2.85e+06"	B	"2.7250394"	"9.1502"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.9d"	"3D"	"1"	3	3		
"192.967"	"192.974"	"1.71e+06"	B	"2.725329"	"9.1503"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"2"	5	5		
"192.967"	"192.977"	"1.90e+05"	B	"2.725329"	"9.1502"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.9d"	"3D"	"1"	5	3		
"194.368"	"194.3592"	"5.43e+06"	B	"2.724963"	"9.104089"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.8d"	"3D"	"1"	1	3		
"194.368"	"194.3616"	"7.34e+06"	B	"2.7250394"	"9.104088"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"2"	3	5		
"194.368"	"194.3616"	"4.07e+06"	B	"2.7250394"	"9.104089"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8d"	"3D"	"1"	3	3		
"194.368"	"194.3704"	"2.44e+06"	B	"2.725329"	"9.104088"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"2"	5	5		
"194.368"	"194.3704"	"2.71e+05"	B	"2.725329"	"9.104089"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"1"	5	3		
"194.368"	"194.3707"	"9.78e+06"	B	"2.725329"	"9.104078"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.8d"	"3D"	"3"	5	7		
"195.663"	"195.656"	"3.98e+05"	C	"2.724963"	"9.06181"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.8s"	"3S"	"1"	1	3		
"195.663"	"195.658"	"1.19e+06"	C	"2.7250394"	"9.06181"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.8s"	"3S"	"1"	3	3		
