obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"104.7647"	"104.7652"	"3.5e+06"	D	"0.00000000"	"11.83448"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"	2	4		
"104.7695"	"104.7697"	"1.4e+07"	D	"0.00000000"	"11.83397"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"	2	2		
"104.7825"	"104.7820"	"1.8e+07"	D	"0.0018953"	"11.83448"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"	4	4		
"104.7867"	"104.7865"	"7.0e+06"	D	"0.0018953"	"11.83397"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"	4	2		
"115.1207"	"115.1213"	"4.88e+07"	C	"0.00000000"	"10.76987"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	2	4		
"115.1281"	"115.1283"	"1.95e+08"	C	"0.00000000"	"10.76922"	"2s2.2p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"	2	2		
"115.1422"	"115.1416"	"2.4e+08"	C	"0.0018953"	"10.76987"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	4	4		
"115.1489"	"115.1486"	"9.75e+07"	C	"0.0018953"	"10.76922"	"2s2.2p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"	4	2		
"137.8654"	"137.8653"	"3.42e+08"	C+	"0.00000000"	"8.993138"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"3/2"	2	4		
"137.8875"	"137.8875"	"1.37e+09"	C+	"0.00000000"	"8.991694"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"2P"	"1/2"	2	2		
