obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"94.518746"	"94.518745"	"3.8e+08"	C+	"0.0000000000"	"13.1174190"	"2s2.2p2"	"3P"	"0"	"2s.2p3"	"3S*"	"1"	1	3		
"94.533418"	"94.533414"	"1.14e+09"	C+	"0.0020354130"	"13.1174190"	"2s2.2p2"	"3P"	"1"	"2s.2p3"	"3S*"	"1"	3	3		
"94.557546"	"94.557546"	"1.9e+09"	C+	"0.0053825826"	"13.1174190"	"2s2.2p2"	"3P"	"2"	"2s.2p3"	"3S*"	"1"	5	3		
"110.3860"	"110.3861"	"2.5e+05"	E	"0.0053825826"	"11.23725"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).21d"	"2[7/2]*"	"3"	5	7		
"110.4160"	"110.4165"	"2.6e+05"	E	"0.0053825826"	"11.23416"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).20d"	"2[7/2]*"	"3"	5	7		
"110.4220"	"110.422"	"1.1e+06"	E	"0.0053825826"	"11.2336"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).20d"	"2[5/2]*"	"3"	5	7		
"110.4550"	"110.45421"	"2.3e+05"	E	"0.0053825826"	"11.230324"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).19d"	"2[7/2]*"	"3"	5	7		
"110.4590"	"110.459"	"1.3e+06"	E	"0.0053825826"	"11.2298"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).19d"	"2[5/2]*"	"3"	5	7		
"110.4975"	"110.4975"	"1.7e+06"	E	"0.0053825826"	"11.22593"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).18d"	"2[5/2]*"	"3"	5	7		
"110.5466"	"110.5466"	"1.7e+06"	E	"0.0053825826"	"11.22094"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).17d"	"2[5/2]*"	"3"	5	7		
"110.5470"	"110.54695"	"6.e+05"	E	"0.0053825826"	"11.220907"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).17d"	"2[7/2]*"	"3"	5	7		
"110.6077"	"110.6077"	"2.2e+06"	E	"0.0053825826"	"11.21474"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).16d"	"2[5/2]*"	"3"	5	7		
"110.6290"	"110.62570"	"7.e+05"	E	"0.0053825826"	"11.212923"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<1/2>).17d"	"2[5/2]*"	"3"	5	7		
"110.6446"	"110.645"	"5.e+05"	E	"0.0020354130"	"11.2077"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).15d"	"2[1/2]*"	"1"	3	3		
"110.6446"	"110.645"	"4.e+06"	E	"0.0020354130"	"11.2077"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).15d"	"2[1/2]*"	"0"	3	1		
"110.6516"	"110.6503"	"2.0e+06"	E	"0.0020354130"	"11.20708"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<1/2>).16d"	"2[3/2]*"	"2"	3	5		
"110.6802"	"110.6802"	"3.0e+06"	E	"0.0053825826"	"11.20740"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<3/2>).15d"	"2[5/2]*"	"3"	5	7		
"110.7252"	"110.7218"	"1.5e+06"	E	"0.0020354130"	"11.19985"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<1/2>).15d"	"2[3/2]*"	"2"	3	5		
"110.7320"	"110.731"	"9.e+05"	E	"0.0020354130"	"11.1989"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).14d"	"2[1/2]*"	"1"	3	3		
"110.7320"	"110.731"	"2.7e+06"	E	"0.0020354130"	"11.1989"	"2s2.2p2"	"3P"	"1"	"2s2.2p.(2P*<3/2>).14d"	"2[1/2]*"	"0"	3	1		
"110.7633"	"110.75882"	"2.6e+05"	E	"0.0053825826"	"11.199453"	"2s2.2p2"	"3P"	"2"	"2s2.2p.(2P*<1/2>).15d"	"2[5/2]*"	"3"	5	7		
