obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"86.5227"	"3.74e+06"	D	"0.0000000"	"14.32967"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"5/2"	4	6		
""	"86.5835"	"3.74e+06"	D	"0.0000000"	"14.31962"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"3/2"	4	4		
""	"86.6180"	"3.73e+06"	E	"0.0000000"	"14.31391"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).9s"	"4P"	"1/2"	4	2		
""	"86.9404"	"5.56e+06"	D+	"0.0000000"	"14.26082"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"5/2"	4	6		
""	"87.0026"	"5.55e+06"	D	"0.0000000"	"14.25063"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"3/2"	4	4		
""	"87.0367"	"5.54e+06"	D	"0.0000000"	"14.24504"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).8s"	"4P"	"1/2"	4	2		
""	"87.5277"	"3.40e+07"	D+	"0.0000000"	"14.16513"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"1/2"	4	2		
""	"87.5657"	"3.39e+07"	D+	"0.0000000"	"14.15900"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"3/2"	4	4		
""	"87.5721"	"3.39e+07"	D+	"0.0000000"	"14.15795"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6d"	"4P"	"5/2"	4	6		
""	"87.606697"	"8.81e+06"	D+	"0.0000000"	"14.1523654"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"5/2"	4	6		
""	"87.664582"	"8.79e+06"	D+	"0.0000000"	"14.1430205"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"3/2"	4	4		
""	"87.698794"	"8.78e+06"	D	"0.0000000"	"14.1375033"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).7s"	"4P"	"1/2"	4	2		
""	"88.59729"	"5.58e+07"	D+	"0.0000000"	"13.994130"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"1/2"	4	2		
""	"88.62261"	"5.58e+07"	D+	"0.0000000"	"13.990131"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"3/2"	4	4		
""	"88.633263"	"5.58e+07"	D+	"0.0000000"	"13.9884501"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5d"	"4P"	"5/2"	4	6		
""	"88.745800"	"1.51e+07"	D+	"0.0000000"	"13.9707117"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"5/2"	4	6		
""	"88.802366"	"1.51e+07"	D+	"0.0000000"	"13.9618125"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"3/2"	4	4		
""	"88.837190"	"1.51e+07"	D+	"0.0000000"	"13.9563396"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).6s"	"4P"	"1/2"	4	2		
""	"90.620741"	"9.99e+07"	D+	"0.0000000"	"13.6816580"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"	4	2		
""	"90.643160"	"9.99e+07"	D+	"0.0000000"	"13.6782741"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"	4	4		
""	"90.661853"	"9.98e+07"	D+	"0.0000000"	"13.6754539"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"	4	6		
"90.9697"	"90.969742"	"2.93e+07"	D+	"0.0000000"	"13.6291690"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"5/2"	4	6		
"91.0278"	"91.027824"	"2.92e+07"	D+	"0.0000000"	"13.6204726"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"	4	4		
"91.0645"	"91.064536"	"2.92e+07"	D+	"0.0000000"	"13.6149817"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"	4	2		
""	"95.107924"	"8.29e+05"	B	"0.0000000"	"13.0361586"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	4	6		
""	"95.129485"	"1.71e+05"	B	"0.0000000"	"13.0332041"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	4	4		
""	"95.23034"	"1.12e+07"	B	"0.0000000"	"13.019401"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).3d"	"4D"	"5/2"	4	6		
