obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"69.7528"	"2.05e+07"	C	"0.0000000"	"17.77480"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).4d"	"3D*"	"3"	5	7		
""	"69.7528"	"5.30e+06"	D	"0.0000000"	"17.77480"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).4d"	"3D*"	"2"	5	5		
""	"69.7528"	"6.02e+05"	D	"0.0000000"	"17.77480"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).4d"	"3D*"	"1"	5	3		
""	"69.8299"	"1.58e+07"	C	"0.0196224"	"17.77480"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).4d"	"3D*"	"2"	3	5		
""	"69.8299"	"8.97e+06"	C	"0.0196224"	"17.77480"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).4d"	"3D*"	"1"	3	3		
""	"69.8634"	"1.19e+07"	C	"0.0281416"	"17.77480"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).4d"	"3D*"	"1"	1	3		
""	"72.4835"	"4.60e+07"	C+	"0.0000000"	"17.10517"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"3"	5	7		
""	"72.4835"	"1.19e+07"	C	"0.0000000"	"17.10517"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"2"	5	5		
""	"72.4835"	"1.35e+06"	D	"0.0000000"	"17.10517"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2P*).3d"	"3D*"	"1"	5	3		
""	"72.5667"	"3.53e+07"	C+	"0.0196224"	"17.10517"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"2"	3	5		
""	"72.5667"	"2.01e+07"	C	"0.0196224"	"17.10517"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).3d"	"3D*"	"1"	3	3		
""	"72.6029"	"2.66e+07"	C	"0.0281416"	"17.10517"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).3d"	"3D*"	"1"	1	3		
""	"76.935278"	"8.84e+07"	C+	"0.0000000"	"16.1153897"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"	5	3		
""	"76.940832"	"1.59e+08"	C+	"0.0000000"	"16.1142263"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"2"	5	5		
""	"77.026003"	"2.11e+08"	C+	"0.0196224"	"16.1160306"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"0"	3	1		
""	"77.029070"	"5.29e+07"	C+	"0.0196224"	"16.1153897"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"	3	3		
""	"77.034638"	"5.29e+07"	C+	"0.0196224"	"16.1142263"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"2"	3	5		
""	"77.069861"	"7.04e+07"	C+	"0.0281416"	"16.1153897"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"	1	3		
"77.0793"	"77.0793"	"2.58e+07"	C	"0.0000000"	"16.08529"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3S*"	"1"	5	3		
""	"77.0992"	"4.83e+05"	C	"0.0000000"	"16.08112"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"1"	5	3		
""	"77.1025"	"4.40e+06"	C	"0.0000000"	"16.08044"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"2"	5	5		
"77.1056"	"77.1056"	"1.79e+07"	C+	"0.0000000"	"16.07980"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"3"	5	7		
""	"77.1734"	"1.54e+07"	C	"0.0196224"	"16.08529"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3S*"	"1"	3	3		
""	"77.1934"	"7.20e+06"	C	"0.0196224"	"16.08112"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"1"	3	3		
