obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"80.6970"	"80.697051+"	"3.13e+08"	B	"0.0000000"	"15.3641547"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D).3s"	"2D"	"5/2"	4	6		
"80.9607"	"80.960508+"	"2.64e+08"	B	"0.05010710"	"15.3642647"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D).3s"	"2D"	"3/2"	2	4		
"95.1871"	"95.18707+"	"2.42e+08"	B+	"0.0000000"	"13.025319"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	4	2		
"95.4825"	"95.48267+"	"5.98e+08"	B+	"0.0000000"	"12.984995"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	4	4		
"95.5545"	"95.55466+"	"4.74e+08"	B+	"0.05010710"	"13.025319"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	2	2		
"95.8524"	"95.85255+"	"1.15e+08"	B+	"0.05010710"	"12.984995"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	2	4		
"604.921"	"604.921+"	"2.36e+05"	C	"12.696690"	"14.746284"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"	6	4		
"615.146"	"615.144+"	"1.90e+05"	C	"12.730752"	"14.746284"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"	4	4		
"621.259"	"621.256+"	"9.2e+04"	C	"12.750582"	"14.746284"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"	2	4		
"624.1377"	"624.138+"	"2.90e+07"	C+	"12.696690"	"14.683178"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	6	4		
"635.0263"	"635.026+"	"2.32e+07"	C+	"12.730752"	"14.683178"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	4	4		
"641.5424"	"641.542+"	"1.36e+07"	C+	"12.750582"	"14.683178"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	2	4		
"646.529"	"646.529+"	"3.97e+04"	C	"12.696690"	"14.614380"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	6	4		
"657.1509"	"657.151+"	"3.86e+05"	C+	"12.696690"	"14.583383"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	6	6		
"658.2207"	"658.220+"	"2.51e+05"	C+	"12.730752"	"14.614380"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	4	4		
"665.2241"	"665.224+"	"3.49e+05"	C+	"12.750582"	"14.614380"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	2	4		
"669.2328"	"669.233+"	"1.46e+06"	C	"12.730752"	"14.583383"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	4	6		
"671.0134"	"671.013+"	"1.09e+06"	C+	"12.696690"	"14.544408"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	6	4		
"677.5854"	"677.585+"	"9.6e+06"	C+	"12.696690"	"14.526486"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	6	6		
"679.7403"	"679.740+"	"5.89e+06"	C+	"12.730752"	"14.554747"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"1/2"	4	2		
"683.6150"	"683.615+"	"2.18e+07"	C+	"12.730752"	"14.544408"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	4	4		
"685.7922"	"685.792+"	"4.87e+07"	C+	"12.696690"	"14.504588"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	6	8		
"687.2111"	"687.211+"	"4.01e+07"	C+	"12.750582"	"14.554747"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"1/2"	2	2		
"690.4379"	"690.438+"	"3.51e+07"	C+	"12.730752"	"14.526486"	"2s2.2p4.(3P).3s"	"4P"	"3/2"	"2s2.2p4.(3P).3p"	"4D*"	"5/2"	4	6		
"691.1722"	"691.172+"	"2.07e+07"	C+	"12.750582"	"14.544408"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4D*"	"3/2"	2	4		
"696.8270"	"696.827+"	"6.6e+06"	C	"12.984995"	"14.764264"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"2P*"	"1/2"	4	2		
"703.9410"	"703.940+"	"4.23e+07"	C	"12.984995"	"14.746284"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"2P*"	"3/2"	4	4		
"712.9855"	"712.985+"	"5.03e+07"	C+	"13.025319"	"14.764264"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"2P*"	"1/2"	2	2		
