obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"58.72127"	"58.721282"	"1.48e+07"	B	"0.0000000"	"21.11401428"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	1	3		
"58.91792"	"58.917926"	"9.99e+06"	C+	"0.0000000"	"21.04354431"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	1	3		
"58.99114"	"58.991135"	"2.62e+07"	C+	"0.0000000"	"21.01742872"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"	1	3		
"59.00109"	"59.001081"	"8.5e+06"	D+	"0.0000000"	"21.01388581"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	1	3		
"59.18306"	"59.183031"	"2.06e+07"	B+	"0.0000000"	"20.94928177"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	1	3		
"59.59200"	"59.591998"	"2.80e+07"	A	"0.0000000"	"20.80551122"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	1	3		
"59.87056"	"59.870563"	"4.29e+07"	B	"0.0000000"	"20.70870776"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	1	3		
"59.88897"	"59.889082"	"1.52e+07"	C	"0.0000000"	"20.70230399"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	1	3		
"60.00365"	"60.003656"	"2.85e+07"	B+	"0.0000000"	"20.66277398"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		
"60.27263"	"60.272630"	"3.95e+07"	A	"0.0000000"	"20.57056379"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	1	3		
"61.56283"	"61.562830"	"4.03e+07"	B+	"0.0000000"	"20.13945733"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	1	3		
"61.86716"	"61.867169"	"8.0e+07"	B	"0.0000000"	"20.04038646"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	1	3		
"61.91023"	"61.910238"	"2.66e+07"	C	"0.0000000"	"20.02644523"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	1	3		
"62.68232"	"62.682320"	"9.45e+07"	B+	"0.0000000"	"19.77977193"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	1	3		
"62.97388"	"62.973881"	"7.23e+07"	B+	"0.0000000"	"19.68819383"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	1	3		
"73.58962"	"73.589627"	"5.88e+08"	A	"0.0000000"	"16.84805369"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	1	3		
"74.37195"	"74.371955"	"4.40e+07"	A	"0.0000000"	"16.67082693"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	1	3		
"294.81625"	"294.816325"	"1.66e+05"	D+	"16.67082693"	"20.87629955"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		
"297.55872"	"297.558843"	"4.75e+05"	C	"16.61907009"	"20.78578203"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	5		
"298.35399"	"298.354070"	"2.63e+05"	C	"16.61907009"	"20.77467615"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	5	7		
"299.33023"	"299.330335"	"8.3e+05"	D+	"16.67082693"	"20.81287950"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	3	1		
"305.82797"	"305.828045"	"1.81e+06"	C	"16.84805369"	"20.90210303"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	3	1		
"312.71027"	"312.710329"	"9.6e+05"	C	"16.84805369"	"20.81287950"	"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	"2s2.2p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	3	1		
"335.27129"	"335.271200"	"1.08e+04"	D	"16.67082693"	"20.36885404"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"	3	1		
