obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"243.450328"	"3.87e+03"	C+'	"0.000000000"	"[5.09279242]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"3/2"	2	4		
""	"243.450535"	"3.87e+03"	C+'	"0.000000000"	"[5.09278808]"	"2p6.3s"	"2S"	"1/2"	"2p6.18p"	"2P*"	"1/2"	2	2		
""	"243.733241"	"4.64e+03"	C+'	"0.000000000"	"[5.08688097]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"3/2"	2	4		
""	"243.733496"	"4.64e+03"	C+'	"0.000000000"	"[5.08687564]"	"2p6.3s"	"2S"	"1/2"	"2p6.17p"	"2P*"	"1/2"	2	2		
""	"244.074911"	"5.6e+03"	C+'	"0.000000000"	"[5.07976007]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"3/2"	2	4		
""	"244.075220"	"5.6e+03"	C+'	"0.000000000"	"[5.07975362]"	"2p6.3s"	"2S"	"1/2"	"2p6.16p"	"2P*"	"1/2"	2	2		
""	"244.492889"	"6.8e+03"	C+'	"0.000000000"	"[5.07107584]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"3/2"	2	4		
""	"244.493266"	"6.8e+03"	C+'	"0.000000000"	"[5.07106803]"	"2p6.3s"	"2S"	"1/2"	"2p6.15p"	"2P*"	"1/2"	2	2		
""	"245.011853"	"8.6e+03"	C+'	"0.000000000"	"[5.06033472]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"	2	4		
""	"245.012327"	"8.6e+03"	C+'	"0.000000000"	"[5.06032492]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"	2	2		
""	"245.667385"	"1.12e+04"	C+'	"0.000000000"	"[5.04683185]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"	2	4		
""	"245.667989"	"1.12e+04"	C+'	"0.000000000"	"[5.04681945]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"	2	2		
""	"246.512386"	"1.44e+04"	C+'	"0.000000000"	"[5.02953221]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"	2	4		
""	"246.513176"	"1.44e+04"	C+'	"0.000000000"	"[5.02951609]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"1/2"	2	2		
""	"247.628358"	"1.94e+04"	C+'	"0.000000000"	"5.00686591"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"3/2"	2	4		
""	"247.629413"	"1.94e+04"	C+'	"0.000000000"	"5.00684459"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"1/2"	2	2		
""	"249.146406"	"1.89e+04"	D+	"0.000000000"	"4.97635910"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"3/2"	2	4		
""	"249.147852"	"1.89e+04"	D+	"0.000000000"	"4.97633022"	"2p6.3s"	"2S"	"1/2"	"2p6.10p"	"2P*"	"1/2"	2	2		
""	"251.289050"	"3.20e+04"	D+	"0.000000000"	"[4.93392762]"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"	2	4		
""	"251.291140"	"3.10e+04"	C	"0.000000000"	"[4.93388658]"	"2p6.3s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"	2	2		
"254.458"	"254.46044"	"4.46e+04"	C+	"0.000000000"	"4.8724352"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"	2	4		
"254.464"	"254.46361"	"4.35e+04"	C+	"0.000000000"	"4.8723744"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"	2	2		
"259.461"	"259.46442"	"8.13e+04"	B	"0.000000000"	"4.7784663"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"	2	4		
"259.471"	"259.46947"	"7.96e+04"	C+	"0.000000000"	"4.7783733"	"2p6.3s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"	2	2		
"268.1127"	"268.11369"	"1.84e+05"	B+	"0.000000000"	"4.6243143"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"	2	4		
"268.1217"	"268.12297"	"1.81e+05"	B	"0.000000000"	"4.6241543"	"2p6.3s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"	2	2		
"285.3649"	"285.36492"	"5.38e+05"	B+	"0.000000000"	"4.3447597"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"	2	4		
"285.3851"	"285.38503"	"5.31e+05"	B+	"0.000000000"	"4.3444534"	"2p6.3s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"	2	2		
"330.3320"	"330.33194"	"2.75e+06"	A	"0.000000000"	"3.7533216"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"	2	4		
"330.3930"	"330.39295"	"2.73e+06"	B+	"0.000000000"	"3.7526285"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"	2	2		
"341.72"	"341.705"	"1.5e+07"	D	"32.7002"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"	4	4		
"342.83"	"342.834"	"2.8e+07"	D	"32.7002"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"	4	6		
"349.00"	"348.990"	"4.2e+07"	D	"32.7002"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"	4	6		
"350.35"	"350.338"	"8.8e+07"	D	"32.7002"	"36.2392"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"	4	4		
"351.20"	"351.194"	"1.15e+08"	D	"32.7002"	"36.2306"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"	4	2		
"384.91"	"384.911"	"2.8e+07"	D	"33.0956"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"	6	6		
"386.66"	"386.653"	"5.8e+07"	D	"33.0525"	"36.2591"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"	8	8		
"387.40"	"387.406"	"1.2e+07"	D	"33.0525"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"	8	6		
"388.29"	"388.291"	"1.63e+08"	D	"33.0525"	"36.2456"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"9/2"	8	10		
""	"388.50040"	"6.95e-04"	C	"0.000000000"	"3.1913531"	"2p6.3s"	"2S"	"1/2"	"2p6.4s"	"2S"	"1/2"	2	2	M1	
"388.68"	"388.682"	"6.2e+07"	D	"33.1388"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"	4	4		
"390.15"	"390.143"	"7.7e+07"	D	"33.1388"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"	4	6		
"391.90"	"391.914"	"6.6e+07"	D	"33.0956"	"36.2591"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"	6	8		
"392.67"	"392.688"	"4.5e+07"	D	"33.0956"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"	6	6		
"393.17"	"393.170"	"2.5e+07"	D	"33.1752"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"	2	4		
