obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"168.3412"	"168.34116"	"1.88e+06"	D+	"0.0000000"	"7.365056"	"2p6.3s2"	"1S"	"0"	"3s.8p"	"1P*"	"1"	1	3		
"170.7061"	"170.70606"	"3.28e+06"	D+	"0.0000000"	"7.263023"	"2p6.3s2"	"1S"	"0"	"3s.7p"	"1P*"	"1"	1	3		
"174.7794"	"174.77937"	"6.62e+06"	C+	"0.0000000"	"7.0937549"	"2p6.3s2"	"1S"	"0"	"3s.6p"	"1P*"	"1"	1	3		
"182.7934"	"182.79351"	"1.60e+07"	B	"0.0000000"	"6.7827460"	"2p6.3s2"	"1S"	"0"	"3s.5p"	"1P*"	"1"	1	3		
"202.6477"	"202.64768"	"6.12e+07"	B+	"0.0000000"	"6.1182146"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"1P*"	"1"	1	3		
""	"208.51988"	"7.24e-12"	E	"0.0000000"	"5.9459174"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"3D"	"1"	1	3	M1	
""	"208.52002"	"1.06e-03"	C	"0.0000000"	"5.9459136"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"3D"	"2"	1	5	E2	
""	"208.98134"	"2.69e+00"	B+	"0.0000000"	"5.9327880"	"2p6.3s2"	"1S"	"0"	"3s.4p"	"3P*"	"2"	1	5	M2	
""	"215.50301"	"1.64e+03"	A	"0.0000000"	"5.7532468"	"2p6.3s2"	"1S"	"0"	"3s.3d"	"1D"	"2"	1	5	E2	
"273.2802"	"273.28028"	"6.97e+06"	D+	"2.7091049"	"7.2459929"	"3s.3p"	"3P*"	"0"	"3s.6d"	"3D"	"1"	1	3		
""	"273.43016"	"5.21e+06"	D	"2.7115919"	"7.2459929"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"1"	3	3		
"273.4302"	"273.43032"	"9.37e+06"	D+	"2.7115919"	"7.2459903"	"3s.3p"	"3P*"	"1"	"3s.6d"	"3D"	"2"	3	5		
""	"273.73490"	"3.46e+05"	E	"2.7166398"	"7.2459929"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"1"	5	3		
""	"273.73505"	"3.12e+06"	D	"2.7166398"	"7.2459903"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"2"	5	5		
"273.7352"	"273.73513"	"1.25e+07"	C	"2.7166398"	"7.2459890"	"3s.3p"	"3P*"	"2"	"3s.6d"	"3D"	"3"	5	7		
"277.7510"	"277.7510"	"1.32e+08"	B+	"2.7115919"	"7.175454"	"3s.3p"	"3P*"	"1"	"3p2"	"3P"	"2"	3	5		
"277.9090"	"277.9091"	"1.82e+08"	C+	"2.7091049"	"7.170428"	"3s.3p"	"3P*"	"0"	"3p2"	"3P"	"1"	1	3		
