obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"211.8982"	"211.89862"	"1.03e+07"	C	"0.0000000"	"5.851109"	"3s2.3p"	"2P*"	"1/2"	"3s2.10d"	"2D"	"3/2"	2	4		
""	"212.40298"	"2.0e+06"	D	"0.0138938"	"5.851109"	"3s2.3p"	"2P*"	"3/2"	"3s2.10d"	"2D"	"3/2"	4	4		
"212.4033"	"212.40298"	"1.22e+07"	C	"0.0138938"	"5.851109"	"3s2.3p"	"2P*"	"3/2"	"3s2.10d"	"2D"	"5/2"	4	6		
"213.0335"	"213.03352"	"1.52e+07"	C	"0.0000000"	"5.819939"	"3s2.3p"	"2P*"	"1/2"	"3s2.9d"	"2D"	"3/2"	2	4		
"213.5406"	"213.54066"	"1.81e+07"	C	"0.0138938"	"5.820010"	"3s2.3p"	"2P*"	"3/2"	"3s2.9d"	"2D"	"5/2"	4	6		
""	"213.54331"	"3.0e+06"	D	"0.0138938"	"5.819939"	"3s2.3p"	"2P*"	"3/2"	"3s2.9d"	"2D"	"3/2"	4	4		
"214.6231"	"214.62304"	"2.06e+07"	C	"0.0000000"	"5.776835"	"3s2.3p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"	2	4		
"215.1376"	"215.13756"	"2.46e+07"	C	"0.0138938"	"5.776914"	"3s2.3p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"	4	6		
""	"215.14047"	"4.09e+06"	E	"0.0138938"	"5.776835"	"3s2.3p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"	4	4		
"216.9485"	"216.95069"	"2.96e+07"	C	"0.0000000"	"5.7148562"	"3s2.3p"	"2P*"	"1/2"	"3s2.7d"	"2D"	"3/2"	2	4		
"217.4709"	"217.47522"	"3.53e+07"	C	"0.0138938"	"5.7149663"	"3s2.3p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"5/2"	4	6		
""	"217.47942"	"5.88e+06"	E	"0.0138938"	"5.7148562"	"3s2.3p"	"2P*"	"3/2"	"3s2.7d"	"2D"	"3/2"	4	4		
"219.9837"	"219.98694"	"1.75e+06"	C	"0.0000000"	"5.6359800"	"3s2.3p"	"2P*"	"1/2"	"3s2.8s"	"2S"	"1/2"	2	2		
"220.5278"	"220.53059"	"3.49e+06"	C	"0.0138938"	"5.6359800"	"3s2.3p"	"2P*"	"3/2"	"3s2.8s"	"2S"	"1/2"	4	2		
"220.5348"	"220.53554"	"4.37e+07"	C+	"0.0000000"	"5.6219600"	"3s2.3p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"	2	4		
"221.0735"	"221.07493"	"5.20e+07"	C+	"0.0138938"	"5.6221371"	"3s2.3p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"	4	6		
""	"221.08191"	"8.67e+06"	C+	"0.0138938"	"5.6219600"	"3s2.3p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"	4	4		
"225.8698"	"225.87062"	"3.77e+06"	C	"0.0000000"	"5.4891689"	"3s2.3p"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"	2	2		
"226.4162"	"226.41647"	"6.83e+07"	B	"0.0000000"	"5.4759355"	"3s2.3p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"	2	4		
"226.4431"	"226.44378"	"7.5e+06"	C	"0.0138938"	"5.4891689"	"3s2.3p"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"	4	2		
"226.9798"	"226.97979"	"7.58e+07"	B	"0.0138938"	"5.4762391"	"3s2.3p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"5/2"	4	6		
"226.9922"	"226.99241"	"1.26e+07"	C+	"0.0138938"	"5.4759355"	"3s2.3p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"	4	4		
"236.7775"	"236.77750"	"7.61e+07"	C+	"0.0000000"	"5.2363166"	"3s2.3p"	"2P*"	"1/2"	"3s2.4d"	"2D"	"3/2"	2	4		
"237.2794"	"237.27939"	"5.76e+06"	C	"0.0000000"	"5.2252410"	"3s2.3p"	"2P*"	"1/2"	"3s2.6s"	"2S"	"1/2"	2	2		
"237.3849"	"237.38466"	"9.07e+07"	B	"0.0138938"	"5.2368177"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"5/2"	4	6		
"237.4074"	"237.40743"	"1.51e+07"	C+	"0.0138938"	"5.2363166"	"3s2.3p"	"2P*"	"3/2"	"3s2.4d"	"2D"	"3/2"	4	4		
"237.9094"	"237.91199"	"1.14e+07"	C+	"0.0138938"	"5.2252410"	"3s2.3p"	"2P*"	"3/2"	"3s2.6s"	"2S"	"1/2"	4	2		
"256.8754"	"256.87518"	"1.92e+07"	B	"0.0000000"	"4.8266321"	"3s2.3p"	"2P*"	"1/2"	"3s2.nd"	"y 2D"	"3/2"	2	4		
"257.5865"	"257.58652"	"3.60e+07"	C+	"0.0138938"	"4.8271968"	"3s2.3p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"5/2"	4	6		
"257.6164"	"257.61675"	"5.99e+06"	C+	"0.0138938"	"4.8266321"	"3s2.3p"	"2P*"	"3/2"	"3s2.nd"	"y 2D"	"3/2"	4	4		
"265.3274"	"265.32654"	"1.42e+07"	B	"0.0000000"	"4.6728909"	"3s2.3p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"	2	2		
"266.1184"	"266.11778"	"2.84e+07"	B	"0.0138938"	"4.6728909"	"3s2.3p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"	4	2		
"308.30481"	"308.30462"	"5.87e+07"	B+	"0.0000000"	"4.0214836"	"3s2.3p"	"2P*"	"1/2"	"3s2.3d"	"2D"	"3/2"	2	4		
"309.36077"	"309.36062"	"7.29e+07"	B+	"0.0138938"	"4.0216502"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"5/2"	4	6		
"309.37364"	"309.37347"	"1.16e+07"	B	"0.0138938"	"4.0214836"	"3s2.3p"	"2P*"	"3/2"	"3s2.3d"	"2D"	"3/2"	4	4		
