obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"158.9173"	"4.44e+07"	E	"0.0000000"	"7.801805"	"3s2.3p2"	"3P"	"0"	"3s2.3p.6d"	"3D*"	"1"	1	3		
""	"159.1123"	"3.32e+07"	E	"0.0095610"	"7.801805"	"3s2.3p2"	"3P"	"1"	"3s2.3p.6d"	"3D*"	"1"	3	3		
""	"159.4566"	"7.91e+07"	D	"0.0276679"	"7.803087"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"3"	5	7		
""	"159.4829"	"2.19e+06"	E	"0.0276679"	"7.801805"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"1"	5	3		
""	"159.4950"	"5.92e+07"	E	"0.0095610"	"7.783107"	"3s2.3p2"	"3P"	"1"	"3s2.3p.6d"	"3D*"	"2"	3	5		
""	"159.8674"	"1.96e+07"	E	"0.0276679"	"7.783107"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"2"	5	5		
"162.571"	"162.5705"	"7.16e+07"	E	"0.0000000"	"7.626487"	"3s2.3p2"	"3P"	"0"	"3s2.3p.5d"	"3D*"	"1"	1	3		
""	"162.7746"	"5.34e+07"	E	"0.0095610"	"7.626487"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"3D*"	"1"	3	3		
"162.943"	"162.9441"	"8.73e+07"	C	"0.0095610"	"7.618564"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"3D*"	"2"	3	5		
""	"162.99478"	"2.11e+08"	C	"0.0276679"	"7.6343040"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"3"	5	7		
""	"163.1624"	"3.54e+06"	E	"0.0276679"	"7.626487"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"1"	5	3		
""	"163.3328"	"1.12e+07"	D	"0.0276679"	"7.618564"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"2"	5	5		
""	"166.04746"	"7.67e+06"	D	"0.0095610"	"7.4763538"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"1D*"	"2"	3	5		
"166.637"	"166.63762"	"1.75e+07"	D	"0.0000000"	"7.4403485"	"3s2.3p2"	"3P"	"0"	"3s2.3p.nd"	"a 3P*"	"1"	1	3		
"166.762"	"166.7629"	"8.27e+07"	E	"0.0095610"	"7.444321"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"0"	3	1		
"166.852"	"166.85203"	"2.58e+07"	D	"0.0095610"	"7.4403485"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"1"	3	3		
""	"167.11168"	"8.30e+06"	D	"0.0095610"	"7.4288029"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"2"	3	5		
"167.259"	"167.25960"	"3.09e+07"	D+	"0.0276679"	"7.4403485"	"3s2.3p2"	"3P"	"2"	"3s2.3p.nd"	"a 3P*"	"1"	5	3		
"167.520"	"167.52052"	"6.41e+07"	C	"0.0276679"	"7.4288029"	"3s2.3p2"	"3P"	"2"	"3s2.3p.nd"	"a 3P*"	"2"	5	5		
""	"168.94440"	"2.20e+01"	D	"0.0000000"	"7.3387576"	"3s2.3p2"	"3P"	"0"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	1	5	E2	
""	"169.16479"	"4.38e+00"	D	"0.0095610"	"7.3387576"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	3	5	E2	
""	"169.1665"	"8.62e+01"	D+	"0.0095610"	"7.338682"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"1"	3	3	E2	
""	"169.17356"	"1.31e-02"	E	"0.0000000"	"7.3288166"	"3s2.3p2"	"3P"	"0"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	1	5	E2	
"169.329"	"169.32935"	"6.75e+07"	D+	"0.0000000"	"7.3220738"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4d"	"3D*"	"1"	1	3		
""	"169.39455"	"3.20e+01"	D+	"0.0095610"	"7.3288166"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	3	5	E2	
""	"169.39723"	"4.31e+00"	D	"0.0095610"	"7.3287009"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"3"	3	7	E2	
"169.551"	"169.55074"	"3.97e+07"	D+	"0.0095610"	"7.3220738"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"3D*"	"1"	3	3		
""	"169.58375"	"3.55e+01"	D+	"0.0276679"	"7.3387576"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	5	5	E2	
""	"169.5855"	"2.84e+01"	D	"0.0276679"	"7.338682"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"1"	5	3	E2	
""	"169.61263"	"1.97e+01"	D	"0.0095610"	"7.3194057"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[7/2]"	"3"	3	7	E2	
"169.620"	"169.6207"	"1.22e+08"	C	"0.0095610"	"7.319059"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"3D*"	"2"	3	5		
"169.794"	"169.7941"	"1.38e+08"	C	"0.0276679"	"7.329702"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"3"	5	7		
""	"169.81465"	"4.09e+01"	D+	"0.0276679"	"7.3288166"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	5	5	E2	
""	"169.81734"	"1.04e+02"	D+	"0.0276679"	"7.3287009"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"3"	5	7	E2	
""	"169.97162"	"1.80e+06"	E	"0.0276679"	"7.3220738"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"1"	5	3		
""	"170.03382"	"9.65e+00"	D	"0.0276679"	"7.3194057"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[7/2]"	"3"	5	7	E2	
"170.042"	"170.0419"	"3.12e+07"	D+	"0.0276679"	"7.319059"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"2"	5	5		
"170.063"	"170.06360"	"3.06e+07"	D+	"0.0000000"	"7.2904604"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4d"	"1P*"	"1"	1	3		
"170.286"	"170.28693"	"1.88e+07"	D	"0.0095610"	"7.2904604"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"1P*"	"1"	3	3		
"170.443"	"170.4442"	"2.61e+07"	D+	"0.0276679"	"7.301851"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1F*"	"3"	5	7		
""	"170.71147"	"1.21e+06"	E	"0.0276679"	"7.2904604"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1P*"	"1"	5	3		
""	"176.9786"	"2.65e+07"	D+	"0.7809579"	"7.786562"	"3s2.3p2"	"1D"	"2"	"3s2.3p.6d"	"1F*"	"3"	5	7		
""	"177.22254"	"2.39e+05"	E	"0.0095610"	"7.0055221"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"1D*"	"2"	3	5		
"177.683"	"177.68242"	"5.83e+06"	D	"0.0276679"	"7.0055221"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1D*"	"2"	5	5		
"180.909"	"180.91046"	"6.83e+07"	C	"0.7809579"	"7.6343040"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5d"	"3D*"	"3"	5	7		
""	"181.3269"	"1.04e+06"	E	"0.7809579"	"7.618564"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5d"	"3D*"	"2"	5	5		
