obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"153.475155"	"4.4e+04"	E	"0.000000"	"8.0784540"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"	4	6		
""	"153.477237"	"8.2e+03"	E	"0.000000"	"8.0783444"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"	4	4		
"167.1680"	"167.16713"	"3.9e+07"	D	"0.000000"	"7.4167807"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"1/2"	4	2		
"167.4591"	"167.45953"	"4.0e+07"	D	"0.000000"	"7.4038306"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"3/2"	4	4		
"167.9695"	"167.96969"	"3.9e+07"	D	"0.000000"	"7.3813433"	"3s2.3p3"	"4S*"	"3/2"	"3s.3p4"	"4P"	"5/2"	4	6		
""	"171.89702"	"2.6e+05"	E	"0.000000"	"7.2127021"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	4	4		
""	"172.78148"	"1.5e+05"	E	"0.000000"	"7.1757806"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	4	2		
"177.4951"	"177.49487"	"2.17e+08"	C	"0.000000"	"6.9852271"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	4	6		
"178.2838"	"178.28291"	"2.14e+08"	C	"0.000000"	"6.9543513"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	4	4		
"178.7656"	"178.76481"	"2.13e+08"	C	"0.000000"	"6.9356043"	"3s2.3p3"	"4S*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	4	2		
"185.8886"	"185.8871"	"2.32e+07"	C	"1.408587"	"8.0784540"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"	4	6		
""	"185.8901"	"2.54e+08"	C	"1.408587"	"8.0783444"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"	4	4		
