obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"119.5"	"119.2"	"1.00e+09"	E	"0.00000000"	"10.40au"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(2D*).3d"	"3D*"	"3"	4	6		
"119.5"	"119.8"	"7.15e+08"	E	"0.04910475"	"10.40au"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(2D*).3d"	"3D*"	"2"	2	4		
"120.8850"	"120.8850"	"4.33e+06"	E	"0.00000000"	"10.25638"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).12d"	"3D*"	"3"	4	6		
"124.19050"	"124.19050"	"1.22e+07"	D+	"0.00000000"	"9.983389"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).8s"	"3S*"	"1"	4	2		
""	"124.71081"	"2.69e+05"	D	"0.00000000"	"9.941736"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).6d"	"3D*"	"1"	4	2		
""	"124.71361"	"2.82e+06"	D+	"0.00000000"	"9.941513"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).6d"	"3D*"	"2"	4	4		
"124.71600"	"124.71599"	"1.36e+07"	D+	"0.00000000"	"9.941323"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).6d"	"3D*"	"3"	4	6		
"124.80451"	"124.80436"	"7.53e+06"	D+	"0.04910475"	"9.983389"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(4S*).8s"	"3S*"	"1"	2	2		
"125.08138"	"125.08152"	"2.66e+06"	D	"0.07111681"	"9.983389"	"3s2.3p4"	"3P"	"0"	"3s2.3p3.(4S*).8s"	"3S*"	"1"	1	2		
"125.3297"	"125.32985"	"5.29e+06"	D+	"0.04910475"	"9.941736"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(4S*).6d"	"3D*"	"1"	2	2		
"125.33250"	"125.33267"	"1.07e+07"	D+	"0.04910475"	"9.941513"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(4S*).6d"	"3D*"	"2"	2	4		
"125.60930"	"125.60934"	"7.98e+06"	D+	"0.07111681"	"9.941736"	"3s2.3p4"	"3P"	"0"	"3s2.3p3.(4S*).6d"	"3D*"	"1"	1	2		
"126.28596"	"126.28599"	"1.48e+07"	D+	"0.00000000"	"9.817732"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).7s"	"3S*"	"1"	4	2		
"126.92086"	"126.92080"	"8.18e+06"	D+	"0.04910475"	"9.817732"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(4S*).7s"	"3S*"	"1"	2	2		
""	"127.07682"	"7.60e+05"	D	"0.00000000"	"9.7566336"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).5d"	"3D*"	"1"	4	2		
"127.07821"	"127.077974"	"2.54e+07"	C	"0.00000000"	"9.7565451"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).5d"	"3D*"	"3"	4	6		
"127.07821"	"127.078641"	"6.70e+06"	D+	"0.00000000"	"9.7564939"	"3s2.3p4"	"3P"	"2"	"3s2.3p3.(4S*).5d"	"3D*"	"2"	4	4		
"127.20749"	"127.20744"	"2.62e+06"	D	"0.07111681"	"9.817732"	"3s2.3p4"	"3P"	"0"	"3s2.3p3.(4S*).7s"	"3S*"	"1"	1	2		
"127.71985"	"127.71963"	"1.05e+07"	D+	"0.04910475"	"9.7566336"	"3s2.3p4"	"3P"	"1"	"3s2.3p3.(4S*).5d"	"3D*"	"1"	2	2		
