obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"118.875148"	"2.71e+07"	C	"0.00000000"	"10.4297829"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(1D).4s"	"2D"	"3/2"	4	4		
"118.8774"	"118.877422"	"2.33e+08"	C	"0.00000000"	"10.4295834"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(1D).4s"	"2D"	"5/2"	4	6		
"120.1353"	"120.135243"	"2.39e+08"	C	"0.10939764"	"10.4297829"	"3s2.3p5"	"2P*"	"1/2"	"3s2.3p4.(1D).4s"	"2D"	"3/2"	2	4		
"133.5726"	"133.572576"	"1.74e+08"	C	"0.00000000"	"9.2821597"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	4	2		
"134.7240"	"134.723961"	"4.19e+08"	C+	"0.00000000"	"9.2028320"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	4	4		
"135.1657"	"135.165610"	"3.23e+08"	C+	"0.10939764"	"9.2821597"	"3s2.3p5"	"2P*"	"1/2"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	2	2		
"136.3447"	"136.344744"	"7.5e+07"	C+	"0.10939764"	"9.2028320"	"3s2.3p5"	"2P*"	"1/2"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	2	4		
"137.3116"	"137.311640"	"2.9e+05"	D	"0.00000000"	"9.0294019"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	4	2		
"137.9528"	"137.952787"	"1.1e+07"	D	"0.00000000"	"8.9874370"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	4	4		
"138.9693"	"138.969254"	"2.3e+05"	D	"0.00000000"	"8.9217000"	"3s2.3p5"	"2P*"	"3/2"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	4	6		
"138.9957"	"138.995671"	"1.7e+06"	D	"0.10939764"	"9.0294019"	"3s2.3p5"	"2P*"	"1/2"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	2	2		
"139.6527"	"139.652679"	"1.5e+06"	D	"0.10939764"	"8.9874370"	"3s2.3p5"	"2P*"	"1/2"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	2	4		
"410.595"	"410.59386"	"2.0e+05"	D	"8.9217000"	"11.9413310"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"2P*"	"3/2"	6	4		
""	"414.84260"	"3.8e+05"	D	"8.9874370"	"11.9761416"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"2P*"	"1/2"	4	2		
"421.086"	"421.0851"	"4.1e+05"	D+	"8.9217000"	"11.8660979"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	6	4		
"422.761"	"422.7616"	"5.5e+05"	D+	"8.9217000"	"11.8544214"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	6	4		
"426.578"	"426.5781"	"1.7e+05"	D+	"8.9217000"	"11.8281832"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4D*"	"5/2"	6	6		
""	"428.1668"	"1.6e+05"	D	"8.9217000"	"11.8173988"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	6	4		
""	"432.4551"	"1.1e+06"	D+	"8.9874370"	"11.8544214"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	4	4		
""	"433.9081"	"2.6e+05"	D	"8.9874370"	"11.8448209"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"2S*"	"1/2"	4	2		
"436.450"	"436.4494"	"6.8e+05"	D	"8.9874370"	"11.8281832"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"5/2"	4	6		
"437.073"	"437.0726"	"7.0e+05"	D+	"9.0294019"	"11.8660979"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	2	4		
""	"437.2772"	"1.5e+05"	D+	"8.9217000"	"11.7570682"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	6	6		
"438.113"	"438.1126"	"1.4e+06"	D	"8.9874370"	"11.8173988"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	4	4		
""	"438.8791"	"3.6e+05"	D+	"9.0294019"	"11.8544214"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	2	4		
"439.098"	"439.0984"	"1.4e+06"	D	"8.9217000"	"11.745308"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4D*"	"7/2"	6	8		
"439.163"	"439.1636"	"7.9e+05"	D+	"9.0294019"	"11.8525909"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"4D*"	"1/2"	2	2		
""	"440.3757"	"5.8e+05"	D+	"9.0294019"	"11.8448209"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"2S*"	"1/2"	2	2		
"440.427"	"440.4257"	"7.4e+05"	D	"8.9217000"	"11.7367992"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4P*"	"3/2"	6	4		
"443.974"	"443.9734"	"1.4e+06"	D	"8.9217000"	"11.7143043"	"3s2.3p4.(3P).4s"	"4P"	"5/2"	"3s2.3p4.(3P).5p"	"4P*"	"5/2"	6	6		
""	"444.7071"	"2.3e+05"	D	"9.0294019"	"11.8173988"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	2	4		
""	"444.7387"	"4.4e+05"	D	"8.9874370"	"11.7752360"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"1/2"	4	2		
""	"447.0622"	"1.6e+06"	D	"9.2028320"	"11.9761416"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2P*"	"1/2"	4	2		
"447.656"	"447.6560"	"4.3e+05"	D+	"8.9874370"	"11.7570682"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	4	6		
""	"449.2292"	"4.8e+05"	D+	"9.2028320"	"11.9627639"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(1D).4p"	"2D*"	"3/2"	4	4		
"452.746"	"452.7451"	"5.1e+06"	C	"9.2028320"	"11.9413310"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2P*"	"3/2"	4	4		
""	"454.6763"	"5.1e+04"	D	"8.9874370"	"11.7143043"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"5/2"	4	6		
""	"457.9461"	"1.7e+05"	D	"9.0294019"	"11.7367992"	"3s2.3p4.(3P).4s"	"4P"	"1/2"	"3s2.3p4.(3P).5p"	"4P*"	"3/2"	2	4		
""	"458.1768"	"1.8e+05"	D	"8.9874370"	"11.6934712"	"3s2.3p4.(3P).4s"	"4P"	"3/2"	"3s2.3p4.(1D).4p"	"2P*"	"3/2"	4	4		
"460.227"	"460.2266"	"4.2e+06"	C	"9.2821597"	"11.9761416"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"2P*"	"1/2"	2	2		
"462.5233"	"462.5233"	"4.5e+05"	D+	"9.2821597"	"11.9627639"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(1D).4p"	"2D*"	"3/2"	2	4		
"465.5343"	"465.5344"	"4.9e+05"	D+	"9.2028320"	"11.8660979"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	4	4		
"466.2513"	"466.2513"	"1.2e+06"	C	"9.2821597"	"11.9413310"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"2P*"	"3/2"	2	4		
""	"467.5845"	"2.0e+05"	D+	"9.2028320"	"11.8544214"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	4	4		
""	"467.9075"	"5.4e+05"	D+	"9.2028320"	"11.8525909"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"1/2"	4	2		
"469.2836"	"469.2836"	"1.1e+06"	D+	"9.2028320"	"11.8448209"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2S*"	"1/2"	4	2		
"472.2576"	"472.2576"	"2.1e+05"	D+	"9.2028320"	"11.8281832"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"5/2"	4	6		
"474.2055"	"474.2055"	"4.2e+05"	D+	"9.2028320"	"11.8173988"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	4	4		
""	"479.8265"	"1.9e+05"	D	"9.2821597"	"11.8660979"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	2	4		
""	"481.9780"	"3.9e+05"	D	"9.2028320"	"11.7752360"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"1/2"	4	2		
""	"482.0046"	"1.9e+05"	D	"9.2821597"	"11.8544214"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	2	4		
""	"485.4062"	"2.3e+05"	D+	"9.2028320"	"11.7570682"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	4	6		
