obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"86.6800"	"86.680000"	"3.13e+08"	C+	"0.00000000"	"14.3036684"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	1	3		
"86.9754"	"86.975415"	"3.50e+07"	C	"0.00000000"	"14.2550856"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	1	3		
"87.6058"	"87.605770"	"2.70e+08"	C+	"0.00000000"	"14.1525151"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	1	3		
"87.9947"	"87.994660"	"7.7e+07"	C	"0.00000000"	"14.0899685"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	1	3		
"104.8220"	"104.8219924"	"5.32e+08"	AA	"0.00000000"	"11.82807116"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	1	3		
"106.6660"	"106.6659865"	"1.320e+08"	A+	"0.00000000"	"11.62359272"	"3s2.3p6"	"1S"	"0"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	1	3		
""	"340.71576"	"3.9e+05"	D	"11.82807116"	"15.4670046"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).7p"	"2[1/2]"	"0"	3	1		
"346.206"	"346.20697"	"6.7e+04"	D	"11.62359272"	"15.2048089"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	3	5		
"355.5321"	"355.53208"	"2.7e+05"	D	"11.54835442"	"15.0356402"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	5	5		
""	"356.43036"	"1.2e+05"	D	"11.72316039"	"15.2016576"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	1	3		
""	"356.86747"	"1.1e+05"	D	"11.54835442"	"15.0225909"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	5	7		
""	"357.33152"	"5.1e+05"	D	"11.82807116"	"15.2977958"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<3/2>).7p"	"2[1/2]"	"0"	3	1		
"360.7551"	"360.75504"	"7.6e+05"	D	"11.62359272"	"15.0603901"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	3	1		
""	"363.37184"	"6.6e+04"	D	"11.62359272"	"15.0356402"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	3	5		
""	"363.54960"	"1.3e+05"	D	"11.62359272"	"15.0339719"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	3	3		
""	"364.41545"	"2.4e+04"	D	"11.62359272"	"15.0258688"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	3	5		
""	"365.08716"	"8.0e+05"	D	"11.82807116"	"15.2240875"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).6p"	"2[1/2]"	"0"	3	1		
""	"366.05716"	"4.4e+04"	D	"11.62359272"	"15.0106102"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	3	3		
""	"367.17154"	"3.1e+04"	D	"11.82807116"	"15.2048089"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	3	5		
""	"367.62817"	"4.9e+04"	D	"11.82807116"	"15.2006146"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	3	3		
"377.1440"	"377.14401"	"7.0e+04"	D	"11.72316039"	"15.0106102"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	"3s2.3p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	1	3		
