obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"292.83875"	"8.15e+02"	C+	"0.00000000"	"4.2338727"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"3/2"	2	4		
""	"292.84268"	"4.69e+02"	C+	"0.00000000"	"4.2338159"	"3p6.4s"	"2S"	"1/2"	"3p6.13p"	"2P*"	"1/2"	2	2		
""	"294.35300"	"1.13e+03"	C+	"0.00000000"	"4.2120922"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"3/2"	2	4		
""	"294.35827"	"6.82e+02"	C+	"0.00000000"	"4.2120168"	"3p6.4s"	"2S"	"1/2"	"3p6.12p"	"2P*"	"1/2"	2	2		
""	"296.40758"	"1.73e+03"	C+	"0.00000000"	"4.1828956"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"3/2"	2	4		
""	"296.41488"	"1.10e+03"	C+	"0.00000000"	"4.1827927"	"3p6.4s"	"2S"	"1/2"	"3p6.11p"	"2P*"	"1/2"	2	2		
"299.2981"	"299.29905"	"3.16e+03"	C+	"0.00000000"	"4.1424855"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"3/2"	2	4		
"299.3088"	"299.30952"	"2.12e+03"	C+	"0.00000000"	"4.1423407"	"3p6.4s"	"2S"	"1/2"	"3p6.10p"	"2P*"	"1/2"	2	2		
"303.5634"	"303.56452"	"6.74e+03"	B	"0.00000000"	"4.0842783"	"3p6.4s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"3/2"	2	4		
"303.5794"	"303.58040"	"4.78e+03"	C+	"0.00000000"	"4.0840647"	"3p6.4s"	"2S"	"1/2"	"3p6.9p"	"2P*"	"1/2"	2	2		
"310.2691"	"310.2689"	"1.62e+04"	B+	"0.00000000"	"3.996024"	"3p6.4s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"3/2"	2	4		
"310.2951"	"310.2946"	"1.22e+04"	C+	"0.00000000"	"3.995693"	"3p6.4s"	"2S"	"1/2"	"3p6.8p"	"2P*"	"1/2"	2	2		
"321.8080"	"321.8083"	"5.01e+04"	B+	"0.00000000"	"3.852735"	"3p6.4s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"3/2"	2	4		
"321.8544"	"321.8549"	"4.00e+04"	C+	"0.00000000"	"3.852177"	"3p6.4s"	"2S"	"1/2"	"3p6.7p"	"2P*"	"1/2"	2	2		
"344.7364"	"344.7359"	"1.65e+05"	B+	"0.00000000"	"3.596498"	"3p6.4s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"3/2"	2	4		
"344.8364"	"344.8363"	"1.45e+05"	C+	"0.00000000"	"3.595451"	"3p6.4s"	"2S"	"1/2"	"3p6.6p"	"2P*"	"1/2"	2	2		
"404.5279"	"404.52847"	"1.15e+06"	A	"0.00000000"	"3.0649066"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"3/2"	2	4		
"404.8351"	"404.83565"	"1.07e+06"	B+	"0.00000000"	"3.0625810"	"3p6.4s"	"2S"	"1/2"	"3p6.5p"	"2P*"	"1/2"	2	2		
"464.3176"	"464.31748"	"1.54e+02"	AAA	"0.00000000"	"2.6702462"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"3/2"	2	4	E2	
"464.3673"	"464.36724"	"1.54e+02"	AAA	"0.00000000"	"2.6699600"	"3p6.4s"	"2S"	"1/2"	"3p6.3d"	"2D"	"5/2"	2	6	E2	
"474.2240"	"474.224621"	"8.0e+04"	E	"1.60995784350"	"4.22441928"	"3p6.4p"	"2P*"	"1/2"	"3p6.13s"	"2S"	"1/2"	2	2		
"474.5672"	"474.566717"	"9.8e+04"	C	"1.60995784350"	"4.22253462"	"3p6.4p"	"2P*"	"1/2"	"3p6.11d"	"2D"	"3/2"	2	4		
"475.5263"	"475.526024"	"1.6e+05"	D+	"1.6171130092"	"4.22441928"	"3p6.4p"	"2P*"	"3/2"	"3p6.13s"	"2S"	"1/2"	4	2		
""	"475.870001"	"1.9e+04"	E	"1.6171130092"	"4.22253462"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"3/2"	4	4		
"475.8719"	"475.870757"	"1.2e+05"	C	"1.6171130092"	"4.22253048"	"3p6.4p"	"2P*"	"3/2"	"3p6.11d"	"2D"	"5/2"	4	6		
"478.7829"	"478.782901"	"1.03e+05"	C	"1.60995784350"	"4.19952815"	"3p6.4p"	"2P*"	"1/2"	"3p6.12s"	"2S"	"1/2"	2	2		
"479.2388"	"479.238063"	"1.3e+05"	C	"1.60995784350"	"4.19706867"	"3p6.4p"	"2P*"	"1/2"	"3p6.10d"	"2D"	"3/2"	2	4		
"480.1096"	"480.109478"	"2.07e+05"	C	"1.6171130092"	"4.19952815"	"3p6.4p"	"2P*"	"3/2"	"3p6.12s"	"2S"	"1/2"	4	2		
""	"480.567167"	"2.6e+04"	C	"1.6171130092"	"4.19706867"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"3/2"	4	4		
"480.5691"	"480.568234"	"1.6e+05"	C	"1.6171130092"	"4.19706295"	"3p6.4p"	"2P*"	"3/2"	"3p6.10d"	"2D"	"5/2"	4	6		
"485.1220"	"485.121941"	"1.871e+05"	A+	"1.60995784350"	"4.16569049"	"3p6.4p"	"2P*"	"1/2"	"3p6.11s"	"2S"	"1/2"	2	2		
"485.7447"	"485.744865"	"2.10e+05"	A	"1.60995784350"	"4.16241300"	"3p6.4p"	"2P*"	"1/2"	"3p6.9d"	"2D"	"3/2"	2	4		
"486.4842"	"486.483928"	"3.698e+05"	AA	"1.6171130092"	"4.16569049"	"3p6.4p"	"2P*"	"3/2"	"3p6.11s"	"2S"	"1/2"	4	2		
