obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"215.148"	"215.14717"	"6.1e+06"	C	"0.0000000"	"5.7627624"	"3p6.4s2"	"1S"	"0"	"3p6.4s.8p"	"1P*"	"1"	1	3		
"220.142"	"220.14136"	"1.53e+07"	C	"0.0000000"	"5.6320266"	"3p6.4s2"	"1S"	"0"	"3p6.4s.7p"	"1P*"	"1"	1	3		
"227.616"	"227.61686"	"3.01e+07"	C+	"0.0000000"	"5.4470569"	"3p6.4s2"	"1S"	"0"	"3p6.4s.np"	"w 1P*"	"1"	1	3		
"239.929"	"239.92893"	"1.67e+07"	C+	"0.0000000"	"5.1675384"	"3p6.4s2"	"1S"	"0"	"3p6.4s.6p"	"1P*"	"1"	1	3		
""	"254.22443"	"1.7e+04"	D	"0.0000000"	"4.8769584"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"3P*"	"1"	1	3		
""	"261.83225"	"1.6e+04"	D	"0.0000000"	"4.7352531"	"3p6.4s2"	"1S"	"0"	"3p6.3d.4p"	"3D*"	"1"	1	3		
"272.246"	"272.24504"	"2.7e+05"	D	"0.0000000"	"4.5541398"	"3p6.4s2"	"1S"	"0"	"3p6.4s.5p"	"1P*"	"1"	1	3		
"299.583"	"299.58308"	"3.67e+07"	C	"1.8793402"	"6.0178983"	"3p6.4s.4p"	"3P*"	"0"	"3p6.3d2"	"3P"	"1"	1	3		
"299.818"	"299.81898"	"2.41e+07"	C	"1.8858075"	"6.0211093"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"2"	3	5		
"300.051"	"300.05197"	"2.79e+07"	C	"1.8858075"	"6.0178983"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"1"	3	3		
"300.173"	"300.17383"	"1.58e+08"	C	"1.8858075"	"6.0162208"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"0"	3	1		
"300.774"	"300.77378"	"7.5e+07"	C	"1.8989349"	"6.0211093"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"2"	5	5		
"301.009"	"301.00826"	"4.30e+07"	C	"1.8989349"	"6.0178983"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"1"	5	3		
""	"310.32629"	"6.2e+05"	D	"1.8793402"	"5.8746252"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.10s"	"3S"	"1"	1	3		
""	"310.82944"	"1.0e+06"	D	"1.8858075"	"5.8746252"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.10s"	"3S"	"1"	3	3		
""	"311.85577"	"1.7e+06"	D	"1.8989349"	"5.8746252"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.10s"	"3S"	"1"	5	3		
"313.693"	"313.69278"	"4.1e+06"	D	"1.8793402"	"5.8317487"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.8d"	"3D"	"1"	1	3		
"314.170"	"314.16958"	"4.9e+06"	D	"1.8858075"	"5.8322176"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"2"	3	5		
""	"314.20691"	"3.0e+06"	D	"1.8858075"	"5.8317487"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"1"	3	3		
"315.166"	"315.16613"	"8.6e+06"	D	"1.8989349"	"5.8328665"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"3"	5	7		
""	"315.21813"	"1.8e+06"	D	"1.8989349"	"5.8322176"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"2"	5	5		
""	"315.25571"	"2.2e+05"	E	"1.8989349"	"5.8317487"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"1"	5	3		
""	"316.55204"	"5.3e+05"	D	"1.8793402"	"5.7960484"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.9s"	"3S"	"1"	1	3		
""	"317.07560"	"2.0e+06"	D	"1.8858075"	"5.7960484"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.9s"	"3S"	"1"	3	3		
"318.144"	"318.14367"	"2.9e+06"	D	"1.8989349"	"5.7960484"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.9s"	"3S"	"1"	5	3		
"321.089"	"321.08839"	"7.3e+06"	D	"1.8793402"	"5.7407130"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.7d"	"3D"	"1"	1	3		
"321.610"	"321.60974"	"1.1e+07"	D	"1.8858075"	"5.7409208"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.7d"	"3D"	"2"	3	5		
"321.627"	"321.62707"	"5.1e+06"	D	"1.8858075"	"5.7407130"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.7d"	"3D"	"1"	3	3		
"322.683"	"322.68353"	"1.6e+07"	D	"1.8989349"	"5.7412196"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"3"	5	7		
"322.708"	"322.70863"	"4.0e+06"	D	"1.8989349"	"5.7409208"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"2"	5	5		
""	"322.72608"	"4.2e+05"	E	"1.8989349"	"5.7407130"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.7d"	"3D"	"1"	5	3		
""	"327.00275"	"9.4e+05"	D	"1.8793402"	"5.6708741"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.8s"	"3S"	"1"	1	3		
"327.561"	"327.56147"	"3.0e+06"	D	"1.8858075"	"5.6708741"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8s"	"3S"	"1"	3	3		
"328.702"	"328.70148"	"5.3e+06"	D	"1.8989349"	"5.6708741"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8s"	"3S"	"1"	5	3		
"334.547"	"334.54694"	"1.51e+07"	C	"1.8793402"	"5.5853732"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.6d"	"3D"	"1"	1	3		
"335.117"	"335.11665"	"1.78e+07"	C	"1.8858075"	"5.5855401"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6d"	"3D"	"2"	3	5		
"335.132"	"335.13176"	"1.11e+07"	C	"1.8858075"	"5.5853732"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.6d"	"3D"	"1"	3	3		
"336.289"	"336.28783"	"2.23e+07"	C	"1.8989349"	"5.5857825"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"3"	5	7		
"336.311"	"336.30995"	"6.5e+06"	C	"1.8989349"	"5.5855401"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"2"	5	5		
""	"336.32517"	"5.9e+05"	C	"1.8989349"	"5.5853732"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.6d"	"3D"	"1"	5	3		
